timestamp,tds_v,tempC,ph_v
19,1.48387,16.000,6.03387
20,1.48871,16.000,6.04194
20,1.48871,16.000,6.04032
21,1.48226,16.000,6.03226
22,1.49194,16.000,6.04194
22,1.46452,16.000,6.05000
23,1.48387,16.000,6.04032
23,1.49194,16.000,6.04032
24,1.49194,16.000,6.03548
25,1.49194,16.000,6.04194
25,1.48226,16.000,6.04194
26,1.48871,16.000,6.03548
26,1.48387,16.000,6.03871
27,1.48871,16.000,6.03871
28,1.49355,16.000,6.04032
28,1.49194,16.000,6.04194
29,1.49194,16.000,6.04677
29,1.49032,16.000,6.04032
30,1.49677,16.000,6.04032
31,1.49355,16.000,6.04355
31,1.49032,16.000,6.03871
32,1.49194,16.000,6.03710
32,1.52097,16.000,6.04032
33,1.49032,16.000,6.03710
34,1.48871,16.000,6.03710
34,1.49355,16.000,6.03548
35,1.49677,16.000,6.03710
35,1.48548,16.000,6.04032
36,1.48710,16.000,6.04194
37,1.49516,16.000,6.03871
37,1.48710,16.000,6.03548
38,1.48710,16.000,6.03871
38,1.48710,16.000,6.03387
39,1.48548,16.000,6.03710
40,1.49032,16.000,6.03710
40,1.47419,16.000,6.03548
41,1.50161,16.000,6.03710
41,1.48871,16.000,6.04839
42,1.48710,16.000,6.04516
43,1.49516,16.000,6.03710
43,1.49194,16.000,6.03226
44,1.49355,16.000,6.03871
45,1.49194,16.000,6.03710
45,1.48710,16.000,6.04355
46,1.49194,16.000,6.03871
46,1.48871,16.000,6.04194
47,1.48710,16.000,6.03387
48,1.50484,16.000,6.04839
48,1.48065,16.000,6.03710
49,1.48065,16.000,6.03710
49,1.49194,16.000,6.03871
50,1.48871,16.000,6.04355
51,1.49516,16.000,6.03387
51,1.48548,16.000,6.03387
52,1.46774,16.000,6.03871
52,1.54032,16.000,6.03548
53,1.49516,16.000,6.03871
53,1.50806,16.000,6.04194
53,1.49677,16.000,6.03871
54,1.47258,16.000,6.03387
55,1.50000,16.000,6.04355
55,1.49355,16.000,6.03226
56,1.49355,16.000,6.03548
56,1.49516,16.000,6.04516
57,1.48871,16.000,6.04516
58,1.48387,16.000,6.04355
58,1.50000,16.000,6.04677
59,1.48710,16.000,6.04839
59,1.49677,16.000,6.02903
60,1.48871,16.000,6.04516
61,1.48548,16.000,6.04032
61,1.49032,16.000,6.03871
62,1.49355,16.000,6.04355
62,1.46290,16.000,6.03871
63,1.49032,16.000,6.04032
64,1.48710,16.000,6.03387
64,1.48226,16.000,6.03871
65,1.49032,16.000,6.03710
65,1.48387,16.000,6.04194
66,1.49516,16.000,6.04355
67,1.48710,16.000,6.04516
67,1.48871,16.000,6.03710
68,1.49516,16.000,6.04032
68,1.48387,16.000,6.03871
69,1.48710,16.000,6.04032
70,1.49516,16.000,6.03387
70,1.49677,16.000,6.03226
71,1.48387,16.000,6.04032
71,1.49194,16.000,6.03710
72,1.49194,16.000,6.04194
73,1.48871,16.000,6.04194
73,1.49194,16.000,6.03871
74,1.49677,16.000,6.04032
74,1.49516,16.000,6.04355
75,1.48710,16.000,6.04194
76,1.49677,16.000,6.03548
76,1.49194,16.000,6.03548
77,1.49194,16.000,6.03548
77,1.49355,16.000,6.03710
78,1.48871,16.000,6.04194
79,1.48871,16.000,6.03387
79,1.49355,16.000,6.03387
80,1.48871,16.000,6.03710
80,1.49194,16.000,6.02903
81,1.49516,16.000,6.03871
82,1.49032,16.000,6.03710
82,1.49677,16.000,6.03871
83,1.49194,16.000,6.04032
83,1.46935,16.000,6.03226
84,1.49839,16.000,6.03871
85,1.49194,16.000,6.04032
85,1.48387,16.000,6.03871
86,1.49032,16.000,6.03871
87,1.49355,16.000,6.03548
87,1.45806,16.000,6.04032
88,1.48548,16.000,6.04194
88,1.49677,16.000,6.04355
89,1.48871,16.000,6.03387
90,1.49516,16.000,6.04032
90,1.49032,16.000,6.03226
91,1.49516,16.000,6.03548
91,1.49194,16.000,6.03387
92,1.49355,16.000,6.03387
93,1.49194,16.000,6.04032
93,1.49355,16.000,6.03710
94,1.48710,16.000,6.03710
