timestamp,tds_v,tempC,ph_v
19,1.93226,16.000,6.03710
20,1.92742,16.000,6.04032
20,1.92903,16.000,6.04032
21,1.93226,16.000,6.04194
22,1.92903,16.000,6.03871
22,1.93226,16.000,6.03548
23,1.93226,16.000,6.04032
24,1.92581,16.000,6.03710
24,1.93548,16.000,6.04194
25,1.92581,16.000,6.04355
25,1.92903,16.000,6.03710
26,1.93387,16.000,6.04032
27,1.94355,16.000,6.03710
27,1.92903,16.000,6.03871
28,1.92581,16.000,6.04355
28,1.93226,16.000,6.04032
29,1.93710,16.000,6.04032
30,1.93226,16.000,6.04194
30,1.92742,16.000,6.04194
31,1.94355,16.000,6.04194
31,1.92903,16.000,6.04032
32,1.93387,16.000,6.03710
33,1.93226,16.000,6.03710
33,1.93387,16.000,6.03387
34,1.92097,16.000,6.04355
34,1.92903,16.000,6.03871
35,1.92419,16.000,6.04032
36,1.93065,16.000,6.03871
36,1.92581,16.000,6.03548
37,1.92742,16.000,6.04839
37,1.93548,16.000,6.03548
38,1.92419,16.000,6.04355
38,1.93387,16.000,6.03871
38,1.92581,16.000,6.04194
39,1.92742,16.000,6.04516
39,1.93226,16.000,6.03710
40,1.93387,16.000,6.04194
41,1.92742,16.000,6.03710
41,1.93387,16.000,6.04194
42,1.93065,16.000,6.04839
42,1.92581,16.000,6.03710
43,1.93226,16.000,6.03710
44,1.93226,16.000,6.04355
44,1.92581,16.000,6.04516
45,1.93065,16.000,6.04839
45,1.92742,16.000,6.04677
46,1.93710,16.000,6.04032
47,1.93065,16.000,6.04032
47,1.92903,16.000,6.03871
48,1.92903,16.000,6.03871
48,1.93548,16.000,6.03710
49,1.92903,16.000,6.04032
50,1.93387,16.000,6.04032
50,1.93548,16.000,6.03871
51,1.93387,16.000,6.04194
51,1.93871,16.000,6.04032
52,1.92742,16.000,6.05161
53,1.92903,16.000,6.05161
53,1.93065,16.000,6.04677
54,1.93710,16.000,6.03871
55,1.93226,16.000,6.03871
55,1.93710,16.000,6.04355
56,1.91935,16.000,6.04355
56,1.93226,16.000,6.04355
57,1.91774,16.000,6.04355
58,1.92097,16.000,6.04032
58,1.92742,16.000,6.04194
59,1.92742,16.000,6.04032
59,1.93226,16.000,6.04516
60,1.93065,16.000,6.03710
61,1.92581,16.000,6.03871
61,1.94194,16.000,6.04194
62,1.93387,16.000,6.04355
62,1.93387,16.000,6.03871
63,1.92903,16.000,6.03548
64,1.93387,16.000,6.04677
64,1.93387,16.000,6.04032
65,1.93548,16.000,6.04839
65,1.93548,16.000,6.04839
66,1.91774,16.000,6.03871
67,1.92581,16.000,6.04516
67,1.92903,16.000,6.03710
68,1.91935,16.000,6.04677
68,1.93387,16.000,6.03871
69,1.94032,16.000,6.03710
70,1.93065,16.000,6.03871
70,1.92097,16.000,6.03710
71,1.92581,16.000,6.04516
71,1.93548,16.000,6.04677
72,1.92581,16.000,6.04355
73,1.93065,16.000,6.04839
73,1.93226,16.000,6.03871
74,1.93710,16.000,6.04032
74,1.93387,16.000,6.04032
75,1.93548,16.000,6.04032
76,1.93065,16.000,6.03710
76,1.92742,16.000,6.04355
77,1.93065,16.000,6.03548
78,1.94194,16.000,6.04355
78,1.93065,16.000,6.04355
79,1.93065,16.000,6.04516
79,1.93871,16.000,6.05000
79,1.92581,16.000,6.05161
80,1.93226,16.000,6.03387
80,1.90968,16.000,6.04032
81,1.93226,16.000,6.03710
81,1.92742,16.000,6.04032
82,1.92419,16.000,6.04194
83,1.91613,16.000,6.03548
83,1.92742,16.000,6.03548
84,1.92742,16.000,6.04194
84,1.92903,16.000,6.04032
85,1.93387,16.000,6.04194
86,1.92742,16.000,6.03871
86,1.92419,16.000,6.04194
87,1.92581,16.000,6.04355
87,1.92419,16.000,6.03871
88,1.91774,16.000,6.05161
89,1.93548,16.000,6.04355
89,1.92419,16.000,6.03548
90,1.92903,16.000,6.04355
90,1.93226,16.000,6.04194
91,1.93226,16.000,6.05323
92,1.93065,16.000,6.05000
92,1.93710,16.000,6.04194
93,1.93226,16.000,6.04839
93,1.93548,16.000,6.04032
94,1.92903,16.000,6.03710
