timestamp,tds_v,tempC,ph_v
18,1.95484,16.000,6.03548
19,1.95323,16.000,6.03871
20,1.95323,16.000,6.04839
20,1.95323,16.000,6.04355
21,1.95000,16.000,6.04355
21,1.95806,16.000,6.03548
22,1.95000,16.000,6.04194
23,1.95323,16.000,6.03710
23,1.95323,16.000,6.04194
24,1.95323,16.000,6.04839
24,1.95000,16.000,6.04032
25,1.95161,16.000,6.04516
26,1.95161,16.000,6.03871
26,1.95161,16.000,6.04032
27,1.94839,16.000,6.04516
27,1.95161,16.000,6.04355
28,1.95000,16.000,6.04516
29,1.93387,16.000,6.04032
29,1.95645,16.000,6.04032
30,1.95484,16.000,6.04516
30,1.95000,16.000,6.04194
31,1.95000,16.000,6.04194
32,1.94677,16.000,6.03710
32,1.95000,16.000,6.04194
33,1.94355,16.000,6.03871
33,1.94677,16.000,6.04516
34,1.95323,16.000,6.04677
35,1.95484,16.000,6.03548
35,1.95484,16.000,6.05000
36,1.96290,16.000,6.05000
36,1.95806,16.000,6.04355
37,1.95323,16.000,6.04194
38,1.95968,16.000,6.04839
38,1.95323,16.000,6.04839
39,1.93387,16.000,6.04677
40,1.95484,16.000,6.04355
40,1.95645,16.000,6.04355
41,1.95161,16.000,6.03871
41,1.95645,16.000,6.03871
42,1.94516,16.000,6.05161
43,1.95000,16.000,6.03548
43,1.95484,16.000,6.04355
44,1.95806,16.000,6.04516
44,1.95161,16.000,6.03871
45,1.95000,16.000,6.05000
46,1.95161,16.000,6.04194
46,1.95000,16.000,6.04032
47,1.95484,16.000,6.04032
47,1.95806,16.000,6.04194
48,1.95968,16.000,6.03710
49,1.94677,16.000,6.03871
49,1.97903,16.000,6.04032
49,1.95645,16.000,6.04677
49,1.95323,16.000,6.03387
50,1.95161,16.000,6.04677
51,1.95000,16.000,6.03710
51,1.95484,16.000,6.04677
52,1.95645,16.000,6.04355
52,1.98065,16.000,6.04032
53,1.95000,16.000,6.05484
54,1.95323,16.000,6.04032
54,1.95968,16.000,6.03710
55,1.95968,16.000,6.04032
55,1.95000,16.000,6.03871
56,1.95000,16.000,6.04032
57,1.96129,16.000,6.04032
57,1.95645,16.000,6.03871
58,1.95323,16.000,6.03871
58,1.95161,16.000,6.04355
59,1.94677,16.000,6.04194
60,1.94516,16.000,6.03710
60,1.95000,16.000,6.03548
61,1.95484,16.000,6.03548
62,1.95161,16.000,6.04355
62,1.90806,16.000,6.04677
63,1.95484,16.000,6.04355
63,1.95161,16.000,6.03710
64,1.94194,16.000,6.03710
65,1.95000,16.000,6.04032
65,1.95161,16.000,6.04355
66,1.95000,16.000,6.04516
66,1.95161,16.000,6.04032
67,1.95161,16.000,6.04194
68,1.95161,16.000,6.03548
68,1.94839,16.000,6.04194
69,1.95484,16.000,6.04355
69,1.95323,16.000,6.04194
70,1.95323,16.000,6.03871
71,1.94839,16.000,6.04032
71,1.90806,16.000,6.04355
72,1.95161,16.000,6.03710
72,1.95484,16.000,6.03710
73,1.95645,16.000,6.03871
74,1.94677,16.000,6.04677
74,1.93710,16.000,6.05323
75,1.94677,16.000,6.03871
75,1.91613,16.000,6.04839
76,1.94677,16.000,6.04355
77,1.95161,16.000,6.04355
77,1.95323,16.000,6.03871
78,1.94677,16.000,6.03871
78,1.95323,16.000,6.04355
79,1.94516,16.000,6.03387
80,1.95000,16.000,6.04355
80,1.95645,16.000,6.04516
81,1.94516,16.000,6.04516
81,1.95161,16.000,6.03871
82,1.94516,16.000,6.04516
83,1.95484,16.000,6.03871
83,1.95000,16.000,6.04677
84,1.95161,16.000,6.04516
85,1.95806,16.000,6.04355
85,1.94677,16.000,6.04194
86,1.95484,16.000,6.04355
86,1.95323,16.000,6.03387
87,1.95645,16.000,6.04355
88,1.95323,16.000,6.03710
88,1.93548,16.000,6.04032
89,1.95161,16.000,6.04032
89,1.95323,16.000,6.03065
90,1.95000,16.000,6.03548
91,1.94839,16.000,6.03710
91,1.95161,16.000,6.04355
91,1.95323,16.000,6.03548
91,1.94839,16.000,6.03871
92,1.94839,16.000,6.04355
93,1.95323,16.000,6.04032
93,1.93710,16.000,6.04355
94,1.94839,16.000,6.04194
