timestamp,tds_v,tempC,ph_v
19,1.40645,16.000,6.04516
19,1.41613,16.000,6.03871
20,1.40161,16.000,6.03548
21,1.42419,16.000,6.04355
21,1.41129,16.000,6.04194
22,1.41613,16.000,6.03710
22,1.41935,16.000,6.03710
23,1.40968,16.000,6.03710
24,1.41774,16.000,6.03871
24,1.41129,16.000,6.03871
25,1.41613,16.000,6.04032
25,1.41290,16.000,6.02742
26,1.41613,16.000,6.03548
27,1.40968,16.000,6.03387
27,1.40968,16.000,6.03710
28,1.41935,16.000,6.04355
28,1.41290,16.000,6.03548
29,1.41290,16.000,6.03548
30,1.41129,16.000,6.04032
30,1.42097,16.000,6.03387
31,1.40968,16.000,6.04032
32,1.41290,16.000,6.03065
32,1.41774,16.000,6.03387
33,1.41452,16.000,6.03387
33,1.40806,16.000,6.03710
34,1.40968,16.000,6.03387
35,1.41774,16.000,6.03387
35,1.40968,16.000,6.04194
36,1.41290,16.000,6.03548
36,1.40323,16.000,6.04355
37,1.41935,16.000,6.03710
38,1.41935,16.000,6.03548
38,1.41613,16.000,6.04355
39,1.41452,16.000,6.03548
39,1.40968,16.000,6.04516
40,1.41774,16.000,6.03226
41,1.41290,16.000,6.04032
41,1.41290,16.000,6.04194
42,1.41452,16.000,6.03548
42,1.41452,16.000,6.03871
43,1.42097,16.000,6.03871
44,1.41129,16.000,6.04194
44,1.41452,16.000,6.03871
45,1.41290,16.000,6.04194
45,1.40968,16.000,6.03710
46,1.40968,16.000,6.04194
47,1.41452,16.000,6.03387
47,1.41613,16.000,6.03871
48,1.41290,16.000,6.03548
48,1.41290,16.000,6.03871
48,1.41613,16.000,6.03548
49,1.41452,16.000,6.03710
49,1.41452,16.000,6.03871
50,1.41935,16.000,6.03871
51,1.42097,16.000,6.03871
51,1.40968,16.000,6.03548
52,1.42097,16.000,6.03548
52,1.41290,16.000,6.03548
53,1.41290,16.000,6.04516
54,1.41935,16.000,6.04194
54,1.41774,16.000,6.04032
55,1.40968,16.000,6.02903
55,1.41452,16.000,6.03387
56,1.38387,16.000,6.04032
57,1.40645,16.000,6.03871
57,1.41452,16.000,6.03387
58,1.41774,16.000,6.03548
58,1.42742,16.000,6.03387
59,1.41290,16.000,6.03548
60,1.41613,16.000,6.03871
60,1.41452,16.000,6.03871
61,1.40484,16.000,6.03871
62,1.41774,16.000,6.03710
62,1.41613,16.000,6.03548
63,1.41129,16.000,6.04677
63,1.41129,16.000,6.04032
64,1.41613,16.000,6.03226
65,1.40323,16.000,6.04032
65,1.41129,16.000,6.04194
66,1.41774,16.000,6.04032
66,1.41129,16.000,6.03871
67,1.41452,16.000,6.04194
68,1.40806,16.000,6.03548
68,1.42742,16.000,6.03871
69,1.41452,16.000,6.03871
69,1.41129,16.000,6.03548
70,1.41452,16.000,6.04194
71,1.41452,16.000,6.04032
71,1.41129,16.000,6.04032
72,1.41290,16.000,6.04032
72,1.40968,16.000,6.03387
73,1.41613,16.000,6.03871
74,1.41129,16.000,6.04516
74,1.41613,16.000,6.03548
75,1.40484,16.000,6.03710
75,1.41452,16.000,6.04032
76,1.40806,16.000,6.03710
77,1.41290,16.000,6.03871
77,1.41774,16.000,6.03387
78,1.40484,16.000,6.04032
78,1.41613,16.000,6.04516
79,1.41290,16.000,6.03871
80,1.40484,16.000,6.04355
80,1.41452,16.000,6.04677
81,1.41935,16.000,6.04032
81,1.41452,16.000,6.03871
82,1.41290,16.000,6.03710
83,1.41290,16.000,6.04516
83,1.41774,16.000,6.04194
84,1.41129,16.000,6.04194
84,1.41452,16.000,6.03226
85,1.41774,16.000,6.04032
86,1.41613,16.000,6.04355
86,1.41452,16.000,6.04677
87,1.40484,16.000,6.03226
88,1.41613,16.000,6.03871
88,1.41935,16.000,6.04194
89,1.41613,16.000,6.03871
89,1.42419,16.000,6.04032
90,1.41452,16.000,6.03871
90,1.41129,16.000,6.03871
90,1.41774,16.000,6.03226
91,1.40484,16.000,6.04355
91,1.42419,16.000,6.03548
92,1.40806,16.000,6.03710
93,1.41129,16.000,6.03871
93,1.41935,16.000,6.04194
94,1.41290,16.000,6.04032
