timestamp,tds_v,tempC,ph_v
19,1.41290,16.000,6.04194
20,1.41613,16.000,6.03710
20,1.40806,16.000,6.03871
21,1.41774,16.000,6.03548
22,1.41774,16.000,6.04032
22,1.42097,16.000,6.04032
23,1.41129,16.000,6.03710
24,1.41613,16.000,6.04194
24,1.40968,16.000,6.04194
25,1.41935,16.000,6.04516
25,1.41774,16.000,6.04516
26,1.41452,16.000,6.03871
27,1.41613,16.000,6.04194
27,1.41452,16.000,6.03871
28,1.41452,16.000,6.03710
28,1.41452,16.000,6.04032
29,1.41290,16.000,6.04194
30,1.39032,16.000,6.04355
30,1.41774,16.000,6.04355
31,1.41774,16.000,6.03548
31,1.41290,16.000,6.03710
32,1.41452,16.000,6.03871
33,1.40645,16.000,6.03387
33,1.41774,16.000,6.03710
34,1.42258,16.000,6.03226
35,1.40968,16.000,6.03871
35,1.42419,16.000,6.03226
36,1.40806,16.000,6.04355
36,1.41935,16.000,6.04355
37,1.41129,16.000,6.04194
37,1.42581,16.000,6.03871
37,1.41774,16.000,6.04516
38,1.41935,16.000,6.05161
38,1.41613,16.000,6.03871
39,1.41290,16.000,6.03548
40,1.41129,16.000,6.03387
40,1.41290,16.000,6.04516
41,1.41774,16.000,6.04355
41,1.41774,16.000,6.03871
42,1.41935,16.000,6.04032
43,1.41613,16.000,6.04032
43,1.42419,16.000,6.04032
44,1.42097,16.000,6.03710
44,1.41452,16.000,6.03710
45,1.41774,16.000,6.04032
46,1.41290,16.000,6.04194
46,1.41935,16.000,6.03871
47,1.41290,16.000,6.04355
47,1.41290,16.000,6.03710
48,1.41452,16.000,6.03710
49,1.41613,16.000,6.03871
49,1.40968,16.000,6.03548
50,1.40968,16.000,6.03710
50,1.45484,16.000,6.03226
51,1.41613,16.000,6.03387
52,1.40968,16.000,6.03871
52,1.42097,16.000,6.03548
53,1.41129,16.000,6.04032
54,1.41774,16.000,6.03871
54,1.41452,16.000,6.04032
55,1.41452,16.000,6.02903
55,1.41774,16.000,6.03710
56,1.41290,16.000,6.04032
57,1.40968,16.000,6.03871
57,1.41129,16.000,6.04516
58,1.41935,16.000,6.03226
58,1.41129,16.000,6.04032
59,1.41613,16.000,6.04516
60,1.41935,16.000,6.04516
60,1.41452,16.000,6.03387
61,1.42097,16.000,6.04032
61,1.42258,16.000,6.03387
62,1.41774,16.000,6.04194
63,1.41290,16.000,6.03226
63,1.41452,16.000,6.03548
64,1.41774,16.000,6.03871
64,1.40968,16.000,6.04032
65,1.42903,16.000,6.04032
66,1.41290,16.000,6.04839
66,1.42258,16.000,6.03871
67,1.42258,16.000,6.03387
67,1.42258,16.000,6.03871
68,1.40645,16.000,6.04516
69,1.42097,16.000,6.03387
69,1.41613,16.000,6.04032
70,1.40000,16.000,6.04194
70,1.41452,16.000,6.03548
71,1.41452,16.000,6.04355
72,1.41129,16.000,6.04032
72,1.41613,16.000,6.03871
73,1.42419,16.000,6.04516
73,1.41935,16.000,6.03871
74,1.41290,16.000,6.04516
75,1.41129,16.000,6.03710
75,1.41290,16.000,6.04032
76,1.41935,16.000,6.04355
76,1.41774,16.000,6.04032
77,1.41290,16.000,6.04194
78,1.41935,16.000,6.03871
78,1.40806,16.000,6.03710
78,1.41613,16.000,6.03871
79,1.43065,16.000,6.04677
79,1.41613,16.000,6.04355
80,1.42097,16.000,6.03871
80,1.41935,16.000,6.03710
81,1.41452,16.000,6.03710
82,1.41452,16.000,6.03548
82,1.41613,16.000,6.04355
83,1.41129,16.000,6.04032
83,1.42097,16.000,6.04355
84,1.41452,16.000,6.03387
85,1.42258,16.000,6.04032
85,1.42419,16.000,6.03548
86,1.42258,16.000,6.03871
86,1.40968,16.000,6.03710
87,1.41290,16.000,6.03871
88,1.41613,16.000,6.03226
88,1.41452,16.000,6.03871
89,1.42097,16.000,6.03226
89,1.40968,16.000,6.03548
90,1.42419,16.000,6.04194
91,1.41452,16.000,6.04194
91,1.40968,16.000,6.04355
92,1.38065,16.000,6.04194
92,1.40323,16.000,6.03548
93,1.41935,16.000,6.04516
94,1.42097,16.000,6.04032
