timestamp,tds_v,tempC,ph_v
20,1.40161,16.000,6.03548
20,1.40806,16.000,6.03710
21,1.40968,16.000,6.03387
22,1.40323,16.000,6.04032
22,1.41129,16.000,6.03387
23,1.38226,16.000,6.03710
23,1.40161,16.000,6.03548
24,1.41613,16.000,6.03387
25,1.40323,16.000,6.04032
25,1.40323,16.000,6.03710
26,1.40645,16.000,6.03387
26,1.40484,16.000,6.03387
27,1.40645,16.000,6.03871
27,1.39677,16.000,6.03871
27,1.39355,16.000,6.04194
28,1.40645,16.000,6.03710
28,1.40645,16.000,6.04194
29,1.40968,16.000,6.04355
30,1.40806,16.000,6.04355
30,1.40968,16.000,6.04516
31,1.40806,16.000,6.04194
31,1.40323,16.000,6.04516
32,1.41613,16.000,6.04032
33,1.41452,16.000,6.04355
33,1.40484,16.000,6.03710
34,1.40968,16.000,6.04355
34,1.40806,16.000,6.04032
35,1.42903,16.000,6.04355
36,1.40323,16.000,6.03710
36,1.40000,16.000,6.03871
37,1.40806,16.000,6.03387
37,1.40161,16.000,6.04677
38,1.40806,16.000,6.03710
39,1.41129,16.000,6.03871
39,1.40645,16.000,6.03871
40,1.41129,16.000,6.04194
40,1.40806,16.000,6.03871
41,1.40968,16.000,6.04516
42,1.40806,16.000,6.03710
42,1.40645,16.000,6.04355
43,1.40484,16.000,6.03387
43,1.40968,16.000,6.04194
44,1.41290,16.000,6.04032
45,1.40323,16.000,6.03871
45,1.40645,16.000,6.03710
46,1.41290,16.000,6.03871
47,1.40645,16.000,6.03710
47,1.40000,16.000,6.04194
48,1.40323,16.000,6.03871
48,1.41613,16.000,6.04032
49,1.41290,16.000,6.03548
50,1.40968,16.000,6.03871
50,1.40000,16.000,6.04355
51,1.40806,16.000,6.03871
51,1.41290,16.000,6.03226
52,1.40968,16.000,6.03065
53,1.40161,16.000,6.03548
53,1.40000,16.000,6.03871
54,1.41129,16.000,6.02903
54,1.40323,16.000,6.03548
55,1.40645,16.000,6.03871
56,1.40323,16.000,6.02903
56,1.40968,16.000,6.04677
57,1.40323,16.000,6.03710
57,1.41129,16.000,6.03387
58,1.38871,16.000,6.04032
59,1.40323,16.000,6.03871
59,1.39677,16.000,6.04032
60,1.37419,16.000,6.04194
60,1.40161,16.000,6.03710
61,1.40323,16.000,6.03871
62,1.40645,16.000,6.03387
62,1.40323,16.000,6.03548
63,1.40323,16.000,6.04032
63,1.41129,16.000,6.03871
64,1.40323,16.000,6.03548
65,1.40323,16.000,6.04355
65,1.39839,16.000,6.03548
66,1.40000,16.000,6.03710
66,1.39677,16.000,6.03710
67,1.40161,16.000,6.03387
68,1.40806,16.000,6.04194
68,1.40323,16.000,6.04194
69,1.40968,16.000,6.03871
69,1.40806,16.000,6.03387
69,1.40484,16.000,6.04516
70,1.40645,16.000,6.03710
70,1.39839,16.000,6.04839
71,1.40484,16.000,6.04355
71,1.40484,16.000,6.04194
72,1.40968,16.000,6.04355
73,1.40645,16.000,6.04032
73,1.40323,16.000,6.04677
74,1.40323,16.000,6.04194
74,1.41129,16.000,6.04355
75,1.41613,16.000,6.03387
76,1.40323,16.000,6.03548
76,1.36452,16.000,6.04032
77,1.40645,16.000,6.04032
78,1.40484,16.000,6.03710
78,1.40645,16.000,6.04032
79,1.39839,16.000,6.03710
79,1.40484,16.000,6.04032
80,1.41290,16.000,6.04355
81,1.37742,16.000,6.03710
81,1.40806,16.000,6.04032
82,1.41129,16.000,6.04032
82,1.41452,16.000,6.03548
83,1.40806,16.000,6.03226
84,1.40484,16.000,6.04194
84,1.39677,16.000,6.04032
85,1.41129,16.000,6.03871
85,1.40323,16.000,6.04355
86,1.41452,16.000,6.03710
87,1.39355,16.000,6.03871
87,1.40000,16.000,6.04516
88,1.40161,16.000,6.03548
88,1.40484,16.000,6.04032
89,1.40645,16.000,6.03710
90,1.40484,16.000,6.04355
90,1.40645,16.000,6.04194
91,1.40645,16.000,6.03548
91,1.40484,16.000,6.04839
92,1.40323,16.000,6.03710
93,1.40161,16.000,6.03548
93,1.40484,16.000,6.03226
94,1.40323,16.000,6.03387
