timestamp,tds_v,tempC,ph_v
19,1.45484,16.000,6.03710
20,1.45484,16.000,6.03871
20,1.47419,16.000,6.03710
21,1.45645,16.000,6.02903
21,1.44516,16.000,6.04677
22,1.45806,16.000,6.03710
23,1.45968,16.000,6.03710
23,1.45645,16.000,6.03710
24,1.42258,16.000,6.03548
24,1.45484,16.000,6.03710
25,1.45323,16.000,6.03548
26,1.45806,16.000,6.04194
26,1.45000,16.000,6.03871
27,1.46452,16.000,6.03387
27,1.45645,16.000,6.03387
28,1.45645,16.000,6.03871
29,1.45806,16.000,6.04032
29,1.50806,16.000,6.03387
30,1.45323,16.000,6.03387
30,1.45323,16.000,6.03871
31,1.45645,16.000,6.03387
32,1.46452,16.000,6.04516
32,1.45161,16.000,6.04516
33,1.45806,16.000,6.03387
33,1.45323,16.000,6.03548
34,1.45484,16.000,6.03710
35,1.46613,16.000,6.03710
35,1.46290,16.000,6.04032
36,1.45806,16.000,6.03387
37,1.44194,16.000,6.04516
37,1.45645,16.000,6.03387
38,1.50484,16.000,6.03548
38,1.45000,16.000,6.03387
39,1.45323,16.000,6.03548
40,1.45323,16.000,6.03710
40,1.45323,16.000,6.03548
41,1.45000,16.000,6.03710
42,1.45645,16.000,6.03226
42,1.45000,16.000,6.02903
43,1.45323,16.000,6.03710
43,1.45000,16.000,6.03226
44,1.46935,16.000,6.03226
45,1.44677,16.000,6.03387
45,1.45484,16.000,6.03871
46,1.45968,16.000,6.03871
46,1.46290,16.000,6.04032
47,1.46452,16.000,6.03387
48,1.45323,16.000,6.03710
48,1.45323,16.000,6.03710
49,1.45968,16.000,6.04516
49,1.45968,16.000,6.04032
50,1.45000,16.000,6.03548
51,1.46129,16.000,6.03387
51,1.40323,16.000,6.04032
52,1.46290,16.000,6.03871
52,1.47419,16.000,6.03226
53,1.45645,16.000,6.03548
54,1.44677,16.000,6.03871
54,1.46290,16.000,6.03226
54,1.45484,16.000,6.03548
54,1.45484,16.000,6.03871
55,1.45161,16.000,6.02903
56,1.46129,16.000,6.03387
56,1.46452,16.000,6.04032
57,1.45806,16.000,6.04839
57,1.47581,16.000,6.03387
58,1.45806,16.000,6.04516
59,1.45968,16.000,6.03548
59,1.44516,16.000,6.03548
60,1.45968,16.000,6.03548
60,1.45645,16.000,6.03710
61,1.46290,16.000,6.03387
62,1.45484,16.000,6.03548
62,1.45323,16.000,6.03871
63,1.45806,16.000,6.03871
63,1.45484,16.000,6.04032
64,1.45645,16.000,6.03548
65,1.45645,16.000,6.03710
65,1.45323,16.000,6.03871
66,1.45968,16.000,6.04194
67,1.46290,16.000,6.03548
67,1.45806,16.000,6.04194
68,1.45968,16.000,6.03710
68,1.45484,16.000,6.04032
69,1.45323,16.000,6.03710
70,1.45806,16.000,6.04032
70,1.46290,16.000,6.03065
71,1.46129,16.000,6.04194
71,1.45806,16.000,6.04677
72,1.46452,16.000,6.04516
73,1.45645,16.000,6.04516
73,1.45645,16.000,6.03548
74,1.46129,16.000,6.03871
74,1.45806,16.000,6.03065
75,1.46452,16.000,6.04194
76,1.45000,16.000,6.03548
76,1.46129,16.000,6.03710
77,1.45806,16.000,6.03387
77,1.45645,16.000,6.03548
78,1.44839,16.000,6.03387
79,1.45645,16.000,6.03387
79,1.45645,16.000,6.04032
80,1.45968,16.000,6.04032
80,1.45645,16.000,6.04032
81,1.46613,16.000,6.03548
82,1.45806,16.000,6.03065
82,1.45645,16.000,6.03226
83,1.45484,16.000,6.04194
83,1.45000,16.000,6.04194
84,1.46290,16.000,6.03065
85,1.46129,16.000,6.03548
85,1.45484,16.000,6.02581
86,1.45645,16.000,6.04355
86,1.46129,16.000,6.04355
87,1.45323,16.000,6.03387
88,1.45968,16.000,6.03226
88,1.45323,16.000,6.04516
89,1.44516,16.000,6.04355
90,1.45968,16.000,6.04032
90,1.45645,16.000,6.04032
91,1.45484,16.000,6.04032
91,1.45323,16.000,6.03548
92,1.46129,16.000,6.04839
93,1.45323,16.000,6.04194
93,1.46935,16.000,6.03871
94,1.45323,16.000,6.03065
