timestamp,tds_v,tempC,ph_v
20,1.50161,16.000,6.03387
20,1.48871,16.000,6.03710
21,1.49194,16.000,6.04032
22,1.49516,16.000,6.03226
22,1.48871,16.000,6.03548
23,1.49032,16.000,6.04032
23,1.48710,16.000,6.03065
24,1.49194,16.000,6.03871
25,1.49677,16.000,6.03548
25,1.49355,16.000,6.04194
26,1.49677,16.000,6.03548
26,1.50000,16.000,6.03710
27,1.50000,16.000,6.04194
28,1.50161,16.000,6.04194
28,1.47903,16.000,6.04194
29,1.48871,16.000,6.03710
29,1.51774,16.000,6.03871
30,1.49194,16.000,6.04032
31,1.49032,16.000,6.04032
31,1.49677,16.000,6.04194
32,1.52097,16.000,6.03871
32,1.47419,16.000,6.03871
33,1.49677,16.000,6.03548
34,1.48710,16.000,6.04032
34,1.49677,16.000,6.03387
35,1.49839,16.000,6.04032
35,1.49194,16.000,6.03871
36,1.49355,16.000,6.04032
37,1.49355,16.000,6.03548
37,1.49032,16.000,6.04355
37,1.49194,16.000,6.04032
37,1.49677,16.000,6.03548
38,1.50000,16.000,6.03387
39,1.48226,16.000,6.03548
39,1.49516,16.000,6.04194
40,1.50000,16.000,6.03710
41,1.45968,16.000,6.03548
41,1.50161,16.000,6.03710
42,1.49839,16.000,6.03871
42,1.48710,16.000,6.04355
43,1.48548,16.000,6.03548
44,1.50000,16.000,6.04194
44,1.48871,16.000,6.03548
45,1.49677,16.000,6.04032
45,1.50161,16.000,6.04355
46,1.48710,16.000,6.03871
47,1.49355,16.000,6.03548
47,1.49355,16.000,6.03710
48,1.49839,16.000,6.04516
48,1.49677,16.000,6.04032
49,1.49677,16.000,6.03387
50,1.49677,16.000,6.04194
50,1.48387,16.000,6.03710
51,1.49355,16.000,6.04355
52,1.49194,16.000,6.03548
52,1.49194,16.000,6.03226
53,1.49516,16.000,6.03871
53,1.49032,16.000,6.04032
54,1.49032,16.000,6.03871
55,1.49355,16.000,6.03710
55,1.50161,16.000,6.03387
56,1.49355,16.000,6.04032
57,1.49839,16.000,6.03548
57,1.49516,16.000,6.03871
58,1.49839,16.000,6.03387
58,1.49839,16.000,6.04032
59,1.51935,16.000,6.03548
60,1.49677,16.000,6.03871
60,1.49194,16.000,6.03871
61,1.49516,16.000,6.03710
61,1.49194,16.000,6.03226
62,1.50000,16.000,6.04032
62,1.50000,16.000,6.04194
63,1.49839,16.000,6.03710
64,1.50323,16.000,6.04194
64,1.49839,16.000,6.03710
65,1.48871,16.000,6.03871
65,1.49839,16.000,6.04516
66,1.49355,16.000,6.03710
67,1.48710,16.000,6.03871
67,1.49677,16.000,6.04355
68,1.49839,16.000,6.03548
68,1.50000,16.000,6.04355
69,1.49677,16.000,6.04355
70,1.50000,16.000,6.04839
70,1.49194,16.000,6.04677
71,1.49516,16.000,6.04032
72,1.48710,16.000,6.03548
72,1.49516,16.000,6.04677
73,1.49839,16.000,6.03871
73,1.48387,16.000,6.03871
74,1.50161,16.000,6.03871
75,1.48710,16.000,6.04032
75,1.49194,16.000,6.03387
76,1.49516,16.000,6.04516
76,1.49677,16.000,6.03387
77,1.48871,16.000,6.03710
78,1.48710,16.000,6.04355
78,1.49677,16.000,6.04032
79,1.49839,16.000,6.04516
79,1.50323,16.000,6.03710
79,1.49839,16.000,6.04032
80,1.49516,16.000,6.04032
80,1.48871,16.000,6.03871
81,1.49516,16.000,6.03548
82,1.48871,16.000,6.02419
82,1.49516,16.000,6.03548
83,1.49194,16.000,6.03548
83,1.50323,16.000,6.03065
84,1.49839,16.000,6.03871
85,1.50161,16.000,6.04032
85,1.49839,16.000,6.03387
86,1.49516,16.000,6.04194
86,1.49677,16.000,6.03710
87,1.49839,16.000,6.03710
88,1.49194,16.000,6.03387
88,1.49677,16.000,6.04355
89,1.49194,16.000,6.03871
89,1.49677,16.000,6.04194
90,1.49516,16.000,6.03226
91,1.49355,16.000,6.03871
91,1.49516,16.000,6.04516
92,1.48065,16.000,6.04355
92,1.49355,16.000,6.04032
93,1.49032,16.000,6.04516
94,1.49194,16.000,6.03871
