timestamp,tds_v,tempC,ph_v
20,2.00968,16.000,6.03710
20,2.01613,16.000,6.04032
21,2.00161,16.000,6.04194
22,2.01129,16.000,6.03710
22,2.01290,16.000,6.03387
23,2.00484,16.000,6.04355
23,2.01452,16.000,6.04677
24,2.01613,16.000,6.03387
25,2.00323,16.000,6.03548
25,1.97581,16.000,6.03871
26,2.00806,16.000,6.03548
27,2.01129,16.000,6.03710
27,1.99839,16.000,6.03710
28,2.00968,16.000,6.03710
28,2.00484,16.000,6.04032
29,2.01129,16.000,6.03548
30,2.00806,16.000,6.02903
30,2.00645,16.000,6.03387
31,2.01613,16.000,6.03548
31,2.00484,16.000,6.04194
32,2.01452,16.000,6.03871
33,2.01935,16.000,6.03387
33,2.00968,16.000,6.04032
34,2.00806,16.000,6.04032
34,2.00968,16.000,6.03548
35,2.00806,16.000,6.03387
36,2.01774,16.000,6.03226
36,2.00806,16.000,6.03226
37,2.02097,16.000,6.02742
37,2.00645,16.000,6.04032
38,2.00484,16.000,6.04032
39,2.00484,16.000,6.03387
39,2.01452,16.000,6.03710
40,2.00968,16.000,6.03548
40,1.99839,16.000,6.03387
41,2.00484,16.000,6.03871
41,2.00645,16.000,6.03387
41,2.00968,16.000,6.02742
42,2.00323,16.000,6.03065
42,1.99677,16.000,6.04194
43,2.00968,16.000,6.03871
44,2.00484,16.000,6.03226
44,2.01452,16.000,6.03387
45,2.00000,16.000,6.03226
45,2.01129,16.000,6.03548
46,2.00645,16.000,6.03710
47,2.01613,16.000,6.04032
47,2.00484,16.000,6.03871
48,2.00323,16.000,6.04194
48,2.01452,16.000,6.03548
49,2.01129,16.000,6.03710
50,2.00968,16.000,6.02742
50,2.01613,16.000,6.03065
51,2.00323,16.000,6.02903
52,2.00323,16.000,6.03548
52,2.00161,16.000,6.03548
53,2.00645,16.000,6.03871
53,2.01452,16.000,6.04194
54,2.00323,16.000,6.03871
55,2.01290,16.000,6.03871
55,2.01290,16.000,6.03871
56,2.01129,16.000,6.03871
56,2.00968,16.000,6.03065
57,2.01129,16.000,6.03226
58,2.01452,16.000,6.02742
58,2.00645,16.000,6.03065
59,2.00806,16.000,6.03548
59,1.98871,16.000,6.03387
60,2.01129,16.000,6.02903
61,2.01129,16.000,6.03226
61,2.01452,16.000,6.03226
62,1.99839,16.000,6.03710
62,2.00484,16.000,6.02903
63,2.00806,16.000,6.03710
64,2.00968,16.000,6.03548
64,2.00323,16.000,6.03065
65,2.00806,16.000,6.03710
65,2.00806,16.000,6.04355
66,2.02419,16.000,6.03548
67,2.01129,16.000,6.03226
67,1.99677,16.000,6.03065
68,2.01290,16.000,6.02903
68,2.00161,16.000,6.04355
69,2.00484,16.000,6.03387
70,2.00806,16.000,6.02903
70,2.00323,16.000,6.03387
71,2.00484,16.000,6.03548
71,2.01613,16.000,6.03387
72,2.00645,16.000,6.02742
73,2.00484,16.000,6.03065
73,2.01129,16.000,6.03710
74,2.00968,16.000,6.03548
74,2.00806,16.000,6.03226
75,2.00806,16.000,6.03548
75,2.01290,16.000,6.03226
76,2.01129,16.000,6.03065
77,2.00806,16.000,6.03387
77,2.00484,16.000,6.03226
78,2.01290,16.000,6.03065
