timestamp,tds_v,tempC,ph_v
19,1.92097,16.000,6.04516
20,1.92903,16.000,6.04194
20,1.92581,16.000,6.04355
21,1.92581,16.000,6.04194
22,1.92258,16.000,6.04194
22,1.91935,16.000,6.03871
23,1.93065,16.000,6.04194
23,1.92581,16.000,6.04516
24,1.93065,16.000,6.03871
25,1.92419,16.000,6.04516
25,1.93226,16.000,6.04032
26,1.92903,16.000,6.04032
27,1.93065,16.000,6.04677
27,1.92581,16.000,6.03871
28,1.92581,16.000,6.04839
28,1.92581,16.000,6.03871
29,1.92581,16.000,6.04516
30,1.92419,16.000,6.03871
30,1.92903,16.000,6.03548
31,1.92258,16.000,6.04355
31,1.94194,16.000,6.03387
31,1.92742,16.000,6.04032
32,1.92903,16.000,6.03387
32,1.92581,16.000,6.03871
33,1.92903,16.000,6.04032
33,1.92581,16.000,6.04032
34,1.92581,16.000,6.03871
35,1.92742,16.000,6.03387
35,1.92097,16.000,6.04194
36,1.91290,16.000,6.03871
36,1.92419,16.000,6.03548
37,1.92419,16.000,6.03710
38,1.92742,16.000,6.03871
38,1.92581,16.000,6.04355
39,1.93065,16.000,6.03548
39,1.92903,16.000,6.04032
40,1.92742,16.000,6.03387
41,1.92419,16.000,6.04516
41,1.92581,16.000,6.04194
42,1.92742,16.000,6.04194
42,1.92419,16.000,6.03387
43,1.93548,16.000,6.03548
44,1.92419,16.000,6.04355
44,1.93065,16.000,6.04032
45,1.92419,16.000,6.03387
45,1.92903,16.000,6.04677
46,1.92903,16.000,6.04032
47,1.93548,16.000,6.04194
47,1.91452,16.000,6.03226
48,1.92903,16.000,6.04194
49,1.92097,16.000,6.04032
49,1.92581,16.000,6.04355
50,1.92258,16.000,6.04355
50,1.93065,16.000,6.03871
51,1.92258,16.000,6.04516
52,1.92742,16.000,6.04194
52,1.92258,16.000,6.03548
53,1.92258,16.000,6.05323
53,1.92581,16.000,6.04516
54,1.93226,16.000,6.04032
55,1.92419,16.000,6.04032
55,1.92097,16.000,6.05000
56,1.91290,16.000,6.04516
56,1.92742,16.000,6.03710
57,1.92742,16.000,6.03710
58,1.92419,16.000,6.04032
58,1.92742,16.000,6.03871
59,1.92581,16.000,6.04516
59,1.93226,16.000,6.03065
60,1.90806,16.000,6.03871
61,1.92258,16.000,6.04032
61,1.93065,16.000,6.03871
62,1.93065,16.000,6.04839
62,1.92903,16.000,6.03548
63,1.92903,16.000,6.03548
64,1.93387,16.000,6.03710
64,1.92419,16.000,6.04032
65,1.92581,16.000,6.03871
65,1.92742,16.000,6.03710
66,1.92419,16.000,6.03226
67,1.92742,16.000,6.03710
67,1.93065,16.000,6.03548
68,1.91935,16.000,6.04032
68,1.92903,16.000,6.04355
69,1.93226,16.000,6.04032
70,1.93226,16.000,6.03387
70,1.92097,16.000,6.03871
71,1.92097,16.000,6.03226
71,1.92258,16.000,6.04839
72,1.93387,16.000,6.03065
73,1.92742,16.000,6.04194
73,1.92581,16.000,6.04516
73,1.92419,16.000,6.03871
73,1.92903,16.000,6.03871
74,1.92742,16.000,6.03871
75,1.92903,16.000,6.03871
75,1.93065,16.000,6.03871
76,1.92097,16.000,6.04032
76,1.92742,16.000,6.03548
77,1.92903,16.000,6.03710
78,1.92097,16.000,6.04194
78,1.92903,16.000,6.03387
79,1.93065,16.000,6.04032
80,1.92903,16.000,6.03065
80,1.92419,16.000,6.03548
81,1.92258,16.000,6.04032
81,1.92742,16.000,6.03548
82,1.92419,16.000,6.03871
83,1.91935,16.000,6.03387
83,1.92581,16.000,6.03871
84,1.92419,16.000,6.03387
84,1.94194,16.000,6.03387
85,1.92903,16.000,6.03710
86,1.92581,16.000,6.04032
86,1.92258,16.000,6.04032
87,1.91613,16.000,6.03871
87,1.92903,16.000,6.03871
88,1.95968,16.000,6.04194
89,1.92419,16.000,6.03710
89,1.92581,16.000,6.03710
90,1.95323,16.000,6.03710
90,1.93226,16.000,6.04516
91,1.92581,16.000,6.03710
92,1.93065,16.000,6.04355
92,1.93226,16.000,6.03710
93,1.92581,16.000,6.04194
93,1.92903,16.000,6.03871
94,1.93065,16.000,6.04194
