timestamp,tds_v,tempC,ph_v
20,1.49032,16.000,6.03226
20,1.48387,16.000,6.03871
21,1.49194,16.000,6.03387
21,1.49516,16.000,6.03871
21,1.49516,16.000,6.03548
22,1.49677,16.000,6.03226
22,1.49194,16.000,6.03548
23,1.49194,16.000,6.03387
24,1.48710,16.000,6.02903
24,1.49032,16.000,6.03710
25,1.48710,16.000,6.03871
25,1.49194,16.000,6.04032
26,1.49677,16.000,6.03226
27,1.46290,16.000,6.03548
27,1.49032,16.000,6.03871
28,1.50000,16.000,6.04032
29,1.49194,16.000,6.02903
29,1.49677,16.000,6.03710
30,1.48387,16.000,6.03226
30,1.48065,16.000,6.04355
31,1.49194,16.000,6.03226
32,1.49194,16.000,6.04032
32,1.48710,16.000,6.03226
33,1.49194,16.000,6.03387
34,1.49355,16.000,6.03710
34,1.49032,16.000,6.04194
35,1.49355,16.000,6.03871
35,1.49516,16.000,6.03548
36,1.48871,16.000,6.04032
37,1.48871,16.000,6.03871
37,1.48387,16.000,6.03871
38,1.49355,16.000,6.03710
38,1.50645,16.000,6.03387
39,1.49194,16.000,6.03387
40,1.49839,16.000,6.02903
40,1.49516,16.000,6.03065
41,1.49677,16.000,6.03387
41,1.50968,16.000,6.03710
42,1.49032,16.000,6.03226
43,1.48548,16.000,6.03387
43,1.49032,16.000,6.03871
44,1.49677,16.000,6.04194
44,1.49032,16.000,6.04677
45,1.47903,16.000,6.04677
46,1.49516,16.000,6.04032
46,1.49032,16.000,6.04194
47,1.48065,16.000,6.03548
47,1.48871,16.000,6.04355
48,1.49032,16.000,6.03871
49,1.47903,16.000,6.03871
49,1.49355,16.000,6.03710
50,1.49032,16.000,6.03710
50,1.49032,16.000,6.04032
51,1.49516,16.000,6.04032
52,1.49032,16.000,6.03871
52,1.48871,16.000,6.03710
53,1.48548,16.000,6.03871
53,1.48871,16.000,6.04677
54,1.49194,16.000,6.03226
55,1.49194,16.000,6.03548
55,1.48871,16.000,6.04032
56,1.47903,16.000,6.03065
57,1.48548,16.000,6.03548
57,1.49194,16.000,6.03710
58,1.49355,16.000,6.03226
58,1.48226,16.000,6.03065
59,1.48871,16.000,6.03710
60,1.49355,16.000,6.03548
60,1.49516,16.000,6.04032
61,1.49194,16.000,6.03065
61,1.48871,16.000,6.03548
62,1.49194,16.000,6.03548
63,1.49032,16.000,6.04355
63,1.49355,16.000,6.03226
63,1.48871,16.000,6.03548
63,1.49839,16.000,6.03387
64,1.50000,16.000,6.02903
65,1.48548,16.000,6.04194
65,1.48710,16.000,6.03548
66,1.48387,16.000,6.03710
67,1.49355,16.000,6.02903
67,1.49194,16.000,6.03387
68,1.49194,16.000,6.03548
68,1.49677,16.000,6.03710
69,1.49194,16.000,6.03548
70,1.49032,16.000,6.03226
70,1.49839,16.000,6.03387
71,1.49194,16.000,6.03710
71,1.49516,16.000,6.02903
72,1.49516,16.000,6.03387
73,1.48871,16.000,6.03871
73,1.48710,16.000,6.03710
74,1.49516,16.000,6.03548
74,1.49194,16.000,6.03226
75,1.49677,16.000,6.03387
76,1.48548,16.000,6.02742
76,1.48548,16.000,6.03548
77,1.49194,16.000,6.03710
77,1.48387,16.000,6.02903
78,1.48871,16.000,6.04032
79,1.49032,16.000,6.03387
79,1.48710,16.000,6.03387
80,1.48226,16.000,6.03548
80,1.49355,16.000,6.04194
81,1.48548,16.000,6.04032
82,1.48548,16.000,6.03710
82,1.49677,16.000,6.03065
83,1.48710,16.000,6.03548
83,1.48710,16.000,6.04516
84,1.49032,16.000,6.03710
85,1.49355,16.000,6.03387
85,1.48871,16.000,6.03387
86,1.49355,16.000,6.03226
86,1.49516,16.000,6.03710
87,1.49194,16.000,6.04032
88,1.49194,16.000,6.02419
88,1.49032,16.000,6.04355
89,1.48871,16.000,6.03065
89,1.49677,16.000,6.03871
90,1.49032,16.000,6.03710
91,1.49355,16.000,6.03548
91,1.49355,16.000,6.03710
92,1.49194,16.000,6.04032
93,1.49032,16.000,6.03387
93,1.49194,16.000,6.03387
94,1.49194,16.000,6.03387
