timestamp,tds_v,tempC,ph_v
20,1.93065,16.000,6.03871
20,1.90968,16.000,6.03387
21,1.91290,16.000,6.04194
22,1.91613,16.000,6.03871
22,1.91935,16.000,6.04355
23,1.91129,16.000,6.04677
24,1.91290,16.000,6.03548
24,1.92581,16.000,6.03387
25,1.91613,16.000,6.03871
25,1.91452,16.000,6.04355
26,1.91774,16.000,6.04032
27,1.91290,16.000,6.03710
27,1.91774,16.000,6.03548
28,1.92097,16.000,6.03548
28,1.91290,16.000,6.04032
29,1.91774,16.000,6.04032
30,1.91290,16.000,6.03871
30,1.90968,16.000,6.03065
31,1.91613,16.000,6.04194
31,1.92258,16.000,6.05000
32,1.93548,16.000,6.04032
33,1.91129,16.000,6.03871
33,1.92581,16.000,6.04355
34,1.92097,16.000,6.04839
34,1.92742,16.000,6.04032
35,1.92258,16.000,6.03548
36,1.91613,16.000,6.03710
36,1.92258,16.000,6.04194
37,1.91129,16.000,6.04677
37,1.91774,16.000,6.04516
38,1.91935,16.000,6.03710
39,1.91774,16.000,6.04194
40,1.91613,16.000,6.04194
40,1.91935,16.000,6.04194
40,1.91613,16.000,6.04032
40,1.92097,16.000,6.03387
41,1.91935,16.000,6.03710
42,1.92258,16.000,6.03710
42,1.91452,16.000,6.04194
43,1.91129,16.000,6.04032
43,1.91290,16.000,6.03387
44,1.91452,16.000,6.04677
45,1.91452,16.000,6.04032
45,1.91935,16.000,6.04677
46,1.91774,16.000,6.04677
46,1.92097,16.000,6.04839
47,1.92419,16.000,6.04516
48,1.91452,16.000,6.04677
48,1.91290,16.000,6.03548
49,1.92419,16.000,6.03548
49,1.92097,16.000,6.04032
50,1.91774,16.000,6.04194
51,1.91774,16.000,6.04677
51,1.91613,16.000,6.03871
52,1.91613,16.000,6.04677
52,1.91613,16.000,6.03548
53,1.91290,16.000,6.04355
54,1.91129,16.000,6.04677
54,1.91290,16.000,6.03710
55,1.91613,16.000,6.04355
56,1.91774,16.000,6.04032
56,1.91774,16.000,6.04355
57,1.92258,16.000,6.04194
57,1.91935,16.000,6.04677
58,1.91613,16.000,6.04194
59,1.91613,16.000,6.04032
59,1.90806,16.000,6.03387
60,1.91935,16.000,6.05161
60,1.92097,16.000,6.04355
61,1.91613,16.000,6.03548
62,1.91774,16.000,6.04032
62,1.93710,16.000,6.04032
63,1.91290,16.000,6.04677
63,1.91774,16.000,6.03871
64,1.92419,16.000,6.04194
65,1.91452,16.000,6.03871
65,1.89839,16.000,6.04032
66,1.91935,16.000,6.04516
66,1.91935,16.000,6.05000
67,1.92097,16.000,6.03871
68,1.91774,16.000,6.04194
68,1.92258,16.000,6.04032
69,1.91452,16.000,6.05000
69,1.91129,16.000,6.04032
70,1.91613,16.000,6.03710
71,1.92097,16.000,6.04032
71,1.91935,16.000,6.03710
72,1.90323,16.000,6.05000
72,1.91290,16.000,6.03871
73,1.90806,16.000,6.03871
74,1.91774,16.000,6.04194
74,1.91774,16.000,6.04355
75,1.92258,16.000,6.04516
76,1.92097,16.000,6.04194
76,1.91290,16.000,6.04194
77,1.92258,16.000,6.04516
77,1.91452,16.000,6.03387
78,1.91774,16.000,6.04194
79,1.91452,16.000,6.04839
79,1.91452,16.000,6.04194
80,1.92581,16.000,6.04677
80,1.91129,16.000,6.03710
81,1.90161,16.000,6.04839
82,1.91774,16.000,6.03710
82,1.91290,16.000,6.03548
82,1.90806,16.000,6.04839
82,1.92258,16.000,6.03548
83,1.91290,16.000,6.04355
84,1.92097,16.000,6.04194
84,1.90000,16.000,6.04516
85,1.92097,16.000,6.03548
85,1.91774,16.000,6.03871
86,1.90484,16.000,6.04677
87,1.91935,16.000,6.04194
87,1.92258,16.000,6.04032
88,1.91774,16.000,6.04194
88,1.91452,16.000,6.04194
89,1.91129,16.000,6.05161
90,1.91935,16.000,6.04032
90,1.91774,16.000,6.04194
91,1.91613,16.000,6.04355
91,1.90968,16.000,6.04839
92,1.90000,16.000,6.05323
93,1.90323,16.000,6.04194
93,1.91774,16.000,6.04677
94,1.91290,16.000,6.04677
