timestamp,tds_v,tempC,ph_v
19,1.96774,16.000,6.04032
20,1.96774,16.000,6.03710
20,1.96613,16.000,6.03387
21,1.95161,16.000,6.03871
21,1.97097,16.000,6.04839
22,1.96129,16.000,6.03871
23,1.97097,16.000,6.04516
23,1.96774,16.000,6.04516
24,1.93065,16.000,6.04355
24,1.97097,16.000,6.04839
25,1.95968,16.000,6.03710
26,1.96774,16.000,6.03548
26,1.96129,16.000,6.04355
27,1.95968,16.000,6.04032
27,1.97903,16.000,6.05161
28,1.96452,16.000,6.03871
29,1.97258,16.000,6.04516
29,1.96935,16.000,6.03548
30,1.96774,16.000,6.04032
30,1.97419,16.000,6.04516
31,1.96129,16.000,6.03871
32,1.97258,16.000,6.03710
32,1.98065,16.000,6.03226
33,1.96774,16.000,6.04516
33,1.95806,16.000,6.04194
34,1.97258,16.000,6.03387
35,1.96452,16.000,6.03548
35,1.95323,16.000,6.03871
36,1.96290,16.000,6.03710
36,1.95645,16.000,6.04194
37,1.95968,16.000,6.03710
38,1.96290,16.000,6.04355
38,1.96935,16.000,6.03065
39,1.96452,16.000,6.03387
40,1.95968,16.000,6.04032
40,1.97097,16.000,6.04032
41,1.96452,16.000,6.04032
41,1.96129,16.000,6.04355
42,1.96129,16.000,6.04032
43,1.96452,16.000,6.04677
43,1.95645,16.000,6.03710
44,1.96613,16.000,6.04032
44,1.96613,16.000,6.04194
45,1.95968,16.000,6.04194
45,1.96290,16.000,6.03871
45,1.96774,16.000,6.04194
46,1.96613,16.000,6.04194
46,1.97419,16.000,6.03387
47,1.96613,16.000,6.03871
48,1.95484,16.000,6.04355
48,1.95161,16.000,6.03871
49,1.96452,16.000,6.04032
49,1.95806,16.000,6.04194
50,1.96613,16.000,6.03710
51,1.96935,16.000,6.04194
51,1.96774,16.000,6.03548
52,1.96452,16.000,6.03710
53,1.97097,16.000,6.03548
53,1.96774,16.000,6.03871
54,1.95806,16.000,6.04516
54,1.95484,16.000,6.05000
55,1.96452,16.000,6.04194
56,1.96774,16.000,6.04194
56,1.96613,16.000,6.04032
57,1.96774,16.000,6.03871
57,1.96129,16.000,6.03548
58,1.95806,16.000,6.03226
59,1.96452,16.000,6.03871
59,1.96774,16.000,6.04194
60,1.96452,16.000,6.04194
60,1.96129,16.000,6.03710
61,1.96290,16.000,6.03548
62,1.96774,16.000,6.03871
62,1.99516,16.000,6.04032
63,1.95968,16.000,6.03871
63,1.97581,16.000,6.03710
64,1.95968,16.000,6.04032
65,1.96452,16.000,6.03226
65,1.95968,16.000,6.03871
66,1.96129,16.000,6.04355
66,1.96935,16.000,6.03710
67,1.96129,16.000,6.04516
68,1.95161,16.000,6.03871
68,1.95968,16.000,6.03710
69,1.95645,16.000,6.03548
69,1.97258,16.000,6.03387
70,1.96613,16.000,6.03871
71,1.95806,16.000,6.04355
71,1.96613,16.000,6.03226
72,1.96613,16.000,6.03871
72,1.96452,16.000,6.04032
73,1.94839,16.000,6.04194
74,1.96452,16.000,6.03710
74,1.96129,16.000,6.03710
75,1.97258,16.000,6.03710
76,1.96613,16.000,6.03710
76,1.96613,16.000,6.03871
77,1.97419,16.000,6.03871
77,1.96452,16.000,6.03871
78,1.96290,16.000,6.04355
79,1.96129,16.000,6.04032
79,1.95968,16.000,6.04355
80,1.96935,16.000,6.03871
80,1.95645,16.000,6.03548
81,1.96290,16.000,6.04194
82,1.96129,16.000,6.04194
82,1.96613,16.000,6.03065
83,1.97903,16.000,6.04032
83,1.96290,16.000,6.03387
84,1.96613,16.000,6.03548
85,1.96452,16.000,6.03710
85,1.95968,16.000,6.04032
86,1.96129,16.000,6.04839
86,1.95968,16.000,6.03871
87,1.96290,16.000,6.03710
87,1.96290,16.000,6.04355
87,1.95806,16.000,6.04032
88,1.96452,16.000,6.03710
89,1.96290,16.000,6.04677
89,1.98387,16.000,6.03710
90,1.96290,16.000,6.03710
90,1.96613,16.000,6.03226
91,1.96290,16.000,6.03871
92,1.96774,16.000,6.04194
92,1.96452,16.000,6.03387
93,1.96290,16.000,6.03710
93,1.97097,16.000,6.03871
94,1.96452,16.000,6.03387
