timestamp,tds_v,tempC,ph_v
19,1.95323,16.000,6.04032
20,1.95000,16.000,6.04032
20,1.95968,16.000,6.04355
21,1.93548,16.000,6.03871
21,1.94839,16.000,6.04516
22,1.93387,16.000,6.04516
23,1.95968,16.000,6.04032
23,1.94839,16.000,6.04355
24,1.94194,16.000,6.04032
24,1.94677,16.000,6.05000
25,1.95000,16.000,6.03871
26,1.95000,16.000,6.03548
26,1.95484,16.000,6.04032
27,1.95806,16.000,6.04194
28,1.95000,16.000,6.04839
28,1.95000,16.000,6.04355
29,1.95484,16.000,6.04355
29,1.95000,16.000,6.04032
30,1.94839,16.000,6.03871
31,1.94677,16.000,6.04355
31,1.95323,16.000,6.04516
32,1.95806,16.000,6.03710
32,1.94839,16.000,6.03871
33,1.95323,16.000,6.04194
34,1.94032,16.000,6.03548
34,1.95968,16.000,6.04032
35,1.95000,16.000,6.04194
35,1.95484,16.000,6.03548
36,1.94839,16.000,6.03226
37,1.95323,16.000,6.04194
37,1.95645,16.000,6.03871
38,1.95161,16.000,6.03387
38,1.94355,16.000,6.02581
39,1.95968,16.000,6.03871
40,1.94355,16.000,6.04032
40,1.94355,16.000,6.03710
41,1.95645,16.000,6.03871
41,1.94677,16.000,6.03871
42,1.95323,16.000,6.03871
43,1.95161,16.000,6.04355
43,1.95323,16.000,6.03710
44,1.95161,16.000,6.03226
45,1.95161,16.000,6.03710
45,1.95645,16.000,6.03871
46,1.95484,16.000,6.03871
46,1.95000,16.000,6.03871
47,1.95323,16.000,6.03710
48,1.94839,16.000,6.03710
48,1.95484,16.000,6.03871
49,1.96290,16.000,6.04194
49,1.94194,16.000,6.03548
50,1.95645,16.000,6.04355
51,1.95484,16.000,6.05323
51,1.95484,16.000,6.03387
52,1.94677,16.000,6.04839
52,1.95323,16.000,6.03548
53,1.95484,16.000,6.03871
54,1.95000,16.000,6.03710
54,1.95323,16.000,6.03548
55,1.95161,16.000,6.04355
55,1.93065,16.000,6.03710
55,1.95323,16.000,6.04032
56,1.95161,16.000,6.04194
56,1.95968,16.000,6.04032
57,1.95161,16.000,6.04032
57,1.96613,16.000,6.03548
58,1.95484,16.000,6.04032
59,1.95161,16.000,6.03871
59,1.92742,16.000,6.04194
60,1.95161,16.000,6.04677
60,1.94677,16.000,6.04032
61,1.95161,16.000,6.04516
62,1.95000,16.000,6.03871
62,1.95806,16.000,6.04677
63,1.94677,16.000,6.03710
63,1.95000,16.000,6.03710
64,1.95484,16.000,6.03871
65,1.94516,16.000,6.04355
65,1.95161,16.000,6.04032
66,1.94516,16.000,6.05000
66,1.95645,16.000,6.04032
67,1.95000,16.000,6.04032
68,1.94839,16.000,6.04032
68,1.94677,16.000,6.04194
69,1.95323,16.000,6.03871
69,1.95323,16.000,6.04032
70,1.95806,16.000,6.03871
71,1.95484,16.000,6.03548
71,1.95484,16.000,6.04355
72,1.95161,16.000,6.03387
73,1.94355,16.000,6.03387
73,1.99516,16.000,6.04194
74,1.95645,16.000,6.03871
74,1.95000,16.000,6.03871
75,1.94839,16.000,6.03871
76,1.94839,16.000,6.03387
76,1.95484,16.000,6.04032
77,1.95968,16.000,6.03548
77,1.92581,16.000,6.03871
78,1.94839,16.000,6.04032
79,1.95968,16.000,6.04032
79,1.95645,16.000,6.04194
80,1.96613,16.000,6.04839
80,1.95806,16.000,6.03871
81,1.95323,16.000,6.04516
82,1.95161,16.000,6.04194
82,1.95323,16.000,6.03871
83,1.94677,16.000,6.04839
83,1.94355,16.000,6.03387
84,1.93871,16.000,6.04516
85,1.95161,16.000,6.04194
85,1.95323,16.000,6.03387
86,1.95806,16.000,6.03710
86,1.95645,16.000,6.03548
87,1.95161,16.000,6.03710
88,1.93387,16.000,6.03710
88,1.94516,16.000,6.03548
89,1.95323,16.000,6.04355
89,1.95645,16.000,6.03710
90,1.94516,16.000,6.03710
91,1.94516,16.000,6.03710
91,1.95000,16.000,6.03710
92,1.95000,16.000,6.05161
92,1.95000,16.000,6.03548
93,1.95645,16.000,6.03871
94,1.95484,16.000,6.04032
