timestamp,tds_v,tempC,ph_v
19,1.45968,16.000,6.04032
20,1.45645,16.000,6.04032
20,1.45645,16.000,6.03871
21,1.46613,16.000,6.03548
21,1.45645,16.000,6.04516
22,1.45645,16.000,6.03387
23,1.46290,16.000,6.04355
23,1.46452,16.000,6.03871
24,1.46452,16.000,6.03710
24,1.43387,16.000,6.04677
25,1.46774,16.000,6.03548
26,1.45968,16.000,6.03548
26,1.46452,16.000,6.04032
27,1.44355,16.000,6.03387
27,1.45484,16.000,6.03871
28,1.45806,16.000,6.04516
29,1.45161,16.000,6.03871
29,1.45323,16.000,6.04032
30,1.45484,16.000,6.03710
30,1.45484,16.000,6.03871
31,1.45968,16.000,6.04194
32,1.47742,16.000,6.03871
32,1.46290,16.000,6.03710
33,1.46613,16.000,6.04194
33,1.43548,16.000,6.04355
34,1.46290,16.000,6.04516
35,1.46290,16.000,6.04032
35,1.45645,16.000,6.03871
36,1.46290,16.000,6.04032
37,1.45484,16.000,6.04516
37,1.46452,16.000,6.04194
38,1.45645,16.000,6.04194
38,1.46613,16.000,6.03226
39,1.46290,16.000,6.04516
40,1.45484,16.000,6.05323
40,1.47742,16.000,6.03710
41,1.46129,16.000,6.03065
41,1.45484,16.000,6.04516
42,1.46290,16.000,6.04032
43,1.45645,16.000,6.04355
43,1.46452,16.000,6.04032
44,1.45968,16.000,6.04355
44,1.45645,16.000,6.04516
45,1.47097,16.000,6.03548
46,1.46290,16.000,6.03871
46,1.45806,16.000,6.03226
47,1.45968,16.000,6.03710
48,1.46452,16.000,6.03387
48,1.45645,16.000,6.04194
48,1.46129,16.000,6.04032
48,1.45968,16.000,6.04194
49,1.45806,16.000,6.03387
50,1.45806,16.000,6.04032
50,1.45806,16.000,6.04355
51,1.45968,16.000,6.04032
51,1.45968,16.000,6.03226
52,1.45484,16.000,6.03871
53,1.45806,16.000,6.04032
53,1.44677,16.000,6.03871
54,1.45968,16.000,6.04194
54,1.47903,16.000,6.03871
55,1.45806,16.000,6.03226
56,1.43871,16.000,6.04355
56,1.47258,16.000,6.03226
57,1.48710,16.000,6.03871
57,1.45323,16.000,6.04194
58,1.46452,16.000,6.03548
59,1.46452,16.000,6.03548
59,1.46613,16.000,6.04194
60,1.46129,16.000,6.04355
60,1.46129,16.000,6.04032
61,1.45806,16.000,6.03710
62,1.45968,16.000,6.04032
62,1.46129,16.000,6.03710
63,1.46452,16.000,6.03065
63,1.46452,16.000,6.03710
64,1.45806,16.000,6.04032
65,1.45484,16.000,6.03871
65,1.46129,16.000,6.03387
66,1.45968,16.000,6.03710
66,1.46452,16.000,6.03065
67,1.45968,16.000,6.04194
68,1.46935,16.000,6.03710
68,1.45806,16.000,6.04355
69,1.45968,16.000,6.03710
69,1.46452,16.000,6.04032
70,1.46129,16.000,6.03387
71,1.45806,16.000,6.04516
71,1.46452,16.000,6.03710
72,1.46452,16.000,6.04194
72,1.46129,16.000,6.04355
73,1.45645,16.000,6.04677
74,1.46452,16.000,6.04839
74,1.46935,16.000,6.03710
75,1.45806,16.000,6.04194
76,1.46290,16.000,6.04032
76,1.46613,16.000,6.03871
77,1.45645,16.000,6.04516
77,1.44839,16.000,6.03548
78,1.46129,16.000,6.03710
79,1.46290,16.000,6.04032
79,1.45806,16.000,6.03548
80,1.45645,16.000,6.03710
80,1.47097,16.000,6.03710
81,1.45484,16.000,6.03065
82,1.46452,16.000,6.03871
82,1.45161,16.000,6.03548
83,1.46935,16.000,6.03710
83,1.45645,16.000,6.03387
84,1.46452,16.000,6.04355
85,1.45968,16.000,6.04032
85,1.45968,16.000,6.03387
86,1.46129,16.000,6.04839
86,1.45161,16.000,6.03387
87,1.46290,16.000,6.03226
88,1.45645,16.000,6.02742
88,1.45645,16.000,6.03871
89,1.45484,16.000,6.03871
89,1.45968,16.000,6.03548
90,1.45968,16.000,6.03226
90,1.44839,16.000,6.04032
90,1.45000,16.000,6.03387
91,1.45484,16.000,6.04032
91,1.45968,16.000,6.03871
92,1.45806,16.000,6.03548
93,1.46129,16.000,6.04194
93,1.45806,16.000,6.03871
94,1.45806,16.000,6.03548
