timestamp,tds_v,tempC,ph_v
19,1.40645,16.000,6.03548
20,1.41129,16.000,6.04194
20,1.40323,16.000,6.03871
21,1.40484,16.000,6.03871
21,1.40484,16.000,6.03871
22,1.40806,16.000,6.04194
23,1.40484,16.000,6.04355
23,1.40000,16.000,6.03710
24,1.40323,16.000,6.03710
24,1.40645,16.000,6.04194
25,1.40484,16.000,6.03226
26,1.41452,16.000,6.03710
26,1.40806,16.000,6.04032
27,1.40161,16.000,6.03387
27,1.41452,16.000,6.04032
28,1.40806,16.000,6.03710
29,1.40645,16.000,6.03387
29,1.40323,16.000,6.03387
30,1.40000,16.000,6.04032
30,1.40806,16.000,6.03226
31,1.40161,16.000,6.03387
32,1.40645,16.000,6.03548
32,1.40645,16.000,6.03548
33,1.40484,16.000,6.04032
33,1.41774,16.000,6.04194
34,1.40484,16.000,6.04516
35,1.40806,16.000,6.04355
35,1.39677,16.000,6.04355
36,1.41129,16.000,6.03387
37,1.40000,16.000,6.04355
37,1.38226,16.000,6.03710
38,1.40645,16.000,6.04194
38,1.40161,16.000,6.03871
39,1.40323,16.000,6.02903
40,1.40484,16.000,6.03226
40,1.40645,16.000,6.04032
41,1.40484,16.000,6.03548
41,1.39194,16.000,6.03710
42,1.40323,16.000,6.03871
43,1.40484,16.000,6.04677
43,1.40484,16.000,6.03548
44,1.40161,16.000,6.04032
44,1.40323,16.000,6.03387
45,1.40645,16.000,6.03710
45,1.40484,16.000,6.04355
45,1.40806,16.000,6.03387
46,1.39839,16.000,6.04032
47,1.41452,16.000,6.03710
47,1.40645,16.000,6.03387
48,1.40645,16.000,6.04516
48,1.40323,16.000,6.04194
49,1.40484,16.000,6.04032
50,1.40645,16.000,6.03226
50,1.40161,16.000,6.03387
51,1.41129,16.000,6.04032
51,1.37258,16.000,6.03710
52,1.40645,16.000,6.04355
53,1.40161,16.000,6.03387
53,1.41129,16.000,6.03871
54,1.40000,16.000,6.03710
54,1.40484,16.000,6.02903
55,1.40484,16.000,6.04194
56,1.41452,16.000,6.04032
56,1.41290,16.000,6.04032
57,1.40968,16.000,6.04355
57,1.40645,16.000,6.03871
58,1.41129,16.000,6.03710
59,1.39839,16.000,6.04677
59,1.40806,16.000,6.03548
60,1.40806,16.000,6.04032
60,1.41774,16.000,6.04194
61,1.40161,16.000,6.04032
62,1.40645,16.000,6.03710
62,1.40000,16.000,6.03065
63,1.43065,16.000,6.03871
63,1.41129,16.000,6.03387
64,1.40484,16.000,6.03871
65,1.40484,16.000,6.03871
65,1.40806,16.000,6.03871
66,1.40323,16.000,6.04355
66,1.40484,16.000,6.03548
67,1.40484,16.000,6.03871
68,1.40161,16.000,6.04032
68,1.40484,16.000,6.03226
69,1.40323,16.000,6.04194
69,1.40323,16.000,6.04194
70,1.41290,16.000,6.03710
71,1.41129,16.000,6.03871
71,1.40000,16.000,6.03710
72,1.40323,16.000,6.03871
72,1.40806,16.000,6.03871
73,1.39839,16.000,6.03548
74,1.41129,16.000,6.03710
74,1.39355,16.000,6.03548
75,1.41452,16.000,6.04194
76,1.40000,16.000,6.03387
76,1.40645,16.000,6.03065
77,1.40484,16.000,6.03710
77,1.40645,16.000,6.03710
78,1.37742,16.000,6.04032
79,1.41129,16.000,6.03710
79,1.40161,16.000,6.04032
80,1.39839,16.000,6.04355
80,1.40484,16.000,6.04194
81,1.40645,16.000,6.04194
82,1.41290,16.000,6.04032
82,1.40484,16.000,6.03710
83,1.40323,16.000,6.03387
83,1.40645,16.000,6.03065
84,1.40484,16.000,6.03871
85,1.40323,16.000,6.03871
85,1.40806,16.000,6.04032
86,1.40806,16.000,6.04194
86,1.40806,16.000,6.03548
87,1.40645,16.000,6.03548
87,1.40323,16.000,6.03710
87,1.40484,16.000,6.04032
88,1.40968,16.000,6.04032
88,1.40484,16.000,6.03871
89,1.40968,16.000,6.04032
90,1.40645,16.000,6.03548
90,1.39516,16.000,6.03387
91,1.41774,16.000,6.04677
91,1.40000,16.000,6.03387
92,1.40645,16.000,6.04516
93,1.40968,16.000,6.03548
93,1.40000,16.000,6.03710
94,1.40484,16.000,6.04194
