timestamp,tds_v,tempC,ph_v
19,1.41774,16.000,6.03226
19,1.40484,16.000,6.03871
20,1.42097,16.000,6.03871
20,1.40968,16.000,6.03548
21,1.41452,16.000,6.03548
22,1.40806,16.000,6.03387
22,1.41129,16.000,6.04194
23,1.41613,16.000,6.03548
23,1.40484,16.000,6.03710
24,1.41774,16.000,6.03710
25,1.40645,16.000,6.03387
25,1.40806,16.000,6.03387
26,1.40645,16.000,6.03387
26,1.38548,16.000,6.03548
27,1.40806,16.000,6.04194
28,1.41290,16.000,6.03387
28,1.41129,16.000,6.03065
29,1.41290,16.000,6.03548
30,1.41452,16.000,6.03710
30,1.40484,16.000,6.04194
31,1.40645,16.000,6.03387
31,1.40968,16.000,6.03710
32,1.40645,16.000,6.03226
33,1.40968,16.000,6.03548
33,1.41452,16.000,6.04194
34,1.40968,16.000,6.04677
34,1.41774,16.000,6.02903
35,1.40645,16.000,6.03710
36,1.41290,16.000,6.03548
36,1.41613,16.000,6.03548
37,1.40484,16.000,6.04032
37,1.40806,16.000,6.03065
38,1.41452,16.000,6.02742
39,1.40806,16.000,6.03065
39,1.39839,16.000,6.03871
40,1.40645,16.000,6.03710
40,1.40968,16.000,6.02742
41,1.40968,16.000,6.03548
42,1.41129,16.000,6.04032
42,1.41129,16.000,6.02742
43,1.40806,16.000,6.03871
43,1.41452,16.000,6.03871
44,1.41290,16.000,6.04032
45,1.40484,16.000,6.03710
45,1.41774,16.000,6.03387
46,1.41935,16.000,6.03710
46,1.41290,16.000,6.03387
47,1.41290,16.000,6.03871
47,1.40645,16.000,6.03226
47,1.40806,16.000,6.03871
48,1.41774,16.000,6.03710
48,1.41613,16.000,6.03710
49,1.40968,16.000,6.03871
50,1.41290,16.000,6.03548
50,1.40323,16.000,6.03710
51,1.41613,16.000,6.03548
51,1.41613,16.000,6.03226
52,1.41452,16.000,6.03226
53,1.40968,16.000,6.03871
53,1.40484,16.000,6.04516
54,1.41452,16.000,6.03710
54,1.40968,16.000,6.03387
55,1.40968,16.000,6.03387
56,1.41129,16.000,6.03548
56,1.40323,16.000,6.03548
57,1.41452,16.000,6.03548
57,1.41290,16.000,6.03548
58,1.41129,16.000,6.03710
59,1.39032,16.000,6.03548
59,1.40968,16.000,6.04194
60,1.40806,16.000,6.04194
60,1.40968,16.000,6.03710
61,1.40806,16.000,6.04032
62,1.41452,16.000,6.04194
62,1.41290,16.000,6.03387
63,1.40968,16.000,6.03710
64,1.41613,16.000,6.03871
64,1.40806,16.000,6.03387
65,1.41129,16.000,6.03871
65,1.41129,16.000,6.04032
66,1.41129,16.000,6.04194
67,1.40161,16.000,6.04032
67,1.40806,16.000,6.03871
68,1.40968,16.000,6.03548
68,1.41290,16.000,6.03548
69,1.40806,16.000,6.04194
70,1.40806,16.000,6.02903
70,1.41290,16.000,6.03871
71,1.40484,16.000,6.03387
71,1.41290,16.000,6.03387
72,1.41452,16.000,6.03871
73,1.41129,16.000,6.03387
73,1.40968,16.000,6.04032
74,1.41613,16.000,6.04194
74,1.41290,16.000,6.03548
75,1.40645,16.000,6.03710
76,1.41129,16.000,6.03710
76,1.40161,16.000,6.03710
77,1.40645,16.000,6.03871
77,1.40806,16.000,6.03387
78,1.40645,16.000,6.03710
79,1.41129,16.000,6.03387
79,1.40645,16.000,6.04032
80,1.40484,16.000,6.03548
80,1.41452,16.000,6.03710
81,1.41613,16.000,6.04516
82,1.40484,16.000,6.03548
82,1.40968,16.000,6.04032
83,1.40968,16.000,6.04032
83,1.41129,16.000,6.03871
84,1.40161,16.000,6.03387
85,1.40968,16.000,6.03710
85,1.40806,16.000,6.03548
86,1.40968,16.000,6.04032
86,1.44032,16.000,6.03387
87,1.41452,16.000,6.02903
88,1.40968,16.000,6.04194
88,1.40323,16.000,6.03871
89,1.41452,16.000,6.03226
89,1.41129,16.000,6.03871
89,1.40484,16.000,6.04032
90,1.40968,16.000,6.03065
90,1.40806,16.000,6.03871
91,1.40806,16.000,6.03710
92,1.41129,16.000,6.03065
92,1.41290,16.000,6.03710
93,1.38387,16.000,6.03065
93,1.41452,16.000,6.03871
94,1.40645,16.000,6.03548
