timestamp,tds_v,tempC,ph_v
20,2.04516,25.000,6.03710
20,2.04032,25.000,6.04194
21,2.04516,25.000,6.03226
22,2.04839,25.000,6.04194
22,2.05161,25.000,6.04032
23,2.05645,25.000,6.04355
23,2.04677,25.000,6.03871
24,2.04355,25.000,6.04839
25,2.05000,25.000,6.04032
25,2.05161,25.000,6.04677
26,2.05645,25.000,6.03710
26,2.06613,25.000,6.03871
27,2.04677,25.000,6.03226
28,2.04839,25.000,6.03871
28,2.04839,25.000,6.04516
29,2.04355,25.000,6.03871
29,2.04839,25.000,6.03548
30,2.04516,25.000,6.04032
31,2.03871,25.000,6.03548
31,2.04194,25.000,6.04194
32,2.04677,25.000,6.04032
32,2.05323,25.000,6.03387
33,2.05161,25.000,6.03710
34,2.05161,25.000,6.03710
34,2.04032,25.000,6.04677
35,2.04355,25.000,6.04032
35,2.05000,25.000,6.03871
36,2.04839,25.000,6.03387
37,2.05484,25.000,6.03710
37,2.04516,25.000,6.03871
38,2.03387,25.000,6.03548
38,2.04839,25.000,6.04032
39,2.03871,25.000,6.03710
39,2.04194,25.000,6.04032
40,2.04839,25.000,6.04032
41,2.04839,25.000,6.04194
41,2.04839,25.000,6.03548
42,2.04355,25.000,6.03226
42,2.05323,25.000,6.04032
42,2.04194,25.000,6.03065
43,2.03871,25.000,6.03710
43,2.04194,25.000,6.04194
44,2.06129,25.000,6.03065
44,2.04516,25.000,6.03548
45,2.05161,25.000,6.03871
46,2.05484,25.000,6.03548
46,2.04516,25.000,6.04194
47,2.04516,25.000,6.04677
47,2.04516,25.000,6.03871
48,2.05323,25.000,6.03710
49,2.04839,25.000,6.03710
49,2.04194,25.000,6.03710
50,2.03548,25.000,6.04194
50,2.04194,25.000,6.03871
51,2.05645,25.000,6.03548
52,2.05000,25.000,6.03226
52,2.04194,25.000,6.03871
53,2.04032,25.000,6.04355
53,2.04355,25.000,6.03871
54,2.05161,25.000,6.03871
55,2.05000,25.000,6.04032
55,2.05484,25.000,6.03387
56,2.05000,25.000,6.04194
56,2.04839,25.000,6.03548
57,2.04839,25.000,6.03548
58,2.04032,25.000,6.03710
58,2.02581,25.000,6.04194
59,2.04677,25.000,6.04516
59,2.05161,25.000,6.03871
60,2.04677,25.000,6.03710
61,2.05000,25.000,6.03710
61,2.04355,25.000,6.03548
62,2.04677,25.000,6.03871
62,2.04516,25.000,6.04032
63,2.05000,25.000,6.03387
63,2.03548,25.000,6.03871
64,2.05000,25.000,6.03710
65,2.04194,25.000,6.04032
65,2.05000,25.000,6.03871
66,2.04194,25.000,6.04194
66,2.05000,25.000,6.03548
67,2.04677,25.000,6.04194
68,2.01290,25.000,6.03871
68,2.04194,25.000,6.04032
69,2.02258,25.000,6.02903
69,2.04516,25.000,6.03871
70,2.04839,25.000,6.04516
71,2.04839,25.000,6.04194
71,2.04355,25.000,6.03548
72,2.05161,25.000,6.03710
72,2.05968,25.000,6.03710
73,2.04516,25.000,6.03548
73,2.04032,25.000,6.03226
74,2.04194,25.000,6.03871
75,2.05000,25.000,6.03548
75,2.05000,25.000,6.03387
76,2.04355,25.000,6.03387
76,2.04032,25.000,6.03871
77,2.05161,25.000,6.03387
78,2.04516,25.000,6.03871
78,2.04839,25.000,6.03710
79,2.05323,25.000,6.03710
79,2.05000,25.000,6.03871
80,2.04032,25.000,6.03710
81,2.06290,25.000,6.04194
81,2.04839,25.000,6.03548
82,2.04839,25.000,6.03548
82,2.04516,25.000,6.04032
83,2.04032,25.000,6.03548
83,2.04516,25.000,6.03548
83,2.04355,25.000,6.04032
84,2.04677,25.000,6.04194
84,2.04516,25.000,6.04032
85,2.05000,25.000,6.03226
86,2.05000,25.000,6.03710
86,2.03871,25.000,6.03710
87,2.05484,25.000,6.04194
87,2.03548,25.000,6.03548
88,2.04516,25.000,6.03710
89,2.05161,25.000,6.04032
89,2.04032,25.000,6.04032
90,2.04355,25.000,6.03548
90,2.04194,25.000,6.03871
91,2.04516,25.000,6.03387
92,2.05161,25.000,6.03226
92,2.04839,25.000,6.03710
93,2.05000,25.000,6.04516
93,2.04839,25.000,6.03871
94,2.04516,16.000,6.03226
