timestamp,tds_v,tempC,ph_v
20,1.41613,16.000,6.03387
20,1.41613,16.000,6.04194
20,1.41129,16.000,6.03387
21,1.41452,16.000,6.03548
21,1.40323,16.000,6.03871
22,1.41290,16.000,6.04032
22,1.41613,16.000,6.03710
23,1.39194,16.000,6.03710
24,1.41290,16.000,6.03387
24,1.41129,16.000,6.04194
25,1.41129,16.000,6.03548
25,1.41290,16.000,6.03548
26,1.41452,16.000,6.03710
27,1.41613,16.000,6.03548
27,1.41452,16.000,6.03387
28,1.41452,16.000,6.03871
28,1.41290,16.000,6.03710
29,1.41613,16.000,6.03226
30,1.40968,16.000,6.03387
30,1.41129,16.000,6.03548
31,1.41774,16.000,6.04516
31,1.41774,16.000,6.04355
32,1.41774,16.000,6.03871
33,1.41452,16.000,6.03710
33,1.41129,16.000,6.04194
34,1.41774,16.000,6.03710
34,1.41290,16.000,6.03065
35,1.41774,16.000,6.04032
36,1.41129,16.000,6.04194
36,1.41452,16.000,6.04516
37,1.41129,16.000,6.03871
37,1.40161,16.000,6.02742
38,1.40000,16.000,6.04677
39,1.46290,16.000,6.03548
39,1.41129,16.000,6.03548
40,1.41129,16.000,6.04032
41,1.41129,16.000,6.03226
41,1.40968,16.000,6.04194
42,1.41290,16.000,6.03871
42,1.41290,16.000,6.03871
43,1.41129,16.000,6.04839
44,1.40806,16.000,6.04032
44,1.41613,16.000,6.04355
45,1.39355,16.000,6.03871
45,1.40484,16.000,6.03387
46,1.40968,16.000,6.03548
47,1.41774,16.000,6.03548
47,1.40968,16.000,6.03871
48,1.42097,16.000,6.03871
48,1.41129,16.000,6.03710
49,1.41129,16.000,6.03710
50,1.41613,16.000,6.03871
50,1.41613,16.000,6.04677
51,1.42097,16.000,6.04194
51,1.43387,16.000,6.03710
52,1.41452,16.000,6.03065
53,1.41129,16.000,6.03710
53,1.40806,16.000,6.03871
54,1.41452,16.000,6.03710
54,1.41613,16.000,6.04516
55,1.41613,16.000,6.03871
56,1.40645,16.000,6.03871
56,1.41452,16.000,6.04032
57,1.40806,16.000,6.04194
57,1.41129,16.000,6.04677
58,1.41613,16.000,6.03871
59,1.41935,16.000,6.04194
59,1.40000,16.000,6.03710
60,1.41452,16.000,6.04677
60,1.40645,16.000,6.03710
61,1.41290,16.000,6.03710
62,1.40645,16.000,6.03871
62,1.41452,16.000,6.04032
62,1.41613,16.000,6.03710
62,1.40484,16.000,6.04032
63,1.41613,16.000,6.03387
64,1.41613,16.000,6.04032
64,1.40323,16.000,6.03871
65,1.41290,16.000,6.04032
65,1.40484,16.000,6.03871
66,1.40323,16.000,6.03871
67,1.41452,16.000,6.03710
67,1.40484,16.000,6.04677
68,1.39355,16.000,6.04032
68,1.41452,16.000,6.03710
69,1.41452,16.000,6.04032
70,1.41290,16.000,6.03710
70,1.39839,16.000,6.03710
71,1.41452,16.000,6.03548
71,1.40806,16.000,6.03226
72,1.41290,16.000,6.04032
73,1.42581,16.000,6.03871
73,1.39839,16.000,6.04194
74,1.40968,16.000,6.04516
74,1.40806,16.000,6.03871
75,1.41452,16.000,6.04032
76,1.36290,16.000,6.03871
76,1.40645,16.000,6.03710
77,1.41452,16.000,6.03548
78,1.41129,16.000,6.03065
78,1.41129,16.000,6.03387
79,1.41290,16.000,6.03548
79,1.40806,16.000,6.04032
80,1.40161,16.000,6.03710
81,1.41290,16.000,6.03871
81,1.40968,16.000,6.03871
82,1.41774,16.000,6.04677
82,1.41129,16.000,6.04032
83,1.38065,16.000,6.03871
84,1.40806,16.000,6.03387
84,1.41290,16.000,6.03871
85,1.41129,16.000,6.04032
85,1.41613,16.000,6.04032
86,1.41452,16.000,6.03548
87,1.41129,16.000,6.03548
87,1.41613,16.000,6.02903
88,1.41452,16.000,6.03871
88,1.40323,16.000,6.04032
89,1.41452,16.000,6.03226
90,1.41613,16.000,6.03387
90,1.40161,16.000,6.03710
91,1.42581,16.000,6.03548
92,1.41129,16.000,6.04194
92,1.41129,16.000,6.03548
93,1.41774,16.000,6.03387
93,1.40645,16.000,6.03710
94,1.41613,16.000,6.02903
