timestamp,tds_v,tempC,ph_v
19,1.40806,16.000,6.03871
20,1.41129,16.000,6.03710
20,1.41452,16.000,6.04032
21,1.40968,16.000,6.03871
21,1.40645,16.000,6.04032
22,1.40645,16.000,6.03387
23,1.41129,16.000,6.04355
23,1.40806,16.000,6.04032
24,1.40806,16.000,6.04355
24,1.40968,16.000,6.04839
25,1.41129,16.000,6.04194
26,1.41129,16.000,6.04194
26,1.41129,16.000,6.03387
27,1.40806,16.000,6.03226
27,1.41290,16.000,6.04355
28,1.41290,16.000,6.03065
29,1.41452,16.000,6.04032
29,1.40968,16.000,6.04194
30,1.41452,16.000,6.04032
30,1.40968,16.000,6.03871
31,1.40645,16.000,6.04032
32,1.41129,16.000,6.03548
32,1.41129,16.000,6.04032
33,1.41290,16.000,6.04032
33,1.41290,16.000,6.04355
34,1.41290,16.000,6.04516
35,1.41129,16.000,6.04516
35,1.41290,16.000,6.04194
36,1.41613,16.000,6.04516
36,1.41129,16.000,6.04194
37,1.40968,16.000,6.04355
38,1.40968,16.000,6.03387
38,1.40968,16.000,6.04032
39,1.40968,16.000,6.04677
39,1.42581,16.000,6.03871
40,1.40968,16.000,6.03710
41,1.41290,16.000,6.03548
41,1.40161,16.000,6.03065
42,1.41290,16.000,6.03871
43,1.40806,16.000,6.04032
43,1.42742,16.000,6.03710
44,1.40968,16.000,6.04194
45,1.41290,16.000,6.04194
45,1.41290,16.000,6.04032
46,1.41129,16.000,6.03710
46,1.41129,16.000,6.04032
47,1.40968,16.000,6.04032
48,1.40968,16.000,6.03871
48,1.41290,16.000,6.02903
49,1.41290,16.000,6.04194
49,1.41613,16.000,6.03387
50,1.40484,16.000,6.03710
51,1.41452,16.000,6.03548
51,1.41290,16.000,6.04032
52,1.41613,16.000,6.04194
52,1.41452,16.000,6.04032
53,1.40806,16.000,6.03387
54,1.41129,16.000,6.03871
54,1.41452,16.000,6.03871
55,1.41129,16.000,6.03871
55,1.41290,16.000,6.04194
56,1.41613,16.000,6.03710
56,1.41129,16.000,6.04194
57,1.41452,16.000,6.03548
57,1.40484,16.000,6.03387
58,1.41935,16.000,6.03387
