timestamp,tds_v,tempC,ph_v
19,1.90161,16.000,6.04032
20,1.90806,16.000,6.03548
20,1.90968,16.000,6.03548
20,1.90645,16.000,6.03548
21,1.90484,16.000,6.04677
21,1.90968,16.000,6.03548
22,1.90968,16.000,6.03226
23,1.91452,16.000,6.04032
23,1.90000,16.000,6.03871
24,1.90968,16.000,6.04355
24,1.90806,16.000,6.03871
25,1.91452,16.000,6.04194
26,1.90806,16.000,6.03387
26,1.90645,16.000,6.03871
27,1.90968,16.000,6.04032
27,1.90968,16.000,6.03387
28,1.90645,16.000,6.04516
29,1.91129,16.000,6.04194
29,1.90806,16.000,6.03871
30,1.91290,16.000,6.04516
30,1.89516,16.000,6.04516
31,1.90645,16.000,6.03871
32,1.91452,16.000,6.03710
32,1.91290,16.000,6.03871
33,1.90645,16.000,6.04516
33,1.90645,16.000,6.03871
34,1.90323,16.000,6.03387
35,1.90645,16.000,6.03065
35,1.90323,16.000,6.03710
36,1.90484,16.000,6.04516
36,1.90968,16.000,6.03226
37,1.90806,16.000,6.03871
38,1.90645,16.000,6.04032
38,1.90645,16.000,6.04677
39,1.90968,16.000,6.05000
39,1.91129,16.000,6.03710
40,1.90484,16.000,6.03387
41,1.90968,16.000,6.03710
41,1.90645,16.000,6.03065
42,1.90645,16.000,6.04032
42,1.90645,16.000,6.03710
43,1.92097,16.000,6.03871
44,1.90806,16.000,6.02903
44,1.90968,16.000,6.03710
45,1.90645,16.000,6.04032
45,1.90484,16.000,6.03387
46,1.91452,16.000,6.03710
47,1.90806,16.000,6.03387
47,1.91290,16.000,6.03710
48,1.90806,16.000,6.04032
49,1.90645,16.000,6.03548
49,1.90645,16.000,6.04032
50,1.90645,16.000,6.04032
50,1.88710,16.000,6.03710
51,1.90000,16.000,6.03871
52,1.89032,16.000,6.03548
52,1.90323,16.000,6.03065
53,1.90806,16.000,6.03387
53,1.90968,16.000,6.03710
54,1.90968,16.000,6.04516
55,1.90000,16.000,6.03710
55,1.90161,16.000,6.03710
56,1.90484,16.000,6.03710
56,1.90323,16.000,6.04194
57,1.90323,16.000,6.03710
58,1.91290,16.000,6.03871
58,1.90968,16.000,6.03871
59,1.91613,16.000,6.02903
59,1.91129,16.000,6.03226
60,1.89839,16.000,6.03871
61,1.90161,16.000,6.03710
61,1.91452,16.000,6.04032
62,1.90484,16.000,6.03548
62,1.90968,16.000,6.03710
62,1.91290,16.000,6.03871
63,1.90968,16.000,6.03871
63,1.90806,16.000,6.02742
64,1.90484,16.000,6.03387
64,1.90645,16.000,6.03871
65,1.91290,16.000,6.03387
66,1.91452,16.000,6.03387
66,1.88871,16.000,6.03548
67,1.90806,16.000,6.03226
67,1.90645,16.000,6.03387
68,1.90484,16.000,6.04032
69,1.92097,16.000,6.03871
69,1.89677,16.000,6.03710
70,1.90968,16.000,6.03710
70,1.91452,16.000,6.03710
71,1.90806,16.000,6.04677
72,1.90484,16.000,6.03710
72,1.90806,16.000,6.04194
73,1.90484,16.000,6.03387
73,1.90968,16.000,6.03871
74,1.90806,16.000,6.03548
75,1.91129,16.000,6.03871
75,1.91290,16.000,6.03710
76,1.91129,16.000,6.03871
76,1.90968,16.000,6.04194
77,1.90806,16.000,6.03710
78,1.91774,16.000,6.04032
78,1.91129,16.000,6.04032
79,1.91129,16.000,6.03065
79,1.91774,16.000,6.03548
80,1.90968,16.000,6.03387
81,1.90645,16.000,6.03548
81,1.90000,16.000,6.03710
82,1.90806,16.000,6.04032
83,1.90000,16.000,6.03871
83,1.90968,16.000,6.03226
84,1.88065,16.000,6.03387
84,1.90484,16.000,6.04032
85,1.90645,16.000,6.05000
86,1.91613,16.000,6.04355
86,1.91129,16.000,6.03710
87,1.91129,16.000,6.03710
87,1.90968,16.000,6.03710
88,1.90161,16.000,6.03387
89,1.91290,16.000,6.02581
89,1.90806,16.000,6.04194
90,1.90323,16.000,6.03548
90,1.91129,16.000,6.03871
91,1.91290,16.000,6.03871
92,1.90806,16.000,6.04194
92,1.91935,16.000,6.03710
93,1.91452,16.000,6.03387
93,1.90645,16.000,6.03226
94,1.90806,16.000,6.04032
