timestamp,tds_v,tempC,ph_v
19,1.94032,16.000,6.04355
20,1.94839,16.000,6.04032
20,1.94194,16.000,6.04032
21,1.93871,16.000,6.03387
21,1.93548,16.000,6.05000
22,1.94194,16.000,6.04032
23,1.93871,16.000,6.03710
23,1.93871,16.000,6.04355
24,1.94032,16.000,6.04355
24,1.93710,16.000,6.04194
25,1.95161,16.000,6.03871
26,1.94839,16.000,6.03871
26,1.94355,16.000,6.04194
27,1.93548,16.000,6.03710
27,1.93871,16.000,6.04516
28,1.94355,16.000,6.04355
29,1.94194,16.000,6.04032
29,1.95323,16.000,6.04194
30,1.94355,16.000,6.03387
30,1.94516,16.000,6.04194
31,1.94516,16.000,6.03871
32,1.94032,16.000,6.04032
32,1.95323,16.000,6.03871
33,1.95000,16.000,6.04355
34,1.93871,16.000,6.03871
34,1.93710,16.000,6.03548
35,1.93871,16.000,6.04355
35,1.94355,16.000,6.04355
36,1.94032,16.000,6.04516
37,1.95323,16.000,6.04032
37,1.94194,16.000,6.03710
38,1.93710,16.000,6.04839
38,1.94194,16.000,6.03871
39,1.93871,16.000,6.04516
40,1.94032,16.000,6.04516
40,1.94032,16.000,6.03871
41,1.93548,16.000,6.04516
41,1.94516,16.000,6.03548
42,1.94194,16.000,6.03871
42,1.95000,16.000,6.04677
42,1.92258,16.000,6.04194
43,1.94355,16.000,6.03871
43,1.93710,16.000,6.03871
44,1.95645,16.000,6.03226
45,1.95645,16.000,6.04677
45,1.94516,16.000,6.04032
46,1.94516,16.000,6.04677
47,1.94194,16.000,6.03871
47,1.94194,16.000,6.04194
48,1.94839,16.000,6.03871
48,1.94032,16.000,6.04194
49,1.94355,16.000,6.04516
50,1.94516,16.000,6.04194
50,1.94032,16.000,6.04032
51,1.94032,16.000,6.04194
51,1.94032,16.000,6.03710
52,1.94677,16.000,6.04355
52,1.94677,16.000,6.04516
53,1.94516,16.000,6.04194
54,1.94032,16.000,6.04194
54,1.94194,16.000,6.03548
55,1.93871,16.000,6.03871
55,1.93548,16.000,6.04516
56,1.94516,16.000,6.03387
57,1.94194,16.000,6.03548
57,1.94032,16.000,6.03871
58,1.93710,16.000,6.03710
58,1.94194,16.000,6.05000
59,1.94839,16.000,6.04839
60,1.94677,16.000,6.04032
60,1.94355,16.000,6.04032
61,1.94516,16.000,6.04355
61,1.94032,16.000,6.04194
62,1.94839,16.000,6.03871
63,1.93548,16.000,6.04032
63,1.93548,16.000,6.03710
64,1.94516,16.000,6.03710
65,1.94032,16.000,6.04839
65,1.92581,16.000,6.03387
66,1.94355,16.000,6.03871
66,1.95161,16.000,6.03226
67,1.94839,16.000,6.04032
68,1.95000,16.000,6.04194
68,1.94355,16.000,6.03710
69,1.94355,16.000,6.04677
69,1.92581,16.000,6.03710
70,1.94355,16.000,6.04032
71,1.94355,16.000,6.04194
71,1.94194,16.000,6.03548
72,1.94516,16.000,6.03871
72,1.94194,16.000,6.03710
73,1.94194,16.000,6.03871
74,1.94516,16.000,6.03871
74,1.94194,16.000,6.04032
75,1.93710,16.000,6.03871
75,1.94355,16.000,6.03871
76,1.94516,16.000,6.04032
77,1.93710,16.000,6.04839
77,1.93710,16.000,6.03710
78,1.90000,16.000,6.03387
79,1.95484,16.000,6.04032
79,1.94194,16.000,6.04032
80,1.93226,16.000,6.04355
80,1.96129,16.000,6.03387
81,1.94355,16.000,6.04194
82,1.94839,16.000,6.03548
82,1.93871,16.000,6.04032
83,1.93710,16.000,6.04194
83,1.94839,16.000,6.04032
83,1.93871,16.000,6.03226
84,1.93871,16.000,6.04194
84,1.94516,16.000,6.03871
85,1.93065,16.000,6.04194
85,1.93710,16.000,6.04032
86,1.94677,16.000,6.04032
87,1.94355,16.000,6.03387
87,1.95484,16.000,6.04032
88,1.95806,16.000,6.04355
88,1.94677,16.000,6.04516
89,1.94355,16.000,6.04194
90,1.93871,16.000,6.04194
90,1.93871,16.000,6.03871
91,1.94516,16.000,6.04194
91,1.93871,16.000,6.04032
92,1.93710,16.000,6.04194
93,1.94677,16.000,6.03548
93,1.94516,16.000,6.03871
94,1.93710,16.000,6.04355
