timestamp,tds_v,tempC,ph_v
19,2.00806,16.000,6.02581
20,1.99839,16.000,6.03548
20,2.00645,16.000,6.03871
21,2.00645,16.000,6.03548
22,1.99677,16.000,6.03065
22,2.00806,16.000,6.03710
23,2.00806,16.000,6.03226
23,2.00806,16.000,6.03710
24,2.00161,16.000,6.03065
25,1.99032,16.000,6.04032
25,2.00323,16.000,6.02903
26,2.03710,16.000,6.03548
26,2.00484,16.000,6.02742
27,2.00000,16.000,6.04032
28,2.00968,16.000,6.03387
28,2.00323,16.000,6.03548
29,2.00323,16.000,6.03710
29,2.00000,16.000,6.03226
30,2.00484,16.000,6.04032
31,2.00000,16.000,6.03387
31,2.00484,16.000,6.04032
32,2.00806,16.000,6.03871
32,2.01129,16.000,6.03065
33,2.00161,16.000,6.03065
34,2.00323,16.000,6.04032
34,2.00806,16.000,6.03226
35,2.00968,16.000,6.03226
35,2.00806,16.000,6.03710
36,2.00484,16.000,6.04194
37,2.00484,16.000,6.04032
37,2.00323,16.000,6.04032
38,2.00161,16.000,6.02903
39,2.01129,16.000,6.03387
39,2.00645,16.000,6.03548
40,2.00968,16.000,6.03871
40,1.99516,16.000,6.03065
41,2.00161,16.000,6.03548
42,2.00323,16.000,6.03548
42,2.00323,16.000,6.02903
43,2.00323,16.000,6.04516
43,2.01129,16.000,6.04355
44,2.00484,16.000,6.02903
45,2.00484,16.000,6.03387
45,2.01452,16.000,6.04032
46,2.01290,16.000,6.03871
46,2.00484,16.000,6.03710
47,1.99839,16.000,6.03548
48,1.99355,16.000,6.03548
48,2.01290,16.000,6.03387
49,2.00161,16.000,6.03871
50,2.00323,16.000,6.03387
50,2.01129,16.000,6.04032
51,1.99839,16.000,6.03548
51,2.00645,16.000,6.03226
52,2.00645,16.000,6.03548
53,2.00968,16.000,6.03065
53,2.00645,16.000,6.03548
54,1.99839,16.000,6.03387
54,2.00484,16.000,6.02903
55,1.98226,16.000,6.03387
56,2.00806,16.000,6.04355
56,2.00806,16.000,6.03387
57,1.99355,16.000,6.03871
57,2.00645,16.000,6.03548
58,2.00806,16.000,6.02903
59,2.00323,16.000,6.03226
59,2.01452,16.000,6.03387
60,2.00645,16.000,6.03387
60,2.00645,16.000,6.03387
60,2.00323,16.000,6.03710
61,2.00968,16.000,6.03226
61,2.00806,16.000,6.03548
62,1.99839,16.000,6.03871
62,2.00000,16.000,6.03871
63,2.00323,16.000,6.02903
64,1.99355,16.000,6.03871
64,2.00484,16.000,6.03387
65,1.99194,16.000,6.04355
65,2.00806,16.000,6.03387
66,2.00000,16.000,6.03387
67,2.00000,16.000,6.02903
67,2.00323,16.000,6.03387
68,2.00484,16.000,6.03871
68,2.00645,16.000,6.03226
69,2.00484,16.000,6.03871
70,2.00645,16.000,6.03548
70,2.00968,16.000,6.03387
71,2.00645,16.000,6.04032
71,2.00323,16.000,6.04355
72,2.00161,16.000,6.03548
73,2.00645,16.000,6.03226
73,2.00323,16.000,6.03710
74,2.00645,16.000,6.04516
75,1.99355,16.000,6.03548
75,2.00000,16.000,6.04194
76,1.99516,16.000,6.03065
76,2.00323,16.000,6.02903
77,1.99032,16.000,6.03226
78,1.99032,16.000,6.03710
78,2.00000,16.000,6.03548
79,2.00806,16.000,6.03226
79,2.00645,16.000,6.03548
80,2.00484,16.000,6.04355
81,1.99839,16.000,6.02581
81,2.00806,16.000,6.02581
82,2.01290,16.000,6.04032
82,2.01452,16.000,6.03387
83,1.99839,16.000,6.04677
84,1.99839,16.000,6.04032
84,2.00000,16.000,6.03710
85,2.00000,16.000,6.03226
85,1.99839,16.000,6.03710
86,2.00323,16.000,6.03710
87,2.01935,16.000,6.03710
87,2.00806,16.000,6.04032
88,2.00806,16.000,6.03548
88,2.00484,16.000,6.04194
89,2.00161,16.000,6.03387
90,2.00645,16.000,6.03226
90,2.00806,16.000,6.03710
91,2.00484,16.000,6.03710
91,2.00484,16.000,6.03226
92,2.00968,16.000,6.04194
93,1.99677,16.000,6.04194
93,1.99516,16.000,6.03226
94,1.98226,16.000,6.03871
