timestamp,tds_v,tempC,ph_v
19,1.93065,16.000,6.03548
19,1.93226,16.000,6.03710
20,1.93710,16.000,6.03871
20,1.92742,16.000,6.04032
21,1.93387,16.000,6.04194
22,1.94194,16.000,6.04355
22,1.93548,16.000,6.03710
23,1.92903,16.000,6.03871
23,1.93548,16.000,6.03387
24,1.93548,16.000,6.03387
25,1.91613,16.000,6.04516
25,1.93065,16.000,6.04516
26,1.88226,16.000,6.03710
27,1.93871,16.000,6.03387
27,1.93226,16.000,6.03871
28,1.93226,16.000,6.03226
28,1.93226,16.000,6.03226
29,1.92581,16.000,6.03871
30,1.93387,16.000,6.03710
30,1.93871,16.000,6.04355
31,1.93871,16.000,6.03387
31,1.93065,16.000,6.03226
32,1.93710,16.000,6.03710
33,1.92258,16.000,6.03710
33,1.93710,16.000,6.04032
34,1.93548,16.000,6.03387
34,1.93710,16.000,6.03548
35,1.93065,16.000,6.04839
36,1.92903,16.000,6.03548
36,1.92903,16.000,6.03871
37,1.93548,16.000,6.03710
37,1.93226,16.000,6.03226
38,1.93226,16.000,6.03871
39,1.93710,16.000,6.03548
39,1.93065,16.000,6.03710
40,1.93065,16.000,6.03387
40,1.92258,16.000,6.03548
41,1.92581,16.000,6.04032
42,1.92903,16.000,6.03548
42,1.92581,16.000,6.03871
43,1.93387,16.000,6.03548
43,1.93548,16.000,6.04032
44,1.92742,16.000,6.04516
44,1.93387,16.000,6.04194
44,1.93387,16.000,6.03871
45,1.93065,16.000,6.03710
45,1.93065,16.000,6.04032
46,1.93387,16.000,6.04516
47,1.93226,16.000,6.04032
47,1.93065,16.000,6.04516
48,1.93226,16.000,6.03871
49,1.93548,16.000,6.04032
49,1.92419,16.000,6.04839
50,1.93387,16.000,6.03387
50,1.93710,16.000,6.04032
51,1.93065,16.000,6.03548
52,1.90806,16.000,6.03548
52,1.93710,16.000,6.04839
53,1.92742,16.000,6.04032
53,1.93548,16.000,6.03871
54,1.93871,16.000,6.03871
55,1.93710,16.000,6.04839
55,1.93710,16.000,6.04032
56,1.93548,16.000,6.04677
56,1.93387,16.000,6.04355
57,1.93871,16.000,6.05645
58,1.93710,16.000,6.03871
58,1.93387,16.000,6.04839
59,1.93548,16.000,6.04677
59,1.93710,16.000,6.04355
60,1.93548,16.000,6.04032
61,1.93548,16.000,6.03871
61,1.93710,16.000,6.04677
62,1.93226,16.000,6.03710
62,1.93065,16.000,6.03710
63,1.93548,16.000,6.04516
64,1.94032,16.000,6.04355
64,1.93226,16.000,6.04355
65,1.94194,16.000,6.04194
65,1.94032,16.000,6.04194
66,1.93548,16.000,6.04516
67,1.93548,16.000,6.04032
67,1.92742,16.000,6.03871
68,1.93065,16.000,6.04355
68,1.93226,16.000,6.03871
69,1.93226,16.000,6.03226
70,1.93065,16.000,6.03710
70,1.92258,16.000,6.04194
71,1.92742,16.000,6.03871
71,1.91935,16.000,6.04194
72,1.93710,16.000,6.03548
73,1.92419,16.000,6.03710
73,1.92419,16.000,6.04194
74,1.93548,16.000,6.03548
75,1.93871,16.000,6.04032
75,1.93871,16.000,6.04194
76,1.92742,16.000,6.03226
76,1.91290,16.000,6.04032
77,1.93387,16.000,6.03548
78,1.93548,16.000,6.03710
78,1.93548,16.000,6.03871
79,1.93065,16.000,6.03871
79,1.93065,16.000,6.04032
80,1.93226,16.000,6.03710
81,1.94194,16.000,6.04355
81,1.93548,16.000,6.03871
82,1.93548,16.000,6.03226
82,1.93387,16.000,6.03871
83,1.93226,16.000,6.03548
84,1.93871,16.000,6.03387
84,1.93387,16.000,6.04032
85,1.93548,16.000,6.03871
85,1.93226,16.000,6.04194
86,1.93548,16.000,6.04194
86,1.93548,16.000,6.03871
86,1.93710,16.000,6.04032
87,1.93065,16.000,6.04032
87,1.93065,16.000,6.03871
88,1.93710,16.000,6.04516
89,1.93226,16.000,6.04355
89,1.92581,16.000,6.05323
90,1.93387,16.000,6.04355
90,1.92742,16.000,6.04355
91,1.93065,16.000,6.04516
92,1.93226,16.000,6.04032
92,1.94839,16.000,6.04032
93,1.90806,16.000,6.03710
93,1.93065,16.000,6.04516
94,1.93065,16.000,6.03710
