timestamp,tds_v,tempC,ph_v
19,1.93871,16.000,6.04032
20,1.94032,16.000,6.04194
20,1.93710,16.000,6.03387
21,1.93710,16.000,6.03871
21,1.93548,16.000,6.05000
22,1.92419,16.000,6.03387
23,1.93871,16.000,6.04194
23,1.93548,16.000,6.04032
24,1.94677,16.000,6.04677
24,1.93710,16.000,6.04194
25,1.94032,16.000,6.04839
26,1.94355,16.000,6.03710
26,1.92742,16.000,6.03710
27,1.93871,16.000,6.04194
27,1.93710,16.000,6.04839
28,1.94194,16.000,6.03710
29,1.93065,16.000,6.04355
29,1.93065,16.000,6.03226
30,1.94194,16.000,6.03548
30,1.88871,16.000,6.04194
31,1.93710,16.000,6.04677
32,1.93871,16.000,6.03548
32,1.93871,16.000,6.03710
33,1.93710,16.000,6.04516
33,1.94032,16.000,6.04839
34,1.93710,16.000,6.03871
35,1.93871,16.000,6.03871
35,1.93387,16.000,6.03871
36,1.93387,16.000,6.04194
36,1.94032,16.000,6.04677
37,1.93226,16.000,6.03710
38,1.94516,16.000,6.04032
38,1.94032,16.000,6.03387
39,1.93548,16.000,6.03226
40,1.93871,16.000,6.04516
40,1.93710,16.000,6.03871
41,1.93871,16.000,6.03710
41,1.93871,16.000,6.04355
42,1.93387,16.000,6.03871
43,1.95000,16.000,6.04355
43,1.93871,16.000,6.03710
44,1.93226,16.000,6.03710
44,1.93226,16.000,6.04032
45,1.93387,16.000,6.03548
46,1.94516,16.000,6.03871
46,1.93387,16.000,6.04032
47,1.97742,16.000,6.03871
47,1.93548,16.000,6.03710
48,1.93548,16.000,6.03387
49,1.92742,16.000,6.05484
49,1.94194,16.000,6.04194
50,1.93548,16.000,6.03548
50,1.94194,16.000,6.04032
51,1.94032,16.000,6.03871
52,1.93387,16.000,6.05161
52,1.94355,16.000,6.03871
53,1.93710,16.000,6.03710
53,1.93871,16.000,6.03871
54,1.94032,16.000,6.03710
55,1.94516,16.000,6.03710
55,1.94355,16.000,6.03710
55,1.93710,16.000,6.03710
56,1.93710,16.000,6.03387
56,1.93871,16.000,6.03548
57,1.94032,16.000,6.03871
57,1.93548,16.000,6.04516
58,1.93710,16.000,6.04355
59,1.93387,16.000,6.03710
59,1.93226,16.000,6.04355
60,1.93710,16.000,6.04032
60,1.94032,16.000,6.04194
61,1.93710,16.000,6.04355
62,1.93710,16.000,6.03710
62,1.94516,16.000,6.04355
63,1.93065,16.000,6.04516
63,1.94032,16.000,6.04355
64,1.94677,16.000,6.03387
65,1.91774,16.000,6.03871
65,1.93871,16.000,6.03387
66,1.93548,16.000,6.04194
66,1.93548,16.000,6.03710
67,1.93548,16.000,6.03710
68,1.94355,16.000,6.04032
68,1.93871,16.000,6.03710
69,1.94677,16.000,6.04032
69,1.93387,16.000,6.04194
70,1.94194,16.000,6.03548
71,1.93871,16.000,6.03871
71,1.94194,16.000,6.03710
72,1.94516,16.000,6.03871
72,1.93065,16.000,6.03710
73,1.94032,16.000,6.04355
74,1.93226,16.000,6.04194
74,1.93871,16.000,6.04355
75,1.93548,16.000,6.04677
75,1.94194,16.000,6.03387
76,1.92581,16.000,6.03548
77,1.93226,16.000,6.04032
77,1.93871,16.000,6.04032
78,1.93710,16.000,6.05000
78,1.93548,16.000,6.04032
79,1.93548,16.000,6.03871
80,1.93387,16.000,6.04032
80,1.93710,16.000,6.03871
81,1.93387,16.000,6.04194
82,1.93548,16.000,6.03871
82,1.92097,16.000,6.04194
83,1.93387,16.000,6.04194
83,1.93387,16.000,6.03710
84,1.92742,16.000,6.04194
85,1.93226,16.000,6.04516
85,1.92581,16.000,6.04355
86,1.93387,16.000,6.04032
86,1.93710,16.000,6.04032
87,1.93871,16.000,6.04032
88,1.93065,16.000,6.04355
88,1.94194,16.000,6.03548
89,1.93710,16.000,6.04194
89,1.93387,16.000,6.03871
90,1.92419,16.000,6.05000
91,1.94355,16.000,6.04194
91,1.92742,16.000,6.03548
92,1.94032,16.000,6.04194
92,1.93226,16.000,6.03548
93,1.93387,16.000,6.04516
94,1.92903,16.000,6.03871
