timestamp,tds_v,tempC,ph_v
20,1.46774,16.000,6.03387
20,1.48548,16.000,6.03871
21,1.46290,16.000,6.03548
22,1.45968,16.000,6.04032
22,1.45645,16.000,6.04355
23,1.47258,16.000,6.03387
23,1.47097,16.000,6.03387
24,1.46290,16.000,6.03871
25,1.46452,16.000,6.03065
25,1.47742,16.000,6.03226
26,1.46774,16.000,6.03548
26,1.45645,16.000,6.03710
27,1.47419,16.000,6.03710
28,1.46935,16.000,6.03710
28,1.47097,16.000,6.03548
29,1.46935,16.000,6.03548
29,1.47097,16.000,6.03065
30,1.46774,16.000,6.04032
31,1.46129,16.000,6.03387
31,1.46290,16.000,6.03871
32,1.46935,16.000,6.03871
32,1.46935,16.000,6.02903
33,1.46613,16.000,6.04032
34,1.46774,16.000,6.04032
34,1.45645,16.000,6.03548
35,1.47097,16.000,6.03065
36,1.46935,16.000,6.03226
36,1.46452,16.000,6.03065
37,1.47419,16.000,6.03710
37,1.46452,16.000,6.03710
38,1.46613,16.000,6.03710
39,1.45806,16.000,6.03871
39,1.48226,16.000,6.03548
40,1.46452,16.000,6.03548
40,1.46774,16.000,6.03548
41,1.46935,16.000,6.03548
42,1.47419,16.000,6.03226
42,1.46613,16.000,6.03387
42,1.47097,16.000,6.03065
42,1.46935,16.000,6.04194
43,1.45645,16.000,6.02903
44,1.46613,16.000,6.03226
44,1.46774,16.000,6.03548
45,1.46774,16.000,6.03548
45,1.46774,16.000,6.04355
46,1.45806,16.000,6.03387
47,1.46774,16.000,6.02742
47,1.47419,16.000,6.03871
48,1.46935,16.000,6.03387
49,1.46452,16.000,6.03226
49,1.47903,16.000,6.03548
50,1.47742,16.000,6.03710
51,1.46935,16.000,6.03548
51,1.46935,16.000,6.04194
52,1.47419,16.000,6.03710
52,1.47097,16.000,6.04194
53,1.47097,16.000,6.04677
54,1.47258,16.000,6.03548
54,1.46452,16.000,6.04194
55,1.46935,16.000,6.04677
55,1.46935,16.000,6.03871
56,1.46774,16.000,6.04032
57,1.46613,16.000,6.03548
57,1.47258,16.000,6.04032
58,1.47097,16.000,6.04032
59,1.47419,16.000,6.03226
59,1.47258,16.000,6.02903
60,1.46613,16.000,6.03387
60,1.47258,16.000,6.03387
61,1.45968,16.000,6.04516
62,1.47097,16.000,6.03226
62,1.47097,16.000,6.03871
63,1.47258,16.000,6.03226
63,1.47097,16.000,6.03871
64,1.47097,16.000,6.03710
65,1.46935,16.000,6.03871
65,1.46774,16.000,6.04355
66,1.46452,16.000,6.03710
66,1.47581,16.000,6.03226
67,1.47097,16.000,6.03548
68,1.46774,16.000,6.03065
68,1.46935,16.000,6.03710
69,1.46774,16.000,6.04032
69,1.46452,16.000,6.03387
70,1.47258,16.000,6.03226
71,1.46613,16.000,6.03710
71,1.46935,16.000,6.03548
72,1.46452,16.000,6.04355
72,1.48065,16.000,6.04194
73,1.47097,16.000,6.04032
74,1.46935,16.000,6.03710
74,1.47581,16.000,6.03871
75,1.46774,16.000,6.03710
75,1.46774,16.000,6.03226
76,1.44194,16.000,6.03710
77,1.46774,16.000,6.03710
77,1.46935,16.000,6.03387
78,1.46613,16.000,6.04032
78,1.42742,16.000,6.03548
79,1.47258,16.000,6.03710
80,1.46774,16.000,6.03871
80,1.46774,16.000,6.04194
81,1.46774,16.000,6.03710
82,1.47258,16.000,6.03710
82,1.46935,16.000,6.04032
83,1.46935,16.000,6.03387
83,1.46613,16.000,6.03548
84,1.46452,16.000,6.04839
84,1.46935,16.000,6.04516
84,1.47097,16.000,6.03387
85,1.46774,16.000,6.03871
85,1.46290,16.000,6.04194
86,1.47742,16.000,6.04677
87,1.47097,16.000,6.03387
87,1.46774,16.000,6.03548
88,1.47419,16.000,6.03710
88,1.47419,16.000,6.04032
89,1.47581,16.000,6.04032
90,1.47419,16.000,6.04677
90,1.46935,16.000,6.03548
91,1.47258,16.000,6.03548
91,1.47581,16.000,6.03387
92,1.47258,16.000,6.04355
93,1.45968,16.000,6.03226
93,1.47097,16.000,6.03387
94,1.46935,16.000,6.03065
