timestamp,tds_v,tempC,ph_v
20,1.92258,16.000,6.03710
20,1.92258,16.000,6.04677
21,1.92581,16.000,6.03710
22,1.92742,16.000,6.03548
22,1.96290,16.000,6.04839
23,1.92419,16.000,6.04516
23,1.92258,16.000,6.04194
24,1.91935,16.000,6.03548
24,1.92903,16.000,6.03710
24,1.92258,16.000,6.04677
25,1.92258,16.000,6.04194
25,1.92258,16.000,6.03226
26,1.92419,16.000,6.04032
27,1.92581,16.000,6.04032
27,1.92419,16.000,6.03548
28,1.91774,16.000,6.04355
28,1.91452,16.000,6.03387
29,1.91613,16.000,6.04032
30,1.92097,16.000,6.04194
30,1.91774,16.000,6.04194
31,1.91774,16.000,6.03548
31,1.92258,16.000,6.03710
32,1.92097,16.000,6.04032
33,1.92742,16.000,6.04355
33,1.92742,16.000,6.04839
34,1.92097,16.000,6.03871
34,1.92903,16.000,6.03065
35,1.92903,16.000,6.03548
36,1.92258,16.000,6.04194
36,1.91290,16.000,6.03710
37,1.92742,16.000,6.04032
38,1.92258,16.000,6.04032
38,1.92903,16.000,6.04032
39,1.92742,16.000,6.04032
39,1.91613,16.000,6.04677
40,1.93387,16.000,6.03548
41,1.92258,16.000,6.03871
41,1.93548,16.000,6.04194
42,1.92419,16.000,6.04677
42,1.90968,16.000,6.04194
43,1.92581,16.000,6.04355
44,1.93226,16.000,6.04677
44,1.92258,16.000,6.04516
45,1.91935,16.000,6.03710
45,1.92903,16.000,6.05000
46,1.92581,16.000,6.04677
47,1.92258,16.000,6.04516
47,1.91935,16.000,6.04516
48,1.92903,16.000,6.04194
48,1.91774,16.000,6.03871
49,1.92258,16.000,6.03871
50,1.92903,16.000,6.04194
50,1.92903,16.000,6.03871
51,1.93710,16.000,6.04194
51,1.91935,16.000,6.04677
52,1.92258,16.000,6.04677
53,1.92419,16.000,6.03548
53,1.92258,16.000,6.03871
54,1.91613,16.000,6.03226
55,1.91129,16.000,6.04194
55,1.91935,16.000,6.03710
56,1.90645,16.000,6.03710
56,1.92258,16.000,6.04194
57,1.92903,16.000,6.03871
58,1.91452,16.000,6.04032
58,1.92258,16.000,6.04677
59,1.92581,16.000,6.04032
59,1.92258,16.000,6.04032
60,1.92742,16.000,6.03548
61,1.92097,16.000,6.04839
61,1.91774,16.000,6.04194
62,1.92258,16.000,6.04355
62,1.89839,16.000,6.04355
63,1.92258,16.000,6.03871
64,1.91613,16.000,6.04516
64,1.94032,16.000,6.04516
65,1.92097,16.000,6.04516
66,1.92581,16.000,6.03226
66,1.88871,16.000,6.03710
66,1.91774,16.000,6.03871
66,1.92419,16.000,6.04355
67,1.93065,16.000,6.03710
68,1.93710,16.000,6.04194
68,1.91935,16.000,6.03548
69,1.92419,16.000,6.04516
69,1.92419,16.000,6.04032
70,1.91935,16.000,6.03871
71,1.92742,16.000,6.04032
71,1.92258,16.000,6.04194
72,1.92742,16.000,6.04194
72,1.92581,16.000,6.03871
73,1.91935,16.000,6.04032
74,1.92903,16.000,6.03871
74,1.92097,16.000,6.04194
75,1.93226,16.000,6.04032
75,1.92419,16.000,6.04516
76,1.91774,16.000,6.04355
76,1.91774,16.000,6.04194
77,1.90484,16.000,6.04516
78,1.92742,16.000,6.03548
78,1.92742,16.000,6.04032
79,1.92742,16.000,6.04516
79,1.92903,16.000,6.04839
80,1.91613,16.000,6.04677
81,1.92903,16.000,6.04194
81,1.92419,16.000,6.04355
82,1.92419,16.000,6.04032
83,1.92097,16.000,6.04516
83,1.93065,16.000,6.03710
84,1.92742,16.000,6.03710
84,1.92742,16.000,6.04032
85,1.92097,16.000,6.03548
86,1.93065,16.000,6.05000
86,1.92097,16.000,6.04032
87,1.93065,16.000,6.04355
87,1.91935,16.000,6.03871
88,1.92903,16.000,6.03871
89,1.93710,16.000,6.05323
89,1.92581,16.000,6.03710
90,1.92742,16.000,6.04355
90,1.93871,16.000,6.03871
91,1.91935,16.000,6.03871
92,1.92097,16.000,6.04194
92,1.93065,16.000,6.04355
93,1.92419,16.000,6.04355
93,1.92581,16.000,6.04516
94,1.92097,16.000,6.03710
