timestamp,tds_v,tempC,ph_v
19,1.49839,16.000,6.03548
19,1.49355,16.000,6.04032
20,1.48871,16.000,6.03226
21,1.49194,16.000,6.04194
21,1.49839,16.000,6.04677
22,1.48710,16.000,6.04355
22,1.49516,16.000,6.04194
23,1.50645,16.000,6.03710
24,1.49516,16.000,6.04194
24,1.49194,16.000,6.03710
25,1.49032,16.000,6.03871
25,1.49355,16.000,6.04032
26,1.49677,16.000,6.04516
27,1.48548,16.000,6.04355
27,1.49355,16.000,6.05000
28,1.49032,16.000,6.04032
28,1.50161,16.000,6.04677
29,1.48871,16.000,6.03871
30,1.49355,16.000,6.03548
30,1.49677,16.000,6.04355
31,1.49194,16.000,6.03387
31,1.49677,16.000,6.03548
32,1.49839,16.000,6.03710
33,1.49516,16.000,6.03548
33,1.49355,16.000,6.04194
34,1.49355,16.000,6.03548
34,1.49032,16.000,6.04355
35,1.49516,16.000,6.03710
36,1.49194,16.000,6.03871
36,1.49194,16.000,6.03548
37,1.49677,16.000,6.02903
37,1.50000,16.000,6.04194
38,1.51774,16.000,6.04032
39,1.50323,16.000,6.03871
39,1.50484,16.000,6.04355
40,1.48871,16.000,6.04355
40,1.49355,16.000,6.04194
41,1.48387,16.000,6.03548
42,1.49355,16.000,6.04032
42,1.49194,16.000,6.04194
43,1.49516,16.000,6.03710
44,1.50000,16.000,6.03871
44,1.49355,16.000,6.04355
45,1.48871,16.000,6.04839
45,1.48871,16.000,6.04355
46,1.50161,16.000,6.04839
47,1.48710,16.000,6.03710
47,1.47419,16.000,6.04032
48,1.50161,16.000,6.03871
48,1.49516,16.000,6.04032
49,1.49516,16.000,6.03387
50,1.49194,16.000,6.03710
50,1.49516,16.000,6.03710
51,1.49194,16.000,6.03548
51,1.49516,16.000,6.04032
52,1.53226,16.000,6.03871
53,1.49516,16.000,6.04355
53,1.49194,16.000,6.03871
54,1.49355,16.000,6.03548
54,1.48871,16.000,6.04032
55,1.50000,16.000,6.04032
55,1.50000,16.000,6.03548
55,1.48548,16.000,6.03710
56,1.51774,16.000,6.04032
56,1.48226,16.000,6.03710
57,1.48226,16.000,6.03710
58,1.49677,16.000,6.03710
58,1.49516,16.000,6.03065
59,1.49677,16.000,6.03871
59,1.49677,16.000,6.04194
60,1.48226,16.000,6.03548
61,1.49194,16.000,6.03548
61,1.50161,16.000,6.03226
62,1.49194,16.000,6.04032
62,1.49677,16.000,6.04516
63,1.49677,16.000,6.03387
64,1.48710,16.000,6.03387
64,1.47097,16.000,6.03710
65,1.50806,16.000,6.03710
65,1.48871,16.000,6.04032
66,1.49839,16.000,6.04194
67,1.50161,16.000,6.03871
67,1.48871,16.000,6.04032
68,1.49355,16.000,6.03710
68,1.48226,16.000,6.03387
69,1.49194,16.000,6.03710
70,1.50000,16.000,6.03065
70,1.49516,16.000,6.03710
71,1.49355,16.000,6.04032
72,1.48710,16.000,6.03548
72,1.49355,16.000,6.03871
73,1.50000,16.000,6.03387
73,1.49032,16.000,6.04032
74,1.49839,16.000,6.03226
75,1.49677,16.000,6.04516
75,1.49194,16.000,6.03710
76,1.49677,16.000,6.04355
76,1.49355,16.000,6.03710
77,1.49355,16.000,6.03226
78,1.50000,16.000,6.03548
78,1.49516,16.000,6.03387
79,1.49355,16.000,6.03548
79,1.49355,16.000,6.03710
80,1.49032,16.000,6.03710
81,1.49677,16.000,6.03710
81,1.49032,16.000,6.03548
82,1.48871,16.000,6.03387
82,1.49032,16.000,6.03226
83,1.49194,16.000,6.03226
84,1.50161,16.000,6.04032
84,1.49516,16.000,6.04032
85,1.49355,16.000,6.03548
86,1.48710,16.000,6.03871
86,1.49194,16.000,6.03710
87,1.51290,16.000,6.04194
87,1.49032,16.000,6.03548
88,1.49516,16.000,6.03548
89,1.49516,16.000,6.03710
89,1.49839,16.000,6.02903
90,1.49194,16.000,6.04355
90,1.49355,16.000,6.03871
91,1.49516,16.000,6.03226
92,1.49194,16.000,6.03710
92,1.48871,16.000,6.03226
93,1.49677,16.000,6.04355
93,1.49032,16.000,6.03065
94,1.49194,16.000,6.03871
