timestamp,tds_v,tempC,ph_v
20,1.90161,16.000,6.03710
20,1.90645,16.000,6.04032
21,1.90484,16.000,6.03548
22,1.91774,16.000,6.04032
22,1.92419,16.000,6.04032
23,1.86774,16.000,6.03548
23,1.90645,16.000,6.03871
24,1.90000,16.000,6.04194
25,1.90323,16.000,6.03226
25,1.90806,16.000,6.04194
26,1.90161,16.000,6.03226
26,1.90161,16.000,6.03871
27,1.90645,16.000,6.03871
28,1.90968,16.000,6.03710
28,1.89677,16.000,6.04194
29,1.90323,16.000,6.03710
29,1.90323,16.000,6.03871
30,1.90806,16.000,6.04516
31,1.89839,16.000,6.03871
31,1.89839,16.000,6.04516
31,1.89355,16.000,6.03871
31,1.89839,16.000,6.03871
32,1.90000,16.000,6.03548
33,1.90645,16.000,6.03548
33,1.90806,16.000,6.04032
34,1.90000,16.000,6.03871
34,1.90484,16.000,6.04355
35,1.91129,16.000,6.03871
36,1.90968,16.000,6.03548
36,1.86290,16.000,6.04355
37,1.90323,16.000,6.04355
37,1.90161,16.000,6.04032
38,1.90323,16.000,6.04194
39,1.90484,16.000,6.03548
39,1.90484,16.000,6.04516
40,1.87419,16.000,6.03871
41,1.91290,16.000,6.04032
41,1.90000,16.000,6.03871
42,1.90968,16.000,6.04032
42,1.90484,16.000,6.05000
43,1.91290,16.000,6.04194
44,1.90484,16.000,6.03871
44,1.90000,16.000,6.03710
45,1.90323,16.000,6.03387
45,1.90161,16.000,6.04355
46,1.86774,16.000,6.03710
47,1.90161,16.000,6.04355
47,1.90645,16.000,6.03226
48,1.90645,16.000,6.04194
48,1.89677,16.000,6.05323
49,1.90645,16.000,6.04194
50,1.90484,16.000,6.04032
50,1.89677,16.000,6.03871
51,1.88226,16.000,6.04516
51,1.89677,16.000,6.04032
52,1.91452,16.000,6.03871
53,1.90484,16.000,6.04355
53,1.90323,16.000,6.03710
54,1.90000,16.000,6.04032
54,1.90484,16.000,6.04839
55,1.90806,16.000,6.04355
56,1.90645,16.000,6.04516
56,1.90968,16.000,6.04032
57,1.90484,16.000,6.03710
57,1.90484,16.000,6.04355
58,1.90645,16.000,6.04355
59,1.90161,16.000,6.04194
59,1.90806,16.000,6.03548
60,1.89355,16.000,6.03871
60,1.90484,16.000,6.04032
61,1.90806,16.000,6.04032
62,1.90161,16.000,6.04355
62,1.91774,16.000,6.04355
63,1.89677,16.000,6.04355
64,1.89516,16.000,6.04677
64,1.90323,16.000,6.04516
65,1.90323,16.000,6.04677
65,1.90645,16.000,6.03548
66,1.90161,16.000,6.04194
67,1.90484,16.000,6.04355
67,1.90000,16.000,6.03710
68,1.90645,16.000,6.04032
68,1.91452,16.000,6.04516
69,1.90806,16.000,6.04194
70,1.90323,16.000,6.04516
70,1.87742,16.000,6.04839
71,1.90806,16.000,6.04194
71,1.91129,16.000,6.03710
72,1.90000,16.000,6.04194
73,1.89194,16.000,6.04516
73,1.87742,16.000,6.03871
73,1.91935,16.000,6.04032
74,1.90484,16.000,6.04032
74,1.90645,16.000,6.03548
75,1.90968,16.000,6.04032
75,1.89839,16.000,6.04194
76,1.88387,16.000,6.04032
77,1.90484,16.000,6.04194
77,1.89355,16.000,6.04355
78,1.90645,16.000,6.05645
78,1.90323,16.000,6.04194
79,1.90484,16.000,6.03548
80,1.90645,16.000,6.04032
80,1.90484,16.000,6.04032
81,1.88871,16.000,6.04355
81,1.88548,16.000,6.04194
82,1.90968,16.000,6.04194
83,1.90645,16.000,6.04194
83,1.91452,16.000,6.03710
84,1.90645,16.000,6.03871
84,1.90645,16.000,6.04839
85,1.90161,16.000,6.03226
86,1.91129,16.000,6.03065
86,1.90161,16.000,6.04032
87,1.90161,16.000,6.04355
87,1.90645,16.000,6.03548
88,1.90161,16.000,6.03548
89,1.90000,16.000,6.04032
89,1.90806,16.000,6.04194
90,1.89839,16.000,6.04677
90,1.90484,16.000,6.04032
91,1.90806,16.000,6.04194
92,1.90645,16.000,6.03710
92,1.90000,16.000,6.04516
93,1.90806,16.000,6.04516
93,1.90806,16.000,6.04194
94,1.91290,16.000,6.04355
