timestamp,tds_v,tempC,ph_v
20,1.48065,16.000,6.04355
20,1.48065,16.000,6.04194
21,1.48065,16.000,6.04355
21,1.48226,16.000,6.04194
22,1.48548,16.000,6.04516
23,1.47903,16.000,6.03548
23,1.48065,16.000,6.03548
24,1.48387,16.000,6.03871
24,1.48548,16.000,6.03871
25,1.48387,16.000,6.04355
26,1.47903,16.000,6.03710
26,1.48710,16.000,6.03871
27,1.48226,16.000,6.03871
28,1.48548,16.000,6.04355
28,1.48387,16.000,6.04194
29,1.49194,16.000,6.03387
29,1.48387,16.000,6.04032
30,1.49032,16.000,6.03226
31,1.49355,16.000,6.03710
31,1.49355,16.000,6.03871
32,1.48710,16.000,6.03548
32,1.48548,16.000,6.03548
33,1.49677,16.000,6.04194
34,1.49032,16.000,6.04194
34,1.49032,16.000,6.03226
35,1.48710,16.000,6.04194
35,1.48065,16.000,6.04355
36,1.49032,16.000,6.03710
37,1.48226,16.000,6.04355
37,1.48710,16.000,6.03710
37,1.49032,16.000,6.03710
37,1.48710,16.000,6.03710
38,1.48871,16.000,6.04194
39,1.48710,16.000,6.04516
39,1.48065,16.000,6.03548
40,1.49032,16.000,6.03710
40,1.48387,16.000,6.03710
41,1.48548,16.000,6.03548
42,1.48065,16.000,6.03710
42,1.48710,16.000,6.03871
43,1.48871,16.000,6.03548
43,1.48065,16.000,6.03710
44,1.48548,16.000,6.04355
45,1.48226,16.000,6.03871
45,1.48387,16.000,6.03871
46,1.48548,16.000,6.03548
46,1.48548,16.000,6.03871
47,1.49194,16.000,6.04032
48,1.48387,16.000,6.04032
48,1.48548,16.000,6.03548
49,1.48548,16.000,6.03871
50,1.48710,16.000,6.03226
50,1.47903,16.000,6.04516
51,1.49194,16.000,6.02742
51,1.46129,16.000,6.04194
52,1.48065,16.000,6.03065
53,1.48548,16.000,6.04032
53,1.48871,16.000,6.04032
54,1.48871,16.000,6.03871
54,1.49839,16.000,6.03226
55,1.48387,16.000,6.04194
56,1.48710,16.000,6.04032
56,1.47581,16.000,6.03710
57,1.48871,16.000,6.04032
57,1.48387,16.000,6.04516
58,1.48387,16.000,6.03871
59,1.48871,16.000,6.03226
59,1.48871,16.000,6.04032
60,1.49194,16.000,6.04194
60,1.48548,16.000,6.03065
61,1.48548,16.000,6.03871
62,1.48871,16.000,6.04032
62,1.48548,16.000,6.03710
63,1.48710,16.000,6.03387
63,1.45968,16.000,6.03710
64,1.48226,16.000,6.03871
65,1.48710,16.000,6.04032
65,1.48548,16.000,6.03710
66,1.48548,16.000,6.03710
66,1.49032,16.000,6.03548
67,1.48387,16.000,6.03710
68,1.48871,16.000,6.03710
68,1.48226,16.000,6.04194
69,1.49516,16.000,6.03548
69,1.47903,16.000,6.03710
70,1.49032,16.000,6.03710
71,1.48387,16.000,6.03710
71,1.48387,16.000,6.03871
72,1.49032,16.000,6.03548
72,1.48871,16.000,6.04677
73,1.48065,16.000,6.03710
74,1.48548,16.000,6.04194
74,1.49355,16.000,6.04677
75,1.49194,16.000,6.04032
75,1.48226,16.000,6.03710
76,1.47742,16.000,6.03871
77,1.48871,16.000,6.04194
77,1.48710,16.000,6.04677
78,1.48710,16.000,6.03710
78,1.48871,16.000,6.04677
79,1.48871,16.000,6.03548
79,1.47742,16.000,6.03710
79,1.48710,16.000,6.03226
80,1.48226,16.000,6.03226
80,1.48387,16.000,6.03387
81,1.48548,16.000,6.03710
82,1.48710,16.000,6.04355
82,1.47581,16.000,6.03871
83,1.48548,16.000,6.03871
83,1.49194,16.000,6.03387
84,1.47903,16.000,6.03387
85,1.48710,16.000,6.03710
85,1.48548,16.000,6.04355
86,1.47903,16.000,6.03548
87,1.49032,16.000,6.03871
87,1.47581,16.000,6.04355
88,1.49194,16.000,6.03548
88,1.49032,16.000,6.04194
89,1.48065,16.000,6.04032
90,1.48871,16.000,6.04355
90,1.48548,16.000,6.04839
91,1.48871,16.000,6.03387
91,1.48065,16.000,6.03871
92,1.48548,16.000,6.03710
93,1.48387,16.000,6.04032
93,1.48387,16.000,6.04032
94,1.48387,16.000,6.03871
