timestamp,tds_v,tempC,ph_v
20,1.93710,16.000,6.04032
20,1.93710,16.000,6.03710
21,1.93226,16.000,6.04194
22,1.93710,16.000,6.04677
22,1.94194,16.000,6.04355
23,1.93548,16.000,6.03871
23,1.94032,16.000,6.03548
24,1.93065,16.000,6.03548
25,1.93387,16.000,6.04839
25,1.94839,16.000,6.05161
26,1.93548,16.000,6.03710
26,1.94032,16.000,6.03548
27,1.93387,16.000,6.03548
28,1.92419,16.000,6.03710
28,1.93548,16.000,6.04516
29,1.93548,16.000,6.04839
29,1.93548,16.000,6.04677
30,1.94194,16.000,6.03710
31,1.93548,16.000,6.04032
31,1.96613,16.000,6.04032
32,1.91774,16.000,6.04194
32,1.93710,16.000,6.04355
32,1.93871,16.000,6.04355
33,1.93710,16.000,6.04194
33,1.93548,16.000,6.04677
34,1.94032,16.000,6.04516
34,1.93065,16.000,6.03871
35,1.93226,16.000,6.03710
36,1.93387,16.000,6.04032
36,1.92742,16.000,6.04677
37,1.93387,16.000,6.04194
37,1.93226,16.000,6.04032
38,1.93871,16.000,6.04355
39,1.94194,16.000,6.04516
39,1.94032,16.000,6.04516
40,1.93387,16.000,6.04839
40,1.93548,16.000,6.03871
41,1.93226,16.000,6.03710
42,1.91613,16.000,6.03871
42,1.93548,16.000,6.04194
43,1.94194,16.000,6.03710
43,1.93387,16.000,6.03387
44,1.93548,16.000,6.04032
45,1.93548,16.000,6.04032
45,1.92581,16.000,6.04839
46,1.93710,16.000,6.03548
47,1.92742,16.000,6.03710
47,1.93710,16.000,6.03871
48,1.94032,16.000,6.04032
48,1.93710,16.000,6.04355
49,1.93548,16.000,6.04194
50,1.93387,16.000,6.03548
50,1.94677,16.000,6.04355
51,1.93065,16.000,6.04194
51,1.93548,16.000,6.04032
52,1.92258,16.000,6.03871
53,1.94032,16.000,6.03710
53,1.93710,16.000,6.04032
54,1.93065,16.000,6.03387
54,1.93065,16.000,6.04355
55,1.93548,16.000,6.03548
56,1.93871,16.000,6.03871
56,1.92742,16.000,6.03871
57,1.93387,16.000,6.04516
57,1.93387,16.000,6.04516
58,1.93710,16.000,6.04032
59,1.93548,16.000,6.04355
59,1.93710,16.000,6.03871
60,1.93871,16.000,6.04032
60,1.92903,16.000,6.03871
61,1.93387,16.000,6.04516
62,1.93065,16.000,6.03548
62,1.93226,16.000,6.03871
63,1.93710,16.000,6.03710
63,1.93065,16.000,6.04355
64,1.93548,16.000,6.04355
65,1.93710,16.000,6.04194
65,1.93710,16.000,6.04032
66,1.92742,16.000,6.03065
67,1.95323,16.000,6.04355
67,1.93548,16.000,6.03710
68,1.93065,16.000,6.03548
68,1.93710,16.000,6.04677
69,1.94355,16.000,6.03871
70,1.92903,16.000,6.04839
70,1.94194,16.000,6.04194
71,1.94677,16.000,6.03548
71,1.93710,16.000,6.04355
72,1.94032,16.000,6.03710
73,1.93387,16.000,6.04355
73,1.93387,16.000,6.04516
74,1.93548,16.000,6.04032
74,1.93871,16.000,6.03710
74,1.94839,16.000,6.03065
75,1.93387,16.000,6.04194
75,1.93226,16.000,6.03710
76,1.93548,16.000,6.04194
76,1.94032,16.000,6.04355
77,1.93226,16.000,6.04516
78,1.93387,16.000,6.03710
78,1.94032,16.000,6.03871
79,1.92097,16.000,6.03710
80,1.92742,16.000,6.03871
80,1.94194,16.000,6.03710
81,1.93548,16.000,6.04194
81,1.94032,16.000,6.04194
82,1.92742,16.000,6.04032
82,1.94355,16.000,6.03871
83,1.92419,16.000,6.03871
84,1.93710,16.000,6.04677
84,1.93226,16.000,6.04194
85,1.93548,16.000,6.03871
85,1.94032,16.000,6.04194
86,1.93387,16.000,6.04516
87,1.92742,16.000,6.04516
87,1.93548,16.000,6.03871
88,1.93871,16.000,6.03548
88,1.93871,16.000,6.05000
89,1.93548,16.000,6.03871
90,1.94032,16.000,6.04194
90,1.94194,16.000,6.03871
91,1.94194,16.000,6.04355
91,1.93548,16.000,6.04355
92,1.94194,16.000,6.03710
93,1.92903,16.000,6.03548
93,1.93548,16.000,6.03710
94,1.93871,16.000,6.03871
