timestamp,tds_v,tempC,ph_v
20,1.39839,16.000,6.04032
21,1.39194,16.000,6.03871
21,1.38871,16.000,6.03871
22,1.38710,16.000,6.03871
22,1.39677,16.000,6.04032
23,1.40806,16.000,6.03871
24,1.39355,16.000,6.03710
24,1.37581,16.000,6.03226
25,1.39355,16.000,6.03871
26,1.39516,16.000,6.03871
26,1.39194,16.000,6.03548
27,1.36129,16.000,6.03065
27,1.40000,16.000,6.03548
28,1.39194,16.000,6.04032
29,1.39194,16.000,6.04355
29,1.39355,16.000,6.03871
30,1.39355,16.000,6.03871
30,1.38871,16.000,6.03871
31,1.38871,16.000,6.03871
32,1.39032,16.000,6.03548
32,1.39677,16.000,6.04032
33,1.40000,16.000,6.04032
33,1.39032,16.000,6.03226
34,1.39194,16.000,6.03065
35,1.39839,16.000,6.04677
35,1.39194,16.000,6.03871
36,1.39839,16.000,6.03871
37,1.39516,16.000,6.04194
37,1.39194,16.000,6.03548
38,1.38226,16.000,6.04516
38,1.40645,16.000,6.04516
38,1.38548,16.000,6.04032
39,1.39032,16.000,6.04032
39,1.39839,16.000,6.03548
40,1.39194,16.000,6.04194
40,1.39516,16.000,6.03387
41,1.39194,16.000,6.03548
42,1.40000,16.000,6.03871
42,1.36935,16.000,6.04839
43,1.38871,16.000,6.04355
43,1.39677,16.000,6.02903
44,1.39032,16.000,6.03710
45,1.39677,16.000,6.03387
45,1.39194,16.000,6.03871
46,1.39355,16.000,6.03710
46,1.39516,16.000,6.03387
47,1.39355,16.000,6.04194
48,1.40000,16.000,6.04194
48,1.39677,16.000,6.03710
49,1.39355,16.000,6.04677
49,1.39516,16.000,6.04032
50,1.39355,16.000,6.03710
51,1.39355,16.000,6.03710
51,1.39516,16.000,6.03226
52,1.39194,16.000,6.03871
52,1.39355,16.000,6.03065
53,1.39516,16.000,6.03548
53,1.39516,16.000,6.03548
54,1.38871,16.000,6.03710
54,1.40645,16.000,6.04355
55,1.39194,16.000,6.04516
