timestamp,tds_v,tempC,ph_v
19,1.45806,16.000,6.04194
20,1.45968,16.000,6.03226
20,1.46613,16.000,6.03387
21,1.45968,16.000,6.03710
22,1.46129,16.000,6.04194
22,1.46290,16.000,6.04194
23,1.47097,16.000,6.04355
23,1.46774,16.000,6.03548
24,1.46129,16.000,6.02903
25,1.45806,16.000,6.03871
25,1.46129,16.000,6.03710
26,1.46613,16.000,6.04032
27,1.46452,16.000,6.04516
27,1.46129,16.000,6.04032
28,1.45806,16.000,6.04355
28,1.45484,16.000,6.03710
29,1.46290,16.000,6.03548
30,1.46290,16.000,6.03065
30,1.46935,16.000,6.03710
31,1.46290,16.000,6.03871
31,1.47097,16.000,6.04194
32,1.45323,16.000,6.03710
33,1.46290,16.000,6.04032
33,1.46935,16.000,6.03871
34,1.46452,16.000,6.04516
34,1.46774,16.000,6.02903
35,1.45968,16.000,6.02742
36,1.46290,16.000,6.03548
36,1.47258,16.000,6.03871
37,1.46774,16.000,6.03226
37,1.45645,16.000,6.03710
38,1.46452,16.000,6.03710
39,1.47581,16.000,6.03548
39,1.46290,16.000,6.03065
40,1.45968,16.000,6.04032
40,1.46774,16.000,6.03065
41,1.46129,16.000,6.03710
42,1.46290,16.000,6.03710
42,1.46452,16.000,6.03548
43,1.46613,16.000,6.03871
43,1.42742,16.000,6.03387
44,1.46290,16.000,6.03710
44,1.45806,16.000,6.03226
44,1.46290,16.000,6.03387
45,1.46290,16.000,6.03387
45,1.46129,16.000,6.03387
46,1.46935,16.000,6.03710
47,1.46452,16.000,6.04032
47,1.43226,16.000,6.03226
48,1.46452,16.000,6.03710
49,1.45968,16.000,6.03065
49,1.46290,16.000,6.03387
50,1.46774,16.000,6.03871
50,1.46290,16.000,6.03548
51,1.46129,16.000,6.04355
52,1.46452,16.000,6.03387
52,1.46452,16.000,6.03871
53,1.46613,16.000,6.03226
53,1.47097,16.000,6.03710
54,1.47097,16.000,6.03710
55,1.46935,16.000,6.03065
55,1.45968,16.000,6.03548
56,1.46613,16.000,6.03710
56,1.45968,16.000,6.03387
57,1.46935,16.000,6.03548
58,1.45968,16.000,6.03548
58,1.46935,16.000,6.04516
59,1.45645,16.000,6.02903
59,1.48387,16.000,6.03710
60,1.47097,16.000,6.03226
61,1.46129,16.000,6.03387
61,1.45323,16.000,6.03710
62,1.47419,16.000,6.04194
62,1.46452,16.000,6.03871
63,1.46613,16.000,6.03871
64,1.46290,16.000,6.03871
64,1.45484,16.000,6.03548
65,1.46129,16.000,6.03387
65,1.46613,16.000,6.04194
66,1.48065,16.000,6.04355
67,1.46774,16.000,6.04355
67,1.46452,16.000,6.03548
68,1.46129,16.000,6.03387
69,1.46290,16.000,6.03710
69,1.47097,16.000,6.03226
70,1.46935,16.000,6.03548
70,1.46935,16.000,6.03710
71,1.46452,16.000,6.03065
72,1.44516,16.000,6.04194
72,1.46774,16.000,6.03387
73,1.46452,16.000,6.03710
73,1.44194,16.000,6.03871
74,1.46613,16.000,6.04032
75,1.46290,16.000,6.03710
75,1.46613,16.000,6.03871
76,1.45968,16.000,6.04032
76,1.47097,16.000,6.03710
77,1.45806,16.000,6.03871
78,1.45968,16.000,6.03871
78,1.43871,16.000,6.03710
79,1.45806,16.000,6.03548
79,1.46452,16.000,6.04032
80,1.46129,16.000,6.05000
81,1.46129,16.000,6.03548
81,1.45968,16.000,6.03226
82,1.46935,16.000,6.03710
82,1.46774,16.000,6.04032
83,1.45645,16.000,6.03871
84,1.46613,16.000,6.03548
84,1.46452,16.000,6.03710
85,1.46290,16.000,6.03548
85,1.46613,16.000,6.03548
86,1.46290,16.000,6.04032
86,1.46290,16.000,6.03548
86,1.46452,16.000,6.03387
86,1.46129,16.000,6.03710
87,1.46613,16.000,6.03226
