timestamp,tds_v,tempC,ph_v
19,1.40484,16.000,6.04516
19,1.40484,16.000,6.04677
20,1.38387,16.000,6.04355
21,1.40000,16.000,6.03548
21,1.39032,16.000,6.04032
22,1.40000,16.000,6.03710
22,1.40323,16.000,6.04032
23,1.40323,16.000,6.03387
24,1.39839,16.000,6.03871
24,1.40645,16.000,6.04516
25,1.38710,16.000,6.04194
26,1.40000,16.000,6.04032
26,1.41129,16.000,6.03548
27,1.40645,16.000,6.03871
27,1.40161,16.000,6.04194
28,1.39677,16.000,6.03226
29,1.40000,16.000,6.03871
29,1.40161,16.000,6.04032
30,1.40806,16.000,6.03548
31,1.39839,16.000,6.03871
31,1.40161,16.000,6.03548
32,1.39677,16.000,6.04194
32,1.39194,16.000,6.04516
33,1.40161,16.000,6.03710
34,1.40806,16.000,6.04032
34,1.40484,16.000,6.04032
35,1.40161,16.000,6.04032
36,1.37419,16.000,6.04032
36,1.40161,16.000,6.04839
37,1.40645,16.000,6.04516
37,1.40000,16.000,6.04839
38,1.38871,16.000,6.04355
39,1.39516,16.000,6.03871
39,1.40000,16.000,6.04032
40,1.40323,16.000,6.04677
40,1.39839,16.000,6.04032
41,1.40161,16.000,6.04032
41,1.39194,16.000,6.03871
42,1.39839,16.000,6.03710
43,1.40161,16.000,6.03710
43,1.39839,16.000,6.04194
44,1.39677,16.000,6.04032
44,1.39839,16.000,6.04032
45,1.39839,16.000,6.04032
45,1.39677,16.000,6.03871
45,1.40323,16.000,6.03548
46,1.40645,16.000,6.03710
46,1.39355,16.000,6.04516
47,1.39677,16.000,6.04032
48,1.40000,16.000,6.04032
48,1.39839,16.000,6.03871
49,1.40161,16.000,6.03710
50,1.39355,16.000,6.04194
50,1.39677,16.000,6.04032
51,1.39839,16.000,6.03710
51,1.40323,16.000,6.03065
52,1.39355,16.000,6.03548
53,1.40645,16.000,6.04355
53,1.40000,16.000,6.04032
54,1.40000,16.000,6.04355
54,1.40000,16.000,6.03548
55,1.40000,16.000,6.03710
56,1.40645,16.000,6.04032
56,1.39516,16.000,6.04194
57,1.39194,16.000,6.04032
57,1.39839,16.000,6.04194
58,1.39355,16.000,6.04194
58,1.40000,16.000,6.03871
59,1.39516,16.000,6.04516
60,1.40000,16.000,6.04032
60,1.40161,16.000,6.04194
61,1.39677,16.000,6.04355
61,1.39516,16.000,6.04355
62,1.39839,16.000,6.04839
