timestamp,tds_v,tempC,ph_v
18,1.40968,16.000,6.03548
19,1.40806,16.000,6.04516
19,1.40484,16.000,6.03871
20,1.40645,16.000,6.03871
21,1.40806,16.000,6.03871
21,1.40645,16.000,6.03710
22,1.40968,16.000,6.03548
23,1.41613,16.000,6.03710
23,1.41290,16.000,6.04355
24,1.41129,16.000,6.03548
24,1.40645,16.000,6.03710
25,1.40968,16.000,6.03548
26,1.40806,16.000,6.03710
26,1.41613,16.000,6.03871
27,1.40161,16.000,6.04032
27,1.40323,16.000,6.03871
28,1.40161,16.000,6.03710
29,1.40645,16.000,6.04677
29,1.40484,16.000,6.04032
30,1.39355,16.000,6.03387
30,1.41129,16.000,6.03710
31,1.40484,16.000,6.03065
32,1.40645,16.000,6.03871
32,1.40968,16.000,6.04355
33,1.40484,16.000,6.03548
33,1.40323,16.000,6.03871
34,1.40806,16.000,6.04355
35,1.40161,16.000,6.03548
35,1.40323,16.000,6.03226
36,1.40645,16.000,6.03387
36,1.41129,16.000,6.04516
37,1.40806,16.000,6.03710
38,1.40806,16.000,6.04194
38,1.40323,16.000,6.04032
39,1.40806,16.000,6.03387
39,1.40645,16.000,6.03871
40,1.40806,16.000,6.03548
41,1.40806,16.000,6.03387
41,1.40645,16.000,6.03710
42,1.40968,16.000,6.03226
42,1.40806,16.000,6.03548
43,1.40968,16.000,6.03871
44,1.39677,16.000,6.04032
44,1.39839,16.000,6.04032
45,1.40161,16.000,6.03548
45,1.40968,16.000,6.04032
46,1.40645,16.000,6.03226
47,1.40161,16.000,6.04194
47,1.41129,16.000,6.03710
48,1.41452,16.000,6.03871
48,1.39839,16.000,6.03065
49,1.40645,16.000,6.03871
50,1.40323,16.000,6.04355
50,1.38710,16.000,6.03548
51,1.40161,16.000,6.03871
51,1.41129,16.000,6.03226
51,1.41452,16.000,6.03548
52,1.40323,16.000,6.04194
52,1.40323,16.000,6.03871
53,1.40806,16.000,6.03871
54,1.40484,16.000,6.03871
54,1.41129,16.000,6.04032
55,1.40323,16.000,6.03871
55,1.41129,16.000,6.04355
56,1.41129,16.000,6.03710
57,1.40323,16.000,6.03871
57,1.39839,16.000,6.04516
58,1.40323,16.000,6.03871
58,1.40323,16.000,6.04032
59,1.41129,16.000,6.04355
60,1.40806,16.000,6.03387
60,1.40806,16.000,6.03710
61,1.39677,16.000,6.04516
61,1.41452,16.000,6.03387
62,1.40645,16.000,6.04032
63,1.40968,16.000,6.04194
63,1.41290,16.000,6.04516
64,1.40968,16.000,6.03871
64,1.40806,16.000,6.03871
65,1.38710,16.000,6.03871
66,1.40484,16.000,6.03871
66,1.40968,16.000,6.03871
67,1.41129,16.000,6.04355
67,1.40000,16.000,6.03226
68,1.41290,16.000,6.03710
69,1.36935,16.000,6.03871
69,1.40645,16.000,6.03871
70,1.40484,16.000,6.03226
70,1.40000,16.000,6.04032
71,1.40484,16.000,6.04355
72,1.40806,16.000,6.02903
72,1.40000,16.000,6.03871
73,1.39839,16.000,6.04516
73,1.38387,16.000,6.03710
74,1.40323,16.000,6.04032
75,1.41290,16.000,6.04032
75,1.40806,16.000,6.04516
76,1.40806,16.000,6.04032
76,1.40968,16.000,6.03387
77,1.40645,16.000,6.04194
78,1.40645,16.000,6.03871
78,1.40806,16.000,6.03710
79,1.41129,16.000,6.04516
79,1.40484,16.000,6.04194
80,1.40806,16.000,6.04032
81,1.39839,16.000,6.03548
81,1.40161,16.000,6.04032
82,1.40806,16.000,6.04355
82,1.40000,16.000,6.03548
83,1.40968,16.000,6.04032
84,1.40323,16.000,6.03548
84,1.40484,16.000,6.04355
85,1.40968,16.000,6.03871
86,1.39355,16.000,6.03548
86,1.40968,16.000,6.03710
87,1.38548,16.000,6.04194
87,1.40645,16.000,6.03548
88,1.40484,16.000,6.03710
89,1.40968,16.000,6.03548
89,1.40000,16.000,6.03871
90,1.40484,16.000,6.03871
90,1.39839,16.000,6.04032
91,1.40645,16.000,6.04032
92,1.40806,16.000,6.04032
92,1.40161,16.000,6.03871
93,1.41129,16.000,6.03871
93,1.41290,16.000,6.03871
93,1.41613,16.000,6.04516
94,1.40968,16.000,6.04032
