timestamp,tds_v,tempC,ph_v
20,1.40323,16.000,6.03710
20,1.39516,16.000,6.03548
21,1.40323,16.000,6.04194
22,1.40323,16.000,6.03871
22,1.39355,16.000,6.04677
23,1.40323,16.000,6.03548
23,1.39194,16.000,6.03710
24,1.40484,16.000,6.04032
25,1.39677,16.000,6.03065
25,1.39355,16.000,6.04516
26,1.40161,16.000,6.04032
26,1.40323,16.000,6.04194
27,1.39516,16.000,6.03548
28,1.40000,16.000,6.03871
28,1.40323,16.000,6.04194
29,1.40000,16.000,6.04032
29,1.40645,16.000,6.03871
30,1.39516,16.000,6.03710
30,1.40000,16.000,6.04032
30,1.40000,16.000,6.04516
31,1.41935,16.000,6.03871
32,1.40000,16.000,6.04032
32,1.40161,16.000,6.04032
33,1.40645,16.000,6.04032
33,1.39516,16.000,6.04516
34,1.39677,16.000,6.03548
35,1.39839,16.000,6.04194
35,1.40161,16.000,6.04194
36,1.39516,16.000,6.04194
36,1.40484,16.000,6.04194
37,1.39677,16.000,6.03226
38,1.40000,16.000,6.04355
38,1.39677,16.000,6.04032
39,1.36774,16.000,6.04032
39,1.39194,16.000,6.03548
40,1.39355,16.000,6.04355
41,1.40000,16.000,6.04194
41,1.40323,16.000,6.03871
42,1.38710,16.000,6.04516
42,1.40000,16.000,6.04194
43,1.39839,16.000,6.04032
44,1.41452,16.000,6.04194
44,1.40645,16.000,6.04194
45,1.40161,16.000,6.03710
45,1.39355,16.000,6.03226
46,1.40000,16.000,6.03871
47,1.40000,16.000,6.04194
47,1.39839,16.000,6.04032
48,1.40323,16.000,6.03871
48,1.39355,16.000,6.04194
49,1.40161,16.000,6.03871
50,1.39355,16.000,6.04839
50,1.40645,16.000,6.03871
51,1.39516,16.000,6.03871
51,1.39839,16.000,6.04355
52,1.39516,16.000,6.04032
53,1.39839,16.000,6.04032
53,1.39355,16.000,6.04516
54,1.40161,16.000,6.03710
54,1.40000,16.000,6.03710
55,1.39516,16.000,6.03548
56,1.40000,16.000,6.04032
56,1.40161,16.000,6.04677
57,1.39839,16.000,6.03871
58,1.40484,16.000,6.04194
58,1.40000,16.000,6.04032
59,1.39032,16.000,6.03548
59,1.39839,16.000,6.05323
60,1.39839,16.000,6.04032
61,1.39839,16.000,6.04194
61,1.40645,16.000,6.04194
62,1.39839,16.000,6.03710
62,1.40323,16.000,6.04032
63,1.41129,16.000,6.04032
64,1.39355,16.000,6.03871
64,1.39516,16.000,6.04032
65,1.39839,16.000,6.03710
65,1.40806,16.000,6.04355
66,1.40000,16.000,6.04516
67,1.39516,16.000,6.03710
67,1.37419,16.000,6.03548
68,1.39677,16.000,6.04194
68,1.39194,16.000,6.04677
69,1.39355,16.000,6.04194
70,1.40323,16.000,6.03548
70,1.39032,16.000,6.03871
71,1.40000,16.000,6.03871
71,1.39032,16.000,6.03387
72,1.40323,16.000,6.04355
72,1.39677,16.000,6.03871
72,1.40000,16.000,6.04032
73,1.40000,16.000,6.03065
73,1.39516,16.000,6.04355
74,1.40323,16.000,6.03710
75,1.41774,16.000,6.03871
75,1.40323,16.000,6.03871
76,1.40000,16.000,6.04355
76,1.39839,16.000,6.04032
77,1.40161,16.000,6.03871
78,1.38710,16.000,6.03871
78,1.40806,16.000,6.03710
79,1.40806,16.000,6.04355
79,1.39355,16.000,6.04032
80,1.36774,16.000,6.04516
81,1.40323,16.000,6.03871
81,1.40161,16.000,6.03387
82,1.39516,16.000,6.03226
83,1.40161,16.000,6.04194
83,1.39677,16.000,6.03710
84,1.40000,16.000,6.03710
84,1.40161,16.000,6.04194
85,1.39839,16.000,6.04516
86,1.39032,16.000,6.04032
86,1.40000,16.000,6.05000
87,1.39677,16.000,6.04355
87,1.40484,16.000,6.04194
88,1.40000,16.000,6.03710
89,1.36290,16.000,6.04032
89,1.40000,16.000,6.05161
90,1.40161,16.000,6.04032
90,1.39677,16.000,6.04194
91,1.40000,16.000,6.04032
92,1.40161,16.000,6.04032
92,1.40000,16.000,6.04032
93,1.40323,16.000,6.04194
94,1.39839,16.000,6.04194
