timestamp,tds_v,tempC,ph_v
19,1.91452,16.000,6.04355
19,1.90806,16.000,6.03871
20,1.90161,16.000,6.03387
21,1.90806,16.000,6.03710
21,1.89194,16.000,6.04032
22,1.91290,16.000,6.03871
22,1.91129,16.000,6.03226
23,1.90968,16.000,6.04194
24,1.90161,16.000,6.03548
24,1.92258,16.000,6.04032
25,1.89677,16.000,6.03710
26,1.90161,16.000,6.04032
26,1.90161,16.000,6.03871
27,1.91613,16.000,6.03548
27,1.90323,16.000,6.02903
28,1.89839,16.000,6.03387
29,1.90323,16.000,6.03065
29,1.90806,16.000,6.03387
30,1.90806,16.000,6.02742
30,1.90806,16.000,6.03710
31,1.90161,16.000,6.03710
32,1.91129,16.000,6.03710
32,1.90968,16.000,6.03548
33,1.90968,16.000,6.04032
33,1.90161,16.000,6.03548
34,1.90161,16.000,6.03548
35,1.90968,16.000,6.03710
35,1.91290,16.000,6.03871
36,1.90968,16.000,6.03226
36,1.90323,16.000,6.04032
37,1.90484,16.000,6.04032
38,1.91935,16.000,6.03387
38,1.91129,16.000,6.03387
39,1.92258,16.000,6.03710
39,1.90161,16.000,6.03710
40,1.90161,16.000,6.03710
41,1.90323,16.000,6.03871
41,1.90968,16.000,6.03065
42,1.90000,16.000,6.03548
42,1.90323,16.000,6.04032
43,1.91452,16.000,6.03548
44,1.90000,16.000,6.03871
44,1.91129,16.000,6.03871
45,1.90806,16.000,6.03226
45,1.90000,16.000,6.03871
46,1.93065,16.000,6.03065
47,1.91129,16.000,6.02742
47,1.90645,16.000,6.02742
48,1.90806,16.000,6.04355
48,1.89032,16.000,6.03548
49,1.90484,16.000,6.03387
50,1.91290,16.000,6.03065
50,1.90323,16.000,6.03871
51,1.90484,16.000,6.03548
52,1.90968,16.000,6.03710
52,1.90806,16.000,6.03871
53,1.90000,16.000,6.03548
53,1.90645,16.000,6.03387
54,1.90645,16.000,6.03710
55,1.90806,16.000,6.03871
55,1.90645,16.000,6.03065
56,1.90645,16.000,6.03387
56,1.90323,16.000,6.03710
57,1.90323,16.000,6.03387
58,1.92581,16.000,6.04516
58,1.91290,16.000,6.03548
58,1.89677,16.000,6.04355
59,1.90645,16.000,6.03548
59,1.90161,16.000,6.03710
60,1.90484,16.000,6.03710
60,1.90323,16.000,6.03387
61,1.90968,16.000,6.03387
62,1.91613,16.000,6.03710
62,1.91290,16.000,6.03548
63,1.90484,16.000,6.04516
63,1.91290,16.000,6.03710
64,1.90968,16.000,6.03548
65,1.90968,16.000,6.03548
65,1.91129,16.000,6.03710
66,1.90000,16.000,6.04032
66,1.91290,16.000,6.04032
67,1.90806,16.000,6.03871
68,1.91290,16.000,6.03710
68,1.91935,16.000,6.03710
69,1.90323,16.000,6.04355
69,1.90806,16.000,6.04032
70,1.90968,16.000,6.03548
71,1.90806,16.000,6.03710
71,1.90806,16.000,6.03871
72,1.90161,16.000,6.04194
72,1.91129,16.000,6.04194
73,1.90645,16.000,6.03548
74,1.90806,16.000,6.04194
74,1.90323,16.000,6.04194
75,1.89194,16.000,6.03387
75,1.90806,16.000,6.04516
76,1.89516,16.000,6.03387
77,1.90806,16.000,6.04032
77,1.90806,16.000,6.02742
78,1.92258,16.000,6.04355
78,1.91290,16.000,6.03548
79,1.91613,16.000,6.03871
80,1.90806,16.000,6.03548
80,1.90806,16.000,6.03871
81,1.91290,16.000,6.04032
81,1.90645,16.000,6.04355
82,1.91129,16.000,6.04516
83,1.90323,16.000,6.04355
83,1.90323,16.000,6.05000
84,1.91290,16.000,6.04839
84,1.90645,16.000,6.03387
85,1.90806,16.000,6.03387
86,1.90484,16.000,6.03710
86,1.90968,16.000,6.03710
87,1.91129,16.000,6.04516
88,1.90484,16.000,6.04032
88,1.91290,16.000,6.04032
89,1.90484,16.000,6.03710
89,1.91129,16.000,6.03548
90,1.91129,16.000,6.04355
91,1.90484,16.000,6.03710
91,1.90806,16.000,6.03710
92,1.90806,16.000,6.04355
92,1.90806,16.000,6.03710
93,1.90484,16.000,6.05323
94,1.90806,16.000,6.04516
