timestamp,tds_v,tempC,ph_v
19,1.41935,16.000,6.03710
20,1.41129,16.000,6.04355
20,1.37903,16.000,6.04194
21,1.41290,16.000,6.03871
21,1.40161,16.000,6.04516
22,1.41452,16.000,6.04355
23,1.41774,16.000,6.03871
23,1.40484,16.000,6.03065
24,1.40323,16.000,6.03871
24,1.42419,16.000,6.05000
25,1.41452,16.000,6.04516
26,1.41290,16.000,6.04194
26,1.40645,16.000,6.04355
27,1.41452,16.000,6.03871
27,1.41452,16.000,6.03871
28,1.41452,16.000,6.04194
29,1.41452,16.000,6.03871
29,1.41613,16.000,6.04032
30,1.41452,16.000,6.04355
30,1.41452,16.000,6.03710
31,1.41452,16.000,6.03871
32,1.42258,16.000,6.03387
32,1.40806,16.000,6.03548
33,1.44355,16.000,6.04032
34,1.40484,16.000,6.03871
34,1.41129,16.000,6.03387
35,1.40968,16.000,6.04032
35,1.41290,16.000,6.04032
36,1.41129,16.000,6.03548
37,1.40645,16.000,6.04032
37,1.40968,16.000,6.04516
38,1.41129,16.000,6.03871
39,1.41129,16.000,6.04194
39,1.41129,16.000,6.04032
40,1.41452,16.000,6.04194
40,1.40968,16.000,6.04194
41,1.41129,16.000,6.03871
42,1.41452,16.000,6.03710
42,1.40645,16.000,6.03710
43,1.41129,16.000,6.04355
43,1.41935,16.000,6.04032
44,1.41290,16.000,6.03226
45,1.41613,16.000,6.03226
45,1.41290,16.000,6.03710
46,1.41452,16.000,6.04355
46,1.42097,16.000,6.04194
47,1.40645,16.000,6.03871
48,1.41613,16.000,6.03871
48,1.41129,16.000,6.04194
49,1.40484,16.000,6.04194
50,1.40806,16.000,6.03871
50,1.41452,16.000,6.03710
51,1.41129,16.000,6.03871
51,1.41935,16.000,6.04194
52,1.41129,16.000,6.04839
53,1.40645,16.000,6.04516
53,1.41774,16.000,6.03710
53,1.40968,16.000,6.04355
53,1.41129,16.000,6.04839
54,1.40806,16.000,6.05323
55,1.41129,16.000,6.04516
55,1.41129,16.000,6.04677
56,1.41935,16.000,6.05000
56,1.41774,16.000,6.04516
57,1.41129,16.000,6.05000
58,1.41774,16.000,6.03710
58,1.41613,16.000,6.05161
59,1.41290,16.000,6.04032
59,1.41452,16.000,6.04194
60,1.41290,16.000,6.04516
61,1.41290,16.000,6.03226
61,1.41774,16.000,6.03548
62,1.41290,16.000,6.03710
62,1.37903,16.000,6.04032
63,1.40645,16.000,6.03871
64,1.40484,16.000,6.03871
64,1.41129,16.000,6.04516
65,1.41290,16.000,6.03710
65,1.40484,16.000,6.04677
66,1.40645,16.000,6.04839
67,1.40968,16.000,6.03871
67,1.41452,16.000,6.04355
68,1.41774,16.000,6.04516
68,1.42419,16.000,6.04194
69,1.41452,16.000,6.03871
70,1.41774,16.000,6.03710
70,1.41774,16.000,6.04355
71,1.40484,16.000,6.03710
71,1.41613,16.000,6.03710
72,1.42258,16.000,6.04355
73,1.42097,16.000,6.03871
73,1.40161,16.000,6.04194
74,1.40806,16.000,6.03871
74,1.41613,16.000,6.03387
75,1.40806,16.000,6.03710
76,1.40323,16.000,6.04032
76,1.41129,16.000,6.03387
77,1.41129,16.000,6.04355
78,1.40645,16.000,6.03710
78,1.40323,16.000,6.04194
79,1.41935,16.000,6.04516
79,1.41290,16.000,6.04355
80,1.41452,16.000,6.03871
81,1.41452,16.000,6.03871
81,1.41290,16.000,6.03710
82,1.41935,16.000,6.04032
82,1.41129,16.000,6.04032
83,1.41613,16.000,6.03387
84,1.40645,16.000,6.04032
84,1.40484,16.000,6.03710
85,1.41290,16.000,6.04194
85,1.42258,16.000,6.04032
86,1.43226,16.000,6.04516
87,1.35968,16.000,6.03871
87,1.40323,16.000,6.03871
88,1.41290,16.000,6.04355
88,1.41290,16.000,6.04032
89,1.40968,16.000,6.04194
90,1.41129,16.000,6.04032
90,1.40968,16.000,6.03871
91,1.41290,16.000,6.03548
91,1.41452,16.000,6.04032
92,1.41452,16.000,6.04516
93,1.41935,16.000,6.03387
93,1.40323,16.000,6.04194
94,1.40161,16.000,6.04677
