timestamp,tds_v,tempC,ph_v
19,1.97742,16.000,6.03871
19,1.96613,16.000,6.03710
20,1.96935,16.000,6.04194
20,1.94677,16.000,6.03387
21,1.97419,16.000,6.04194
22,1.97258,16.000,6.03871
22,1.97419,16.000,6.03548
23,1.96774,16.000,6.03226
23,1.97097,16.000,6.03226
24,1.97581,16.000,6.04032
25,1.97258,16.000,6.04355
25,1.96129,16.000,6.03548
26,1.97419,16.000,6.03387
27,1.96935,16.000,6.03548
27,1.96935,16.000,6.03871
28,1.98226,16.000,6.03710
28,1.96935,16.000,6.04194
29,1.97742,16.000,6.04032
30,1.97581,16.000,6.03871
30,1.97419,16.000,6.03871
31,1.97742,16.000,6.03548
31,1.96774,16.000,6.03226
32,1.98387,16.000,6.03710
33,1.97258,16.000,6.03710
33,1.96452,16.000,6.04032
34,1.99194,16.000,6.03387
34,1.97903,16.000,6.03226
35,1.96452,16.000,6.03226
36,1.96935,16.000,6.03710
36,1.96935,16.000,6.03871
37,1.96452,16.000,6.03710
37,1.97258,16.000,6.02581
38,1.98226,16.000,6.03065
39,1.96935,16.000,6.02903
39,1.96774,16.000,6.03710
40,1.96774,16.000,6.03710
40,1.97258,16.000,6.03871
41,1.97419,16.000,6.03871
42,1.96613,16.000,6.03548
42,1.97419,16.000,6.04032
43,1.96290,16.000,6.03065
43,1.96935,16.000,6.03387
44,1.97097,16.000,6.03065
44,1.94032,16.000,6.03548
44,1.96613,16.000,6.03710
45,1.96774,16.000,6.03871
45,1.96935,16.000,6.04032
46,1.96935,16.000,6.03548
47,1.97419,16.000,6.03065
47,1.96613,16.000,6.03710
48,1.97097,16.000,6.03548
48,1.97097,16.000,6.04194
49,1.97742,16.000,6.03710
50,1.98226,16.000,6.02419
50,1.97419,16.000,6.03226
51,1.96613,16.000,6.03710
51,1.95645,16.000,6.02903
52,1.96935,16.000,6.04032
53,1.97581,16.000,6.04194
53,1.97419,16.000,6.03710
54,1.96129,16.000,6.03548
55,2.01613,16.000,6.03226
55,1.98226,16.000,6.03548
56,1.96935,16.000,6.03710
56,1.97742,16.000,6.03387
57,1.97742,16.000,6.04194
58,1.97742,16.000,6.03871
58,1.97097,16.000,6.04194
59,1.97581,16.000,6.04516
59,1.97258,16.000,6.03548
60,1.97581,16.000,6.03387
61,1.97742,16.000,6.03548
61,1.96774,16.000,6.04194
62,1.97097,16.000,6.03548
62,1.96935,16.000,6.02903
63,1.97097,16.000,6.04194
64,1.96935,16.000,6.03226
64,1.96613,16.000,6.03548
65,1.97581,16.000,6.04032
65,1.96935,16.000,6.03710
66,1.96613,16.000,6.03710
67,1.97581,16.000,6.04355
67,1.96774,16.000,6.04516
68,1.97258,16.000,6.03710
68,1.96613,16.000,6.04194
69,1.97097,16.000,6.03548
70,1.97419,16.000,6.03548
70,1.96452,16.000,6.03387
71,1.98226,16.000,6.03871
71,1.97419,16.000,6.04032
72,1.96290,16.000,6.04032
73,1.97742,16.000,6.03226
73,1.97258,16.000,6.03871
74,1.97903,16.000,6.03548
74,1.97742,16.000,6.03710
75,1.96290,16.000,6.03871
76,1.96774,16.000,6.04194
76,1.96935,16.000,6.04516
77,1.97581,16.000,6.03548
77,1.97581,16.000,6.03548
78,1.97581,16.000,6.03871
79,1.97097,16.000,6.04677
79,1.97419,16.000,6.04194
80,1.96129,16.000,6.03710
80,1.96935,16.000,6.03226
81,1.96774,16.000,6.03710
82,1.97097,16.000,6.04032
82,1.97419,16.000,6.03548
83,1.97742,16.000,6.03387
84,1.97258,16.000,6.04516
84,1.97903,16.000,6.03710
85,1.96935,16.000,6.03710
85,1.97419,16.000,6.04194
86,1.97419,16.000,6.03871
86,1.97581,16.000,6.03548
86,1.96935,16.000,6.04032
87,1.95161,16.000,6.04194
87,1.96774,16.000,6.04032
88,1.96613,16.000,6.03710
89,1.96935,16.000,6.03548
89,1.97419,16.000,6.03387
90,1.97097,16.000,6.03548
90,1.97258,16.000,6.05161
91,1.97258,16.000,6.04355
92,1.97258,16.000,6.04032
92,1.96774,16.000,6.03710
93,1.98226,16.000,6.03871
93,1.97419,16.000,6.03871
94,1.97742,16.000,6.03065
