timestamp,tds_v,tempC,ph_v
20,1.40968,16.000,6.04355
20,1.40968,16.000,6.03226
21,1.42097,16.000,6.04194
22,1.41452,16.000,6.04194
22,1.41290,16.000,6.04516
23,1.41613,16.000,6.03710
23,1.41935,16.000,6.03710
24,1.42581,16.000,6.03710
25,1.41935,16.000,6.04032
25,1.41613,16.000,6.03710
26,1.41774,16.000,6.03871
26,1.41452,16.000,6.03710
26,1.41935,16.000,6.04355
27,1.41935,16.000,6.03871
27,1.38710,16.000,6.04677
28,1.41935,16.000,6.03871
28,1.41290,16.000,6.04355
29,1.41452,16.000,6.03548
30,1.40161,16.000,6.03548
30,1.41290,16.000,6.04677
31,1.41613,16.000,6.03871
31,1.38871,16.000,6.04355
32,1.42581,16.000,6.04677
33,1.41452,16.000,6.03710
33,1.43387,16.000,6.04032
34,1.40968,16.000,6.03710
35,1.41129,16.000,6.03065
35,1.41774,16.000,6.04194
36,1.41290,16.000,6.04355
36,1.41290,16.000,6.04355
37,1.41774,16.000,6.03548
38,1.41613,16.000,6.04194
38,1.41452,16.000,6.04194
39,1.41452,16.000,6.03710
39,1.40484,16.000,6.04355
40,1.41452,16.000,6.03871
41,1.41613,16.000,6.04516
41,1.41290,16.000,6.03710
42,1.42903,16.000,6.03226
42,1.41774,16.000,6.03871
43,1.40968,16.000,6.04194
44,1.43387,16.000,6.03871
44,1.41935,16.000,6.04194
45,1.40968,16.000,6.04516
45,1.41774,16.000,6.03548
46,1.41129,16.000,6.03548
47,1.41290,16.000,6.04355
47,1.41290,16.000,6.03065
48,1.41613,16.000,6.03548
48,1.41774,16.000,6.03871
49,1.41129,16.000,6.03710
50,1.40645,16.000,6.03065
50,1.40968,16.000,6.04032
51,1.41452,16.000,6.03871
51,1.43226,16.000,6.04032
52,1.40968,16.000,6.03548
53,1.41452,16.000,6.03548
53,1.40000,16.000,6.04194
54,1.41290,16.000,6.03065
54,1.42258,16.000,6.04516
55,1.41290,16.000,6.04194
56,1.41613,16.000,6.03871
56,1.41774,16.000,6.04516
57,1.41452,16.000,6.03871
57,1.41290,16.000,6.04032
58,1.41452,16.000,6.03548
59,1.41774,16.000,6.03871
59,1.40968,16.000,6.04355
60,1.41129,16.000,6.03871
60,1.41613,16.000,6.03710
61,1.42742,16.000,6.03871
62,1.41129,16.000,6.04032
62,1.41129,16.000,6.03710
63,1.41290,16.000,6.04516
64,1.40968,16.000,6.04032
64,1.42097,16.000,6.03871
65,1.41613,16.000,6.04032
65,1.41613,16.000,6.04355
66,1.40968,16.000,6.04677
67,1.41935,16.000,6.04516
67,1.41290,16.000,6.05000
68,1.41935,16.000,6.04355
68,1.41129,16.000,6.04516
68,1.41774,16.000,6.04194
69,1.39677,16.000,6.04032
69,1.41935,16.000,6.04677
70,1.41452,16.000,6.04032
70,1.41774,16.000,6.04677
71,1.42742,16.000,6.04516
72,1.41935,16.000,6.04677
72,1.41129,16.000,6.04032
73,1.41613,16.000,6.03226
73,1.41290,16.000,6.03871
74,1.41452,16.000,6.04516
75,1.40806,16.000,6.04032
75,1.41290,16.000,6.02903
76,1.40645,16.000,6.03710
76,1.41613,16.000,6.04194
77,1.41613,16.000,6.03710
78,1.41452,16.000,6.03387
78,1.41290,16.000,6.03871
79,1.41452,16.000,6.04032
80,1.41613,16.000,6.04516
80,1.41613,16.000,6.04032
81,1.42581,16.000,6.03871
81,1.43226,16.000,6.03710
82,1.40806,16.000,6.04032
83,1.41452,16.000,6.03871
83,1.41452,16.000,6.03548
84,1.41452,16.000,6.04194
84,1.41290,16.000,6.03710
85,1.41129,16.000,6.03871
86,1.39839,16.000,6.04032
86,1.41452,16.000,6.03710
87,1.41935,16.000,6.03548
87,1.41129,16.000,6.04032
88,1.41290,16.000,6.04032
89,1.40968,16.000,6.03548
89,1.41613,16.000,6.03548
90,1.41452,16.000,6.03871
91,1.41452,16.000,6.04355
91,1.41452,16.000,6.04355
92,1.40968,16.000,6.03871
92,1.41129,16.000,6.04194
93,1.41290,16.000,6.04194
94,1.41129,16.000,6.04032
