timestamp,tds_v,tempC,ph_v
20,1.49355,16.000,6.04355
21,1.50161,16.000,6.03710
21,1.49355,16.000,6.03387
22,1.49516,16.000,6.03871
23,1.49032,16.000,6.04194
23,1.49194,16.000,6.03226
24,1.49516,16.000,6.04032
24,1.45806,16.000,6.03710
25,1.48871,16.000,6.03871
26,1.49355,16.000,6.03710
26,1.48871,16.000,6.03871
27,1.49355,16.000,6.04032
27,1.49839,16.000,6.04516
28,1.49355,16.000,6.03065
29,1.48710,16.000,6.04032
29,1.49516,16.000,6.04194
30,1.49516,16.000,6.03710
31,1.49516,16.000,6.03871
31,1.50806,16.000,6.03871
32,1.50484,16.000,6.03065
32,1.49516,16.000,6.03226
33,1.49355,16.000,6.03871
33,1.49194,16.000,6.04032
33,1.49839,16.000,6.02903
34,1.48548,16.000,6.03710
34,1.49194,16.000,6.03226
35,1.50161,16.000,6.03710
36,1.49516,16.000,6.03548
36,1.49355,16.000,6.04194
37,1.48871,16.000,6.04194
37,1.49677,16.000,6.03226
38,1.49839,16.000,6.03871
39,1.49516,16.000,6.04194
39,1.49677,16.000,6.03871
40,1.49516,16.000,6.03710
40,1.49355,16.000,6.03871
41,1.48871,16.000,6.04194
42,1.49839,16.000,6.03871
42,1.48387,16.000,6.03065
43,1.49355,16.000,6.03226
43,1.49516,16.000,6.03548
44,1.48226,16.000,6.04194
45,1.49032,16.000,6.04194
45,1.49194,16.000,6.03226
46,1.49516,16.000,6.04516
46,1.48548,16.000,6.04355
47,1.50645,16.000,6.03871
48,1.49355,16.000,6.03548
48,1.49194,16.000,6.03387
49,1.49032,16.000,6.03871
49,1.50806,16.000,6.03871
50,1.49355,16.000,6.03548
51,1.49839,16.000,6.03548
51,1.49194,16.000,6.03871
52,1.49032,16.000,6.04355
52,1.49032,16.000,6.03387
53,1.49194,16.000,6.04032
54,1.49032,16.000,6.03710
54,1.49194,16.000,6.03710
55,1.49194,16.000,6.04194
55,1.47742,16.000,6.03548
56,1.50000,16.000,6.03548
57,1.49355,16.000,6.03548
57,1.48871,16.000,6.03710
58,1.49516,16.000,6.03387
59,1.49839,16.000,6.04194
59,1.48871,16.000,6.03387
60,1.50323,16.000,6.03226
60,1.49516,16.000,6.03387
61,1.49516,16.000,6.04032
62,1.47581,16.000,6.04516
62,1.48871,16.000,6.03871
63,1.49839,16.000,6.03710
63,1.49032,16.000,6.03710
64,1.49677,16.000,6.03548
65,1.51613,16.000,6.03710
65,1.49839,16.000,6.03710
66,1.49516,16.000,6.03548
66,1.49194,16.000,6.03548
67,1.45000,16.000,6.03065
68,1.50000,16.000,6.03710
68,1.49194,16.000,6.04032
69,1.49516,16.000,6.04032
69,1.49516,16.000,6.03710
70,1.49032,16.000,6.03226
71,1.49516,16.000,6.03710
71,1.50000,16.000,6.03871
72,1.49194,16.000,6.04516
72,1.49032,16.000,6.03387
73,1.48710,16.000,6.03065
74,1.49355,16.000,6.04032
74,1.49839,16.000,6.04032
74,1.50484,16.000,6.03871
74,1.50000,16.000,6.03871
75,1.49516,16.000,6.04355
76,1.49839,16.000,6.03871
76,1.49194,16.000,6.04194
77,1.49677,16.000,6.04194
77,1.49839,16.000,6.04194
78,1.49839,16.000,6.03710
79,1.49032,16.000,6.03065
79,1.49677,16.000,6.03548
80,1.49839,16.000,6.03548
80,1.48548,16.000,6.03710
81,1.49194,16.000,6.04032
82,1.50161,16.000,6.03710
82,1.49032,16.000,6.03387
83,1.48548,16.000,6.03710
83,1.48710,16.000,6.04194
84,1.50323,16.000,6.04355
85,1.48226,16.000,6.03548
85,1.49677,16.000,6.03871
86,1.50484,16.000,6.04032
87,1.49677,16.000,6.04355
87,1.49355,16.000,6.04032
88,1.48871,16.000,6.03871
88,1.49032,16.000,6.03065
89,1.49032,16.000,6.04032
90,1.49516,16.000,6.04839
90,1.49355,16.000,6.03871
91,1.48548,16.000,6.04355
91,1.49194,16.000,6.04194
92,1.50323,16.000,6.04032
93,1.50323,16.000,6.03871
93,1.49839,16.000,6.04194
94,1.49516,16.000,6.03871
