timestamp,tds_v,tempC,ph_v
19,1.90161,16.000,6.04194
20,1.90323,16.000,6.04194
20,1.90161,16.000,6.04032
21,1.90161,16.000,6.04032
21,1.90968,16.000,6.05000
22,1.90323,16.000,6.04032
23,1.90645,16.000,6.04355
23,1.90645,16.000,6.04032
24,1.90806,16.000,6.04516
24,1.90000,16.000,6.03871
25,1.90645,16.000,6.03548
26,1.90645,16.000,6.04194
26,1.90968,16.000,6.04032
27,1.90645,16.000,6.03548
27,1.91290,16.000,6.05161
28,1.90968,16.000,6.03387
29,1.91290,16.000,6.04194
29,1.90484,16.000,6.03871
30,1.91452,16.000,6.03387
31,1.91774,16.000,6.05000
31,1.90806,16.000,6.04355
32,1.90968,16.000,6.04677
32,1.90806,16.000,6.04194
33,1.89839,16.000,6.03710
34,1.90645,16.000,6.04677
34,1.92097,16.000,6.03226
35,1.90161,16.000,6.03548
35,1.90484,16.000,6.04032
36,1.90645,16.000,6.03871
37,1.90806,16.000,6.04032
37,1.91613,16.000,6.03710
38,1.90484,16.000,6.03710
39,1.90645,16.000,6.03871
39,1.90968,16.000,6.03387
40,1.92742,16.000,6.03387
40,1.90645,16.000,6.04032
41,1.88548,16.000,6.04516
42,1.91129,16.000,6.04355
42,1.90161,16.000,6.03548
43,1.90806,16.000,6.03548
43,1.91290,16.000,6.03548
44,1.90484,16.000,6.03710
45,1.90484,16.000,6.04194
45,1.90968,16.000,6.03548
46,1.90806,16.000,6.03871
46,1.89194,16.000,6.03710
47,1.90323,16.000,6.04032
48,1.89677,16.000,6.03871
48,1.90968,16.000,6.03387
49,1.90968,16.000,6.04355
49,1.91613,16.000,6.04032
50,1.91129,16.000,6.03226
51,1.90484,16.000,6.03871
51,1.90806,16.000,6.03871
52,1.90323,16.000,6.03871
52,1.89839,16.000,6.03710
53,1.90645,16.000,6.03387
54,1.90000,16.000,6.04032
54,1.90484,16.000,6.03710
54,1.89839,16.000,6.04355
54,1.90161,16.000,6.03871
55,1.90968,16.000,6.03871
56,1.90484,16.000,6.03226
56,1.90484,16.000,6.04032
57,1.90323,16.000,6.03710
57,1.90645,16.000,6.03710
58,1.90806,16.000,6.03548
59,1.90968,16.000,6.03387
59,1.90484,16.000,6.03710
60,1.90484,16.000,6.03710
60,1.90645,16.000,6.04032
61,1.90484,16.000,6.03871
62,1.91290,16.000,6.03871
62,1.90484,16.000,6.03387
63,1.90645,16.000,6.03871
63,1.90645,16.000,6.04355
64,1.90645,16.000,6.04516
65,1.90968,16.000,6.03871
65,1.90161,16.000,6.04032
66,1.90000,16.000,6.03387
66,1.91452,16.000,6.03871
67,1.90806,16.000,6.03871
68,1.90484,16.000,6.04516
68,1.91935,16.000,6.04355
69,1.89677,16.000,6.03548
69,1.89839,16.000,6.04516
70,1.90323,16.000,6.04032
71,1.90161,16.000,6.03548
71,1.90484,16.000,6.03387
72,1.90323,16.000,6.03548
73,1.90968,16.000,6.04194
73,1.90323,16.000,6.03548
74,1.90645,16.000,6.04516
74,1.91129,16.000,6.04032
75,1.89839,16.000,6.03710
76,1.89839,16.000,6.04677
76,1.90806,16.000,6.04677
77,1.90484,16.000,6.04839
77,1.90968,16.000,6.04677
78,1.89839,16.000,6.03548
79,1.90323,16.000,6.03710
79,1.90484,16.000,6.03710
80,1.91129,16.000,6.04355
80,1.90323,16.000,6.03871
81,1.91129,16.000,6.03387
82,1.89355,16.000,6.03710
82,1.90161,16.000,6.03548
83,1.90000,16.000,6.04032
83,1.90645,16.000,6.04355
84,1.90484,16.000,6.03710
85,1.90806,16.000,6.04516
85,1.90806,16.000,6.03548
86,1.90645,16.000,6.04032
86,1.90806,16.000,6.04032
87,1.90645,16.000,6.04194
88,1.89677,16.000,6.03710
88,1.90645,16.000,6.04194
89,1.90000,16.000,6.04355
89,1.91290,16.000,6.04516
90,1.90161,16.000,6.04516
91,1.90645,16.000,6.04032
91,1.91452,16.000,6.04032
92,1.90645,16.000,6.04194
92,1.91290,16.000,6.04516
93,1.91129,16.000,6.03710
94,1.90484,16.000,6.04032
