timestamp,tds_v,tempC,ph_v
18,1.92742,16.000,6.03871
19,1.92419,16.000,6.04839
19,1.92903,16.000,6.03871
20,1.92742,16.000,6.04032
21,1.92419,16.000,6.05161
21,1.92903,16.000,6.04194
22,1.93387,16.000,6.03710
22,1.93065,16.000,6.04355
23,1.92097,16.000,6.03710
24,1.95161,16.000,6.04516
24,1.93226,16.000,6.04677
25,1.92258,16.000,6.04032
26,1.92419,16.000,6.03710
26,1.93065,16.000,6.03871
27,1.92742,16.000,6.04839
27,1.93226,16.000,6.03226
28,1.92581,16.000,6.04516
29,1.92419,16.000,6.04194
29,1.92581,16.000,6.03710
30,1.93387,16.000,6.04677
30,1.92581,16.000,6.04032
31,1.93065,16.000,6.04194
32,1.92581,16.000,6.04516
32,1.92903,16.000,6.04194
33,1.92419,16.000,6.05484
33,1.91774,16.000,6.04194
34,1.92742,16.000,6.04355
35,1.93065,16.000,6.03871
35,1.92419,16.000,6.04839
36,1.91935,16.000,6.05000
36,1.90645,16.000,6.04516
37,1.92742,16.000,6.03710
38,1.88387,16.000,6.04516
38,1.92419,16.000,6.04355
39,1.92581,16.000,6.04516
39,1.92742,16.000,6.04355
40,1.91774,16.000,6.03387
41,1.91774,16.000,6.04839
41,1.92742,16.000,6.03871
42,1.91774,16.000,6.04194
42,1.93065,16.000,6.04355
43,1.92742,16.000,6.04194
44,1.92419,16.000,6.03871
44,1.92258,16.000,6.03387
45,1.92419,16.000,6.04355
45,1.92742,16.000,6.04516
46,1.92581,16.000,6.04194
47,1.93226,16.000,6.04032
47,1.93065,16.000,6.03387
48,1.92419,16.000,6.04194
48,1.94355,16.000,6.03871
48,1.92742,16.000,6.04355
49,1.93387,16.000,6.04194
49,1.93226,16.000,6.04516
50,1.93065,16.000,6.04032
51,1.91935,16.000,6.03710
51,1.92419,16.000,6.03871
52,1.94194,16.000,6.04355
52,1.92742,16.000,6.03871
53,1.91935,16.000,6.04194
54,1.90968,16.000,6.03387
54,1.92581,16.000,6.03548
55,1.92419,16.000,6.04194
55,1.93065,16.000,6.03387
56,1.91935,16.000,6.04677
57,1.92581,16.000,6.03548
57,1.92581,16.000,6.03387
58,1.92581,16.000,6.03710
58,1.92097,16.000,6.04355
59,1.91935,16.000,6.04355
60,1.92258,16.000,6.04032
60,1.91935,16.000,6.03226
61,1.92258,16.000,6.02903
61,1.92097,16.000,6.04032
62,1.92903,16.000,6.04677
63,1.92419,16.000,6.03548
63,1.91774,16.000,6.03065
64,1.92258,16.000,6.04194
64,1.92258,16.000,6.03387
65,1.91774,16.000,6.03710
66,1.92581,16.000,6.03710
66,1.93387,16.000,6.04516
67,1.92581,16.000,6.03710
67,1.92419,16.000,6.04032
68,1.92258,16.000,6.04194
69,1.93065,16.000,6.04032
69,1.92742,16.000,6.03548
70,1.90323,16.000,6.04516
70,1.92097,16.000,6.04677
71,1.91774,16.000,6.04839
72,1.92097,16.000,6.04032
72,1.92581,16.000,6.04032
73,1.93871,16.000,6.04032
73,1.92097,16.000,6.04194
74,1.92581,16.000,6.04032
75,1.92419,16.000,6.04032
75,1.92419,16.000,6.04677
76,1.93065,16.000,6.04677
76,1.92581,16.000,6.03710
77,1.92097,16.000,6.03871
78,1.92581,16.000,6.04194
78,1.92742,16.000,6.04194
79,1.93065,16.000,6.04355
79,1.92097,16.000,6.03871
80,1.92742,16.000,6.03710
81,1.92903,16.000,6.04194
81,1.92258,16.000,6.04032
82,1.92903,16.000,6.04355
83,1.93065,16.000,6.03871
83,1.91452,16.000,6.04355
84,1.92581,16.000,6.03548
84,1.92097,16.000,6.03871
85,1.91935,16.000,6.04032
86,1.93387,16.000,6.03548
86,1.92581,16.000,6.04516
87,1.92419,16.000,6.04677
87,1.92097,16.000,6.05000
88,1.92419,16.000,6.04032
89,1.92258,16.000,6.03871
89,1.92581,16.000,6.04032
90,1.91774,16.000,6.04355
90,1.91774,16.000,6.03871
90,1.92419,16.000,6.03871
91,1.92419,16.000,6.04516
91,1.91935,16.000,6.03871
92,1.92903,16.000,6.04194
92,1.91935,16.000,6.03871
93,1.92097,16.000,6.04194
94,1.91452,16.000,6.04516
