timestamp,tds_v,tempC,ph_v
20,1.40806,16.000,6.04355
21,1.40161,16.000,6.04032
21,1.40323,16.000,6.03871
22,1.39839,16.000,6.03710
22,1.40484,16.000,6.03871
23,1.39839,16.000,6.03710
24,1.40000,16.000,6.03548
24,1.40161,16.000,6.04355
25,1.40161,16.000,6.04194
25,1.39839,16.000,6.04355
26,1.38710,16.000,6.04194
27,1.40484,16.000,6.03387
27,1.39355,16.000,6.04194
28,1.40161,16.000,6.04032
28,1.39677,16.000,6.04355
29,1.39355,16.000,6.04032
30,1.43226,16.000,6.03387
30,1.40484,16.000,6.03548
31,1.40000,16.000,6.04032
31,1.40806,16.000,6.04194
32,1.40484,16.000,6.03710
33,1.40645,16.000,6.04194
33,1.39516,16.000,6.03710
34,1.40000,16.000,6.03871
35,1.39677,16.000,6.04194
35,1.40323,16.000,6.03871
35,1.39677,16.000,6.04194
35,1.40161,16.000,6.04194
36,1.40645,16.000,6.03548
37,1.39839,16.000,6.04032
37,1.39355,16.000,6.04355
38,1.40645,16.000,6.03710
38,1.40000,16.000,6.03387
39,1.40645,16.000,6.03548
40,1.39677,16.000,6.04032
40,1.39677,16.000,6.03226
41,1.40323,16.000,6.04032
42,1.40484,16.000,6.03065
42,1.40323,16.000,6.04032
43,1.40000,16.000,6.04032
43,1.39677,16.000,6.03710
44,1.39677,16.000,6.03871
45,1.40484,16.000,6.04032
45,1.40000,16.000,6.04032
46,1.39677,16.000,6.04355
46,1.39839,16.000,6.04516
47,1.39839,16.000,6.03871
48,1.40161,16.000,6.03871
48,1.40484,16.000,6.04194
49,1.39677,16.000,6.03871
49,1.40484,16.000,6.03871
50,1.40645,16.000,6.03871
51,1.40484,16.000,6.03871
51,1.38871,16.000,6.04032
52,1.40000,16.000,6.04516
52,1.40806,16.000,6.03871
53,1.39839,16.000,6.04032
54,1.40161,16.000,6.03871
54,1.39839,16.000,6.04032
55,1.40000,16.000,6.04516
55,1.39839,16.000,6.04032
56,1.40645,16.000,6.03710
57,1.40484,16.000,6.04032
57,1.39516,16.000,6.04032
58,1.40161,16.000,6.04516
58,1.39516,16.000,6.03387
59,1.40161,16.000,6.03710
60,1.40000,16.000,6.03871
60,1.40484,16.000,6.03548
61,1.40645,16.000,6.03548
61,1.40161,16.000,6.04032
62,1.40645,16.000,6.04355
63,1.40484,16.000,6.04355
63,1.40645,16.000,6.04194
64,1.40161,16.000,6.04355
64,1.40484,16.000,6.03710
65,1.38871,16.000,6.03871
66,1.40484,16.000,6.03548
66,1.40323,16.000,6.03548
67,1.40484,16.000,6.03710
67,1.41774,16.000,6.03710
68,1.40645,16.000,6.04032
69,1.40323,16.000,6.04032
69,1.40161,16.000,6.03710
70,1.39677,16.000,6.03548
71,1.40000,16.000,6.03548
71,1.39839,16.000,6.04032
72,1.40161,16.000,6.04516
72,1.40323,16.000,6.04032
73,1.40161,16.000,6.04032
74,1.40645,16.000,6.04355
74,1.40161,16.000,6.04516
75,1.40323,16.000,6.04032
75,1.40806,16.000,6.04032
76,1.40806,16.000,6.04194
77,1.40645,16.000,6.03387
77,1.39516,16.000,6.03710
77,1.40323,16.000,6.04194
77,1.40645,16.000,6.04355
78,1.40968,16.000,6.03710
79,1.40000,16.000,6.04032
79,1.40806,16.000,6.04677
80,1.40806,16.000,6.04194
81,1.40645,16.000,6.04032
81,1.40484,16.000,6.03871
82,1.40323,16.000,6.03548
82,1.40645,16.000,6.03548
83,1.39032,16.000,6.04839
84,1.40161,16.000,6.03871
84,1.40161,16.000,6.04032
85,1.40000,16.000,6.04032
85,1.39677,16.000,6.03710
86,1.40645,16.000,6.05484
87,1.39839,16.000,6.04516
87,1.40645,16.000,6.05000
88,1.39839,16.000,6.04355
88,1.40645,16.000,6.04194
89,1.39516,16.000,6.04516
90,1.39839,16.000,6.03710
90,1.40000,16.000,6.04194
91,1.40000,16.000,6.03871
91,1.40645,16.000,6.04032
92,1.40806,16.000,6.05161
93,1.40484,16.000,6.04032
93,1.40323,16.000,6.03548
94,1.39839,16.000,6.03548
