timestamp,tds_v,tempC,ph_v
18,1.91452,16.000,6.03710
19,1.90806,16.000,6.03387
20,1.90484,16.000,6.03710
20,1.88226,16.000,6.04516
21,1.90484,16.000,6.03548
21,1.90968,16.000,6.04355
22,1.90806,16.000,6.03065
23,1.90323,16.000,6.03871
23,1.90323,16.000,6.04194
24,1.91290,16.000,6.04032
24,1.90806,16.000,6.03548
25,1.90806,16.000,6.04032
26,1.90484,16.000,6.04032
26,1.90968,16.000,6.04032
27,1.90323,16.000,6.04194
27,1.89677,16.000,6.03548
28,1.90968,16.000,6.03710
29,1.90323,16.000,6.03710
29,1.90323,16.000,6.04032
30,1.90161,16.000,6.04032
30,1.89677,16.000,6.04516
31,1.90161,16.000,6.03710
32,1.90806,16.000,6.03548
32,1.90161,16.000,6.04194
33,1.90484,16.000,6.03548
33,1.90645,16.000,6.03710
34,1.90161,16.000,6.03548
35,1.90645,16.000,6.03387
35,1.91452,16.000,6.03871
36,1.90000,16.000,6.04355
36,1.90323,16.000,6.03387
37,1.90323,16.000,6.03387
38,1.89839,16.000,6.04032
38,1.91129,16.000,6.04194
39,1.89839,16.000,6.04677
39,1.91290,16.000,6.04032
40,1.89677,16.000,6.04516
41,1.89516,16.000,6.04032
41,1.90968,16.000,6.03871
42,1.92581,16.000,6.04194
43,1.90645,16.000,6.04032
43,1.90968,16.000,6.03871
44,1.90323,16.000,6.04355
44,1.91774,16.000,6.03710
45,1.90645,16.000,6.04677
46,1.90323,16.000,6.03710
46,1.90645,16.000,6.03710
47,1.90645,16.000,6.03871
47,1.90645,16.000,6.03226
48,1.90806,16.000,6.04677
49,1.90806,16.000,6.04355
49,1.90484,16.000,6.03710
50,1.90645,16.000,6.04355
50,1.90806,16.000,6.03871
51,1.91129,16.000,6.04355
52,1.90323,16.000,6.03871
52,1.91774,16.000,6.03387
53,1.90484,16.000,6.03387
53,1.90645,16.000,6.03710
54,1.90323,16.000,6.04355
55,1.90323,16.000,6.03548
55,1.90806,16.000,6.03710
55,1.89677,16.000,6.03710
55,1.90000,16.000,6.03548
56,1.90484,16.000,6.03387
57,1.90645,16.000,6.03871
57,1.90968,16.000,6.04032
58,1.90323,16.000,6.03710
58,1.90806,16.000,6.04516
59,1.90968,16.000,6.04032
60,1.92581,16.000,6.03548
60,1.91290,16.000,6.03548
61,1.90806,16.000,6.03548
61,1.90645,16.000,6.03548
62,1.90645,16.000,6.04194
63,1.90161,16.000,6.04516
63,1.90806,16.000,6.04194
64,1.90968,16.000,6.03065
64,1.90323,16.000,6.03548
65,1.90484,16.000,6.04677
66,1.90000,16.000,6.03387
66,1.90806,16.000,6.03871
67,1.90806,16.000,6.04194
67,1.90806,16.000,6.03387
68,1.90645,16.000,6.04032
68,1.90806,16.000,6.03548
69,1.90161,16.000,6.04032
70,1.90484,16.000,6.03548
70,1.90161,16.000,6.03710
71,1.90484,16.000,6.03226
71,1.90000,16.000,6.03548
