timestamp,tds_v,tempC,ph_v
18,1.46774,16.000,6.03226
19,1.46613,16.000,6.03387
20,1.47258,16.000,6.03548
20,1.47419,16.000,6.03548
21,1.47258,16.000,6.03710
21,1.46935,16.000,6.03710
22,1.46290,16.000,6.03710
23,1.48548,16.000,6.04516
23,1.47258,16.000,6.03387
24,1.46452,16.000,6.03065
25,1.46935,16.000,6.03387
25,1.46774,16.000,6.04032
26,1.46613,16.000,6.04032
26,1.46935,16.000,6.04355
27,1.41774,16.000,6.03871
28,1.46774,16.000,6.03387
28,1.47097,16.000,6.04032
29,1.46613,16.000,6.03871
29,1.46935,16.000,6.04194
30,1.47903,16.000,6.03387
31,1.47581,16.000,6.04032
31,1.47258,16.000,6.03710
32,1.47258,16.000,6.03710
32,1.47581,16.000,6.03871
33,1.46774,16.000,6.03065
34,1.47097,16.000,6.04032
34,1.47097,16.000,6.03226
35,1.46129,16.000,6.04355
35,1.46935,16.000,6.04194
36,1.46935,16.000,6.03710
37,1.47903,16.000,6.03871
37,1.46935,16.000,6.03548
38,1.47097,16.000,6.03548
39,1.47742,16.000,6.04355
39,1.46452,16.000,6.03226
40,1.47258,16.000,6.04032
40,1.47097,16.000,6.02903
41,1.45645,16.000,6.03710
42,1.46935,16.000,6.03710
42,1.47581,16.000,6.04355
43,1.47097,16.000,6.03871
43,1.46129,16.000,6.03871
44,1.46935,16.000,6.03548
45,1.46613,16.000,6.03871
45,1.47097,16.000,6.03710
46,1.46452,16.000,6.03710
46,1.47419,16.000,6.02581
47,1.46935,16.000,6.04194
48,1.47258,16.000,6.03065
48,1.47097,16.000,6.03710
48,1.46935,16.000,6.04194
48,1.47097,16.000,6.03548
49,1.46290,16.000,6.03871
50,1.47097,16.000,6.03065
50,1.46613,16.000,6.03548
51,1.46774,16.000,6.04032
51,1.47097,16.000,6.03226
52,1.48871,16.000,6.03548
53,1.47258,16.000,6.03548
53,1.46774,16.000,6.03387
54,1.46774,16.000,6.03871
54,1.47419,16.000,6.03871
55,1.47258,16.000,6.03226
56,1.46774,16.000,6.03871
56,1.47258,16.000,6.03710
57,1.46935,16.000,6.03065
58,1.47742,16.000,6.04516
58,1.47097,16.000,6.03871
59,1.46129,16.000,6.03226
59,1.46935,16.000,6.03710
60,1.46613,16.000,6.03387
61,1.45968,16.000,6.03226
61,1.47419,16.000,6.03871
62,1.47097,16.000,6.03387
62,1.46935,16.000,6.04355
63,1.46129,16.000,6.03871
64,1.46613,16.000,6.03065
64,1.46613,16.000,6.03710
65,1.47097,16.000,6.03387
65,1.47258,16.000,6.03387
66,1.46935,16.000,6.03065
67,1.46290,16.000,6.03065
67,1.47258,16.000,6.03710
68,1.46935,16.000,6.03548
68,1.47419,16.000,6.04839
69,1.47258,16.000,6.04194
70,1.46935,16.000,6.03226
70,1.46290,16.000,6.03548
71,1.47097,16.000,6.03871
71,1.47742,16.000,6.04194
72,1.46452,16.000,6.03065
73,1.47581,16.000,6.03710
73,1.47097,16.000,6.03548
74,1.47097,16.000,6.03226
74,1.46935,16.000,6.04032
75,1.46452,16.000,6.03387
76,1.46935,16.000,6.03387
76,1.46613,16.000,6.04194
77,1.46935,16.000,6.03710
77,1.49516,16.000,6.03387
78,1.47258,16.000,6.03548
79,1.47097,16.000,6.04355
79,1.47097,16.000,6.03871
80,1.46452,16.000,6.03710
80,1.46935,16.000,6.03548
81,1.46613,16.000,6.03387
82,1.47097,16.000,6.03710
82,1.46613,16.000,6.04194
83,1.47742,16.000,6.04194
83,1.46613,16.000,6.03710
84,1.46774,16.000,6.04032
85,1.47419,16.000,6.03871
85,1.46129,16.000,6.04194
86,1.46452,16.000,6.04194
86,1.47903,16.000,6.04516
87,1.46452,16.000,6.03871
88,1.44677,16.000,6.03065
88,1.47258,16.000,6.03548
89,1.46290,16.000,6.03226
89,1.47097,16.000,6.03710
89,1.46774,16.000,6.03387
90,1.47581,16.000,6.04194
90,1.46774,16.000,6.03710
91,1.46452,16.000,6.03710
92,1.47097,16.000,6.03226
92,1.47258,16.000,6.03065
93,1.46774,16.000,6.02903
93,1.45484,16.000,6.03065
94,1.47097,16.000,6.04516
