timestamp,tds_v,tempC,ph_v
20,1.93871,16.000,6.03710
21,1.96290,16.000,6.03710
21,1.95968,16.000,6.03710
22,1.96290,16.000,6.04032
22,1.95484,16.000,6.04194
23,1.95968,16.000,6.03710
24,1.95968,16.000,6.03548
24,1.97903,16.000,6.03871
25,1.95968,16.000,6.03387
25,1.94677,16.000,6.03548
26,1.95645,16.000,6.03871
27,1.96129,16.000,6.03387
27,1.96129,16.000,6.04032
28,1.96129,16.000,6.03387
28,1.95000,16.000,6.03548
29,1.96935,16.000,6.03226
30,1.96774,16.000,6.04194
30,1.95484,16.000,6.03871
31,1.95806,16.000,6.03387
31,1.95161,16.000,6.03710
31,1.96129,16.000,6.03710
32,1.97097,16.000,6.03387
32,1.96613,16.000,6.03387
33,1.95968,16.000,6.04032
33,1.95806,16.000,6.04194
34,1.96290,16.000,6.03871
35,1.96613,16.000,6.03387
35,1.96613,16.000,6.04194
36,1.95968,16.000,6.03548
37,1.95806,16.000,6.04194
37,1.95968,16.000,6.03710
38,1.96452,16.000,6.03710
38,1.95645,16.000,6.03871
39,1.96290,16.000,6.04194
40,1.95806,16.000,6.04194
40,1.95806,16.000,6.04032
41,1.95484,16.000,6.03710
41,1.95484,16.000,6.03387
42,1.96452,16.000,6.03871
43,1.95968,16.000,6.03387
43,1.95968,16.000,6.03226
44,1.96290,16.000,6.03387
45,1.96290,16.000,6.03387
45,1.96290,16.000,6.04194
46,1.95968,16.000,6.03548
46,1.96129,16.000,6.03548
47,1.95645,16.000,6.03710
48,1.96290,16.000,6.03387
48,1.96452,16.000,6.03065
49,1.96452,16.000,6.03065
50,1.95806,16.000,6.03871
50,1.95806,16.000,6.03548
51,1.96452,16.000,6.03710
51,1.95968,16.000,6.03710
52,1.96452,16.000,6.02903
53,1.96290,16.000,6.03871
53,1.95968,16.000,6.03548
54,1.95645,16.000,6.04194
54,1.95806,16.000,6.04032
55,1.95806,16.000,6.03710
56,1.96290,16.000,6.04032
56,1.96774,16.000,6.04194
57,1.95323,16.000,6.04194
57,1.95806,16.000,6.03548
58,1.95968,16.000,6.03871
59,1.98065,16.000,6.04194
59,1.96935,16.000,6.03710
60,1.95806,16.000,6.03387
60,1.96452,16.000,6.03226
61,1.96452,16.000,6.03710
62,1.95968,16.000,6.03871
62,1.96613,16.000,6.03387
63,1.95323,16.000,6.04032
63,1.96290,16.000,6.03710
64,1.95806,16.000,6.03871
65,1.95645,16.000,6.03710
65,1.96452,16.000,6.03871
66,1.95806,16.000,6.04032
66,1.95806,16.000,6.03710
67,1.96613,16.000,6.04032
68,1.92742,16.000,6.04516
68,1.96129,16.000,6.03871
69,1.96290,16.000,6.03871
69,1.95806,16.000,6.04194
70,1.95806,16.000,6.03871
71,1.95806,16.000,6.03548
71,1.95806,16.000,6.03387
72,1.96290,16.000,6.04355
73,1.96452,16.000,6.03226
73,1.95484,16.000,6.03871
73,1.95323,16.000,6.03548
73,1.96774,16.000,6.03710
74,1.95323,16.000,6.04355
75,1.95000,16.000,6.03710
75,1.96129,16.000,6.03548
76,1.93548,16.000,6.03548
76,1.95968,16.000,6.02903
77,1.95323,16.000,6.04032
78,1.95806,16.000,6.04032
78,1.95645,16.000,6.03871
79,1.96290,16.000,6.03226
79,1.96290,16.000,6.03065
80,1.96290,16.000,6.04516
81,1.96129,16.000,6.03871
81,1.95645,16.000,6.03226
82,1.96613,16.000,6.03226
82,1.95968,16.000,6.03387
83,1.95806,16.000,6.04355
84,1.93871,16.000,6.03710
84,1.95323,16.000,6.03871
85,1.96290,16.000,6.03548
85,1.95968,16.000,6.03548
86,1.96452,16.000,6.04355
87,1.96129,16.000,6.03710
87,1.96129,16.000,6.04516
88,1.96774,16.000,6.04032
88,1.95161,16.000,6.04032
89,1.94677,16.000,6.03710
90,1.95968,16.000,6.03710
90,1.95968,16.000,6.03548
91,1.95806,16.000,6.04516
91,1.94194,16.000,6.04355
92,1.95484,16.000,6.03871
93,1.96290,16.000,6.03548
93,1.96613,16.000,6.02742
94,1.95323,16.000,6.03387
