timestamp,tds_v,tempC,ph_v
20,1.49516,16.000,6.04032
20,1.48871,16.000,6.04194
21,1.47903,16.000,6.04032
22,1.48387,16.000,6.03226
22,1.48710,16.000,6.03710
23,1.47419,16.000,6.03548
23,1.48548,16.000,6.03710
24,1.49355,16.000,6.03226
25,1.48871,16.000,6.03226
25,1.49355,16.000,6.03226
25,1.49032,16.000,6.03871
25,1.48871,16.000,6.03548
26,1.48548,16.000,6.04516
27,1.48387,16.000,6.03871
27,1.47903,16.000,6.04032
28,1.48548,16.000,6.03387
29,1.45968,16.000,6.03065
29,1.49194,16.000,6.04516
30,1.49355,16.000,6.03871
30,1.48548,16.000,6.03710
31,1.48871,16.000,6.03226
32,1.48710,16.000,6.03548
32,1.48065,16.000,6.03710
33,1.48387,16.000,6.04516
33,1.48548,16.000,6.03548
34,1.48548,16.000,6.03548
35,1.48387,16.000,6.03710
35,1.48387,16.000,6.04032
36,1.48871,16.000,6.03387
36,1.49355,16.000,6.03710
37,1.48387,16.000,6.03548
38,1.48710,16.000,6.03710
38,1.49516,16.000,6.03387
39,1.48710,16.000,6.04194
39,1.49032,16.000,6.03871
40,1.48548,16.000,6.03710
41,1.49032,16.000,6.03387
41,1.48226,16.000,6.03871
42,1.48710,16.000,6.03387
42,1.49032,16.000,6.03065
43,1.49355,16.000,6.03871
44,1.49355,16.000,6.03710
44,1.48710,16.000,6.04355
45,1.48710,16.000,6.04032
45,1.48710,16.000,6.03871
46,1.49194,16.000,6.03226
47,1.48548,16.000,6.03226
47,1.47419,16.000,6.03710
48,1.48065,16.000,6.03710
48,1.48065,16.000,6.02742
49,1.48387,16.000,6.03710
50,1.48226,16.000,6.03710
50,1.48710,16.000,6.04194
51,1.49355,16.000,6.04516
51,1.45806,16.000,6.03226
52,1.49194,16.000,6.04194
53,1.49839,16.000,6.04194
53,1.48387,16.000,6.04194
54,1.48871,16.000,6.02903
54,1.49516,16.000,6.03710
55,1.49194,16.000,6.04194
56,1.48226,16.000,6.03871
56,1.48710,16.000,6.04677
57,1.49032,16.000,6.04194
58,1.48387,16.000,6.03548
58,1.48710,16.000,6.03871
59,1.48710,16.000,6.04516
59,1.51613,16.000,6.04032
60,1.49516,16.000,6.03710
61,1.48548,16.000,6.04194
61,1.49032,16.000,6.03871
62,1.49355,16.000,6.03710
62,1.46774,16.000,6.04032
63,1.47742,16.000,6.04032
64,1.49194,16.000,6.04032
64,1.48871,16.000,6.04677
65,1.48710,16.000,6.04194
65,1.48065,16.000,6.03548
66,1.48710,16.000,6.03871
67,1.48710,16.000,6.03548
67,1.48387,16.000,6.04516
67,1.48871,16.000,6.03226
67,1.48548,16.000,6.04355
68,1.46935,16.000,6.03710
69,1.48387,16.000,6.03710
69,1.48871,16.000,6.03548
70,1.49677,16.000,6.03548
70,1.49032,16.000,6.04032
71,1.47097,16.000,6.04355
72,1.49032,16.000,6.04194
72,1.49677,16.000,6.03548
73,1.48871,16.000,6.03548
73,1.49677,16.000,6.03710
74,1.49032,16.000,6.04194
75,1.48548,16.000,6.03710
75,1.48710,16.000,6.03387
76,1.49032,16.000,6.03710
76,1.48871,16.000,6.03710
77,1.48710,16.000,6.03871
78,1.48871,16.000,6.03710
78,1.49032,16.000,6.03387
79,1.48226,16.000,6.03226
80,1.49032,16.000,6.04032
80,1.48548,16.000,6.04516
81,1.48710,16.000,6.03871
81,1.48871,16.000,6.03548
82,1.48710,16.000,6.03710
83,1.48710,16.000,6.03710
83,1.49032,16.000,6.03871
84,1.48710,16.000,6.04032
84,1.48710,16.000,6.04032
85,1.46129,16.000,6.03871
86,1.48710,16.000,6.03548
86,1.48710,16.000,6.03226
87,1.48710,16.000,6.03710
87,1.47742,16.000,6.03548
88,1.49194,16.000,6.03710
89,1.47742,16.000,6.03548
89,1.48548,16.000,6.03065
90,1.48387,16.000,6.03065
90,1.49032,16.000,6.04355
91,1.50484,16.000,6.03710
92,1.47903,16.000,6.04355
92,1.49032,16.000,6.04194
93,1.48548,16.000,6.03710
93,1.49194,16.000,6.04516
94,1.48871,16.000,6.03548
