timestamp,tds_v,tempC,ph_v
20,1.94839,16.000,6.04032
21,1.94839,16.000,6.04355
21,1.95000,16.000,6.04032
22,1.94839,16.000,6.03871
22,1.94355,16.000,6.04355
23,1.94355,16.000,6.04677
24,1.95484,16.000,6.04194
24,1.94839,16.000,6.03710
25,1.95323,16.000,6.04194
25,1.94032,16.000,6.04516
26,1.94839,16.000,6.03710
26,1.94677,16.000,6.03871
26,1.95484,16.000,6.03710
27,1.94677,16.000,6.04032
27,1.94839,16.000,6.04032
28,1.95645,16.000,6.03710
29,1.94516,16.000,6.04194
29,1.95806,16.000,6.04194
30,1.94355,16.000,6.04355
30,1.94839,16.000,6.04677
31,1.94516,16.000,6.04194
32,1.94839,16.000,6.04194
32,1.95161,16.000,6.04516
33,1.95000,16.000,6.04194
34,1.96129,16.000,6.04032
34,1.94677,16.000,6.03871
35,1.95323,16.000,6.03548
35,1.95000,16.000,6.04355
36,1.95161,16.000,6.03871
37,1.95484,16.000,6.04355
37,1.95484,16.000,6.04032
38,1.94839,16.000,6.03710
38,1.95323,16.000,6.04032
39,1.95000,16.000,6.03065
40,1.93387,16.000,6.04839
40,1.95323,16.000,6.04032
41,1.94677,16.000,6.03548
41,1.94839,16.000,6.04194
42,1.95968,16.000,6.03710
43,1.95000,16.000,6.04032
43,1.94194,16.000,6.04032
44,1.95645,16.000,6.03710
45,1.95161,16.000,6.03226
45,1.94839,16.000,6.03710
46,1.94677,16.000,6.04355
46,1.95161,16.000,6.04194
47,1.95161,16.000,6.04032
48,1.94839,16.000,6.03548
48,1.95161,16.000,6.03226
49,1.95161,16.000,6.04516
49,1.91935,16.000,6.03065
50,1.91129,16.000,6.04032
51,1.95323,16.000,6.03387
51,1.95000,16.000,6.03387
52,1.94677,16.000,6.04516
52,1.95161,16.000,6.03548
53,1.94839,16.000,6.03871
54,1.94516,16.000,6.03710
54,1.94839,16.000,6.03065
55,1.94839,16.000,6.04355
55,1.94839,16.000,6.04194
56,1.94677,16.000,6.04032
57,1.95323,16.000,6.03710
57,1.95161,16.000,6.04032
58,1.95000,16.000,6.04677
58,1.95000,16.000,6.04032
59,1.95484,16.000,6.04032
60,1.95161,16.000,6.03226
60,1.94839,16.000,6.04032
61,1.94677,16.000,6.04516
61,1.95161,16.000,6.04839
62,1.95484,16.000,6.04355
63,1.95484,16.000,6.04516
63,1.95323,16.000,6.03871
64,1.94677,16.000,6.04194
65,1.93871,16.000,6.03548
65,1.95323,16.000,6.04194
66,1.94839,16.000,6.03710
66,1.94677,16.000,6.03710
67,1.94032,16.000,6.04677
67,1.93548,16.000,6.03871
67,1.94839,16.000,6.03871
68,1.95000,16.000,6.03548
68,1.95484,16.000,6.03710
69,1.95161,16.000,6.04839
70,1.94839,16.000,6.04516
70,1.95484,16.000,6.05000
71,1.95000,16.000,6.04677
71,1.95806,16.000,6.03710
72,1.94677,16.000,6.05000
73,1.95806,16.000,6.04032
73,1.95161,16.000,6.04194
74,1.95161,16.000,6.04032
74,1.95161,16.000,6.04032
75,1.94516,16.000,6.04032
76,1.95484,16.000,6.03710
76,1.95161,16.000,6.03226
77,1.94839,16.000,6.03548
77,1.95323,16.000,6.03387
78,1.96290,16.000,6.04516
79,1.95645,16.000,6.04032
79,1.95484,16.000,6.04194
80,1.94839,16.000,6.04355
80,1.94839,16.000,6.04194
81,1.94839,16.000,6.04516
82,1.96452,16.000,6.04355
82,1.95645,16.000,6.03387
83,1.95323,16.000,6.04032
83,1.95323,16.000,6.03871
84,1.94516,16.000,6.03710
85,1.95323,16.000,6.04516
85,1.94194,16.000,6.05000
86,1.94677,16.000,6.03871
86,1.96452,16.000,6.03871
87,1.94677,16.000,6.03871
88,1.95484,16.000,6.04032
88,1.94677,16.000,6.03710
89,1.94032,16.000,6.04355
89,1.95323,16.000,6.03871
90,1.95161,16.000,6.04355
91,1.95000,16.000,6.04194
91,1.95000,16.000,6.04355
92,1.95645,16.000,6.03387
93,1.94355,16.000,6.04194
93,1.94516,16.000,6.04516
94,1.95323,16.000,6.03710
