timestamp,tds_v,tempC,ph_v
20,1.48548,16.000,6.04032
20,1.48871,16.000,6.03548
21,1.48226,16.000,6.03548
22,1.48387,16.000,6.03387
22,1.48065,16.000,6.05323
23,1.47581,16.000,6.03548
23,1.48387,16.000,6.03548
24,1.47581,16.000,6.03548
25,1.48548,16.000,6.04032
25,1.49032,16.000,6.04032
26,1.48387,16.000,6.03548
26,1.47903,16.000,6.03710
27,1.48871,16.000,6.04194
28,1.49032,16.000,6.03548
28,1.48226,16.000,6.03548
29,1.48226,16.000,6.03871
29,1.48548,16.000,6.04194
30,1.48226,16.000,6.04516
31,1.48387,16.000,6.04355
31,1.48548,16.000,6.04355
32,1.48548,16.000,6.04194
32,1.47903,16.000,6.04355
33,1.48226,16.000,6.03548
33,1.48871,16.000,6.04032
33,1.48387,16.000,6.03710
34,1.48387,16.000,6.03548
35,1.48226,16.000,6.04355
35,1.48226,16.000,6.03548
36,1.49194,16.000,6.04194
36,1.48387,16.000,6.03548
37,1.48226,16.000,6.03871
38,1.49355,16.000,6.03710
38,1.48871,16.000,6.03548
39,1.49194,16.000,6.03710
39,1.49194,16.000,6.03871
40,1.49032,16.000,6.03871
41,1.48548,16.000,6.04677
41,1.48548,16.000,6.04355
42,1.48548,16.000,6.03548
42,1.48710,16.000,6.03871
43,1.45968,16.000,6.03548
44,1.48548,16.000,6.03065
44,1.48226,16.000,6.04677
45,1.47903,16.000,6.03871
45,1.51129,16.000,6.04194
46,1.48548,16.000,6.03548
47,1.48548,16.000,6.02903
47,1.47742,16.000,6.03548
48,1.47903,16.000,6.03710
48,1.47903,16.000,6.03065
49,1.48387,16.000,6.03871
50,1.49032,16.000,6.03387
50,1.46452,16.000,6.03548
51,1.48226,16.000,6.03387
51,1.48548,16.000,6.03548
52,1.48065,16.000,6.03871
53,1.48548,16.000,6.03871
53,1.48226,16.000,6.04194
54,1.48548,16.000,6.04194
55,1.48065,16.000,6.03710
55,1.48226,16.000,6.04032
56,1.48065,16.000,6.03710
56,1.48065,16.000,6.03710
57,1.48387,16.000,6.03065
58,1.48226,16.000,6.03710
58,1.48387,16.000,6.03710
59,1.47742,16.000,6.03871
59,1.48710,16.000,6.03710
60,1.48387,16.000,6.03710
61,1.48226,16.000,6.04194
61,1.47903,16.000,6.03871
62,1.48710,16.000,6.03710
62,1.48065,16.000,6.03710
63,1.48548,16.000,6.03710
64,1.48387,16.000,6.04355
64,1.48871,16.000,6.03548
65,1.48710,16.000,6.03387
65,1.46774,16.000,6.03871
66,1.48871,16.000,6.03871
67,1.48710,16.000,6.03548
67,1.47903,16.000,6.04194
68,1.47581,16.000,6.03871
68,1.48387,16.000,6.03065
69,1.49032,16.000,6.03710
70,1.48226,16.000,6.03387
70,1.48065,16.000,6.03710
71,1.48871,16.000,6.03548
71,1.48226,16.000,6.03387
72,1.48226,16.000,6.03226
73,1.47903,16.000,6.03871
73,1.48226,16.000,6.03387
74,1.48226,16.000,6.03548
74,1.48065,16.000,6.03710
74,1.48387,16.000,6.03871
75,1.47742,16.000,6.03387
75,1.48548,16.000,6.04032
76,1.47742,16.000,6.03065
76,1.48226,16.000,6.03548
77,1.48871,16.000,6.04194
78,1.48065,16.000,6.03387
78,1.48548,16.000,6.03548
79,1.48065,16.000,6.04032
79,1.48226,16.000,6.04516
80,1.48226,16.000,6.03548
81,1.48548,16.000,6.03710
81,1.48387,16.000,6.03871
82,1.48226,16.000,6.03548
82,1.47903,16.000,6.02742
83,1.47903,16.000,6.04032
84,1.48871,16.000,6.04032
84,1.48387,16.000,6.04032
85,1.48387,16.000,6.03548
85,1.48387,16.000,6.03871
86,1.49032,16.000,6.03871
86,1.48548,16.000,6.03710
87,1.48548,16.000,6.02581
88,1.48065,16.000,6.04194
