timestamp,tds_v,tempC,ph_v
20,1.46452,16.000,6.03548
20,1.46129,16.000,6.04355
21,1.47097,16.000,6.04194
21,1.45968,16.000,6.03548
22,1.46129,16.000,6.04194
23,1.47581,16.000,6.03871
23,1.46774,16.000,6.03387
24,1.46935,16.000,6.04355
24,1.46613,16.000,6.03387
25,1.45968,16.000,6.03548
26,1.46613,16.000,6.03710
26,1.46935,16.000,6.03387
27,1.46290,16.000,6.04516
27,1.46290,16.000,6.03871
28,1.46129,16.000,6.04032
29,1.46935,16.000,6.03226
29,1.46290,16.000,6.03226
30,1.46935,16.000,6.04194
30,1.47097,16.000,6.03548
31,1.44355,16.000,6.04677
32,1.47419,16.000,6.04355
32,1.48387,16.000,6.03548
32,1.47097,16.000,6.03548
33,1.47258,16.000,6.03387
33,1.46290,16.000,6.05000
34,1.46613,16.000,6.03871
34,1.47097,16.000,6.04355
35,1.47097,16.000,6.03710
36,1.47097,16.000,6.03065
36,1.46935,16.000,6.04194
37,1.46613,16.000,6.03710
37,1.47419,16.000,6.03710
38,1.46290,16.000,6.04032
39,1.47097,16.000,6.04355
39,1.46774,16.000,6.04194
40,1.46129,16.000,6.04194
40,1.47258,16.000,6.04194
41,1.45968,16.000,6.03548
42,1.46452,16.000,6.03226
42,1.46774,16.000,6.04194
43,1.45968,16.000,6.03226
43,1.46935,16.000,6.04032
44,1.46613,16.000,6.03710
45,1.47258,16.000,6.04516
45,1.46613,16.000,6.04355
46,1.46290,16.000,6.03710
46,1.46452,16.000,6.04032
47,1.46290,16.000,6.03710
48,1.46129,16.000,6.04355
48,1.45968,16.000,6.04677
49,1.46774,16.000,6.03710
49,1.46613,16.000,6.03710
50,1.46452,16.000,6.04355
51,1.47258,16.000,6.03710
51,1.45645,16.000,6.04032
52,1.45645,16.000,6.04032
52,1.46129,16.000,6.04355
53,1.46452,16.000,6.03871
54,1.46129,16.000,6.03548
54,1.46290,16.000,6.04677
55,1.46935,16.000,6.03387
56,1.46452,16.000,6.03226
56,1.46129,16.000,6.03710
57,1.46452,16.000,6.03710
57,1.45968,16.000,6.04194
58,1.45645,16.000,6.04677
59,1.46613,16.000,6.04194
59,1.47258,16.000,6.04194
60,1.46452,16.000,6.03871
60,1.46774,16.000,6.04032
61,1.46290,16.000,6.04516
62,1.46774,16.000,6.04194
62,1.48387,16.000,6.03871
63,1.46935,16.000,6.03226
63,1.47258,16.000,6.04032
64,1.46774,16.000,6.03710
65,1.46290,16.000,6.04355
65,1.46452,16.000,6.03871
66,1.46935,16.000,6.04194
66,1.46774,16.000,6.04355
67,1.42742,16.000,6.04355
68,1.46290,16.000,6.04032
68,1.46129,16.000,6.04032
69,1.46452,16.000,6.04516
69,1.46290,16.000,6.04032
70,1.45968,16.000,6.03065
71,1.46613,16.000,6.04516
71,1.46129,16.000,6.04194
72,1.46774,16.000,6.04516
72,1.46129,16.000,6.04355
73,1.46290,16.000,6.04194
73,1.46935,16.000,6.04516
73,1.47258,16.000,6.04194
74,1.47097,16.000,6.04677
75,1.46774,16.000,6.04194
75,1.47258,16.000,6.03548
76,1.45806,16.000,6.04194
76,1.46935,16.000,6.03548
77,1.46935,16.000,6.03065
78,1.46613,16.000,6.03710
78,1.47258,16.000,6.04032
79,1.47097,16.000,6.04032
79,1.46774,16.000,6.03387
80,1.46774,16.000,6.03065
81,1.47258,16.000,6.03387
81,1.46774,16.000,6.03710
82,1.46613,16.000,6.03226
83,1.46774,16.000,6.03710
83,1.45645,16.000,6.03548
84,1.46290,16.000,6.04032
84,1.46935,16.000,6.03548
85,1.47581,16.000,6.03871
85,1.46290,16.000,6.04516
86,1.46935,16.000,6.03710
87,1.46452,16.000,6.04032
87,1.46613,16.000,6.03226
88,1.45484,16.000,6.03548
88,1.46290,16.000,6.04194
89,1.46129,16.000,6.04194
90,1.47097,16.000,6.04032
90,1.46613,16.000,6.03710
91,1.46129,16.000,6.03548
91,1.45806,16.000,6.04355
92,1.47097,16.000,6.03548
93,1.46129,16.000,6.03710
93,1.46774,16.000,6.04194
94,1.47419,16.000,6.03226
