timestamp,tds_v,tempC,ph_v
19,1.47742,16.000,6.03548
20,1.48387,16.000,6.04194
20,1.48710,16.000,6.03226
21,1.49032,16.000,6.03065
22,1.49677,16.000,6.04194
22,1.49516,16.000,6.02903
23,1.49194,16.000,6.03065
23,1.48871,16.000,6.03548
24,1.50161,16.000,6.03871
25,1.48871,16.000,6.04355
25,1.49355,16.000,6.03226
26,1.49032,16.000,6.03871
26,1.49032,16.000,6.03387
27,1.49355,16.000,6.03065
28,1.49194,16.000,6.03548
28,1.49194,16.000,6.02097
29,1.49194,16.000,6.03387
29,1.50968,16.000,6.03710
30,1.49355,16.000,6.03387
31,1.48710,16.000,6.03710
31,1.49355,16.000,6.03065
32,1.48871,16.000,6.03226
33,1.49194,16.000,6.03387
33,1.49194,16.000,6.03065
34,1.50000,16.000,6.03548
34,1.49677,16.000,6.03226
35,1.49194,16.000,6.02903
36,1.48871,16.000,6.03548
36,1.48871,16.000,6.03387
37,1.48871,16.000,6.04032
37,1.49032,16.000,6.03548
38,1.50000,16.000,6.03871
39,1.48226,16.000,6.03387
39,1.48871,16.000,6.03548
40,1.48871,16.000,6.03871
40,1.49516,16.000,6.03548
41,1.48387,16.000,6.03871
42,1.49516,16.000,6.03065
42,1.49677,16.000,6.03548
43,1.48387,16.000,6.04032
43,1.49355,16.000,6.03871
44,1.49032,16.000,6.03226
45,1.49194,16.000,6.03226
45,1.49032,16.000,6.03226
45,1.50806,16.000,6.04355
45,1.49516,16.000,6.03065
46,1.48871,16.000,6.03226
47,1.48871,16.000,6.03548
47,1.49516,16.000,6.03710
48,1.49516,16.000,6.03871
48,1.49194,16.000,6.03710
49,1.49194,16.000,6.02742
50,1.49032,16.000,6.03387
50,1.49355,16.000,6.03387
51,1.48710,16.000,6.03548
51,1.48387,16.000,6.03226
52,1.48710,16.000,6.03871
53,1.48710,16.000,6.03387
53,1.49194,16.000,6.04194
54,1.48226,16.000,6.03871
54,1.49516,16.000,6.03548
55,1.48710,16.000,6.03226
56,1.48710,16.000,6.03710
56,1.49839,16.000,6.03226
57,1.49677,16.000,6.03710
58,1.49194,16.000,6.03226
58,1.49194,16.000,6.03871
59,1.49032,16.000,6.03226
59,1.46935,16.000,6.02903
60,1.48548,16.000,6.03710
61,1.48548,16.000,6.03710
61,1.49032,16.000,6.03387
62,1.49839,16.000,6.03548
62,1.49194,16.000,6.03387
63,1.49032,16.000,6.04194
64,1.50323,16.000,6.03387
64,1.49194,16.000,6.03871
65,1.49355,16.000,6.03871
65,1.49355,16.000,6.04032
66,1.49032,16.000,6.03387
67,1.48871,16.000,6.03548
67,1.48871,16.000,6.03065
68,1.49516,16.000,6.03871
68,1.49194,16.000,6.02742
69,1.49194,16.000,6.03871
70,1.49032,16.000,6.02419
70,1.49032,16.000,6.03871
71,1.49194,16.000,6.03710
71,1.49355,16.000,6.03226
72,1.49355,16.000,6.03548
73,1.49194,16.000,6.03710
73,1.49355,16.000,6.03548
74,1.49032,16.000,6.02581
74,1.49194,16.000,6.03065
75,1.49355,16.000,6.04032
76,1.49194,16.000,6.04032
76,1.48710,16.000,6.03387
77,1.49032,16.000,6.03226
77,1.49032,16.000,6.03548
78,1.48548,16.000,6.03548
79,1.49355,16.000,6.03548
79,1.49839,16.000,6.04516
80,1.48871,16.000,6.02742
80,1.49355,16.000,6.03226
81,1.49839,16.000,6.03548
82,1.49839,16.000,6.03871
82,1.49516,16.000,6.03710
83,1.49194,16.000,6.03548
84,1.49516,16.000,6.03065
84,1.49516,16.000,6.04032
85,1.48387,16.000,6.03387
85,1.48871,16.000,6.03226
86,1.49032,16.000,6.03065
86,1.48548,16.000,6.03065
86,1.50484,16.000,6.03871
87,1.46613,16.000,6.03387
88,1.49032,16.000,6.03387
88,1.49516,16.000,6.02903
89,1.49032,16.000,6.03548
89,1.49032,16.000,6.03710
90,1.47419,16.000,6.03710
91,1.49516,16.000,6.03548
91,1.49516,16.000,6.02581
92,1.49355,16.000,6.03871
92,1.48871,16.000,6.03387
93,1.48871,16.000,6.03871
94,1.49839,16.000,6.03710
