timestamp,tds_v,tempC,ph_v
20,1.42097,nan,6.02419
20,1.42097,nan,6.03387
21,1.41935,nan,6.03387
21,1.42258,nan,6.03710
22,1.42097,nan,6.04032
22,1.41613,nan,6.03065
23,1.42419,nan,6.03387
23,1.41613,nan,6.03387
24,1.41774,nan,6.03387
24,1.42258,nan,6.03226
25,1.42419,nan,6.03387
26,1.41774,nan,6.04032
26,1.41935,nan,6.03548
26,1.43387,nan,6.03710
27,1.41613,nan,6.02742
27,1.42258,nan,6.03548
27,1.42097,nan,6.03710
28,1.42097,nan,6.03065
28,1.42742,nan,6.04032
29,1.43871,nan,6.04032
29,1.42742,nan,6.03710
30,1.42258,nan,6.03871
30,1.41774,nan,6.03871
31,1.42258,nan,6.03871
31,1.41613,nan,6.02581
32,1.40968,nan,6.04032
32,1.42419,nan,6.03710
33,1.42419,nan,6.03548
33,1.41290,nan,6.03387
34,1.41774,nan,6.03548
34,1.42097,nan,6.03710
35,1.41774,nan,6.03710
35,1.42742,nan,6.03065
36,1.42581,nan,6.03065
36,1.42258,nan,6.03065
37,1.42742,nan,6.03548
37,1.41613,nan,6.03548
38,1.42097,nan,6.03387
39,1.42097,nan,6.03710
39,1.42581,nan,6.03710
39,1.41452,nan,6.03710
40,1.40806,nan,6.03065
41,1.42097,nan,6.03387
41,1.42097,nan,6.03387
42,1.42581,nan,6.02903
42,1.42097,nan,6.03226
43,1.41129,nan,6.03871
43,1.41129,nan,6.03548
44,1.42258,nan,6.03226
44,1.42419,nan,6.03548
45,1.42419,nan,6.03871
45,1.42258,nan,6.04194
46,1.42258,nan,6.03548
46,1.42581,nan,6.04032
47,1.42419,nan,6.03710
47,1.42097,nan,6.03387
48,1.41935,nan,6.03548
48,1.42097,nan,6.03226
49,1.41774,nan,6.02581
49,1.41774,nan,6.03548
50,1.43710,nan,6.03710
50,1.42258,nan,6.03710
51,1.42581,nan,6.03710
51,1.41774,nan,6.03226
52,1.42581,nan,6.04355
52,1.41774,nan,6.03710
53,1.41774,nan,6.03710
53,1.41774,nan,6.03226
54,1.42097,nan,6.04032
55,1.42097,nan,6.03387
55,1.43226,nan,6.03387
56,1.41613,nan,6.02742
56,1.42581,nan,6.04032
57,1.42581,nan,6.03871
57,1.42258,nan,6.04032
58,1.42419,nan,6.03548
58,1.42581,nan,6.03548
59,1.41935,nan,6.03871
59,1.41129,nan,6.03226
60,1.42258,nan,6.04032
60,1.42258,nan,6.03710
61,1.43065,nan,6.03871
61,1.42258,nan,6.03871
62,1.42097,nan,6.04032
62,1.42097,nan,6.03548
63,1.42419,nan,6.03226
63,1.41613,nan,6.03710
64,1.42097,nan,6.03387
64,1.42903,nan,6.03226
65,1.42742,nan,6.03871
65,1.41452,nan,6.03387
66,1.42419,nan,6.03548
66,1.42742,nan,6.03710
67,1.43065,nan,6.03871
67,1.43065,nan,6.03871
68,1.41613,nan,6.04194
69,1.41452,nan,6.03710
69,1.42258,nan,6.03871
69,1.41452,nan,6.04355
69,1.42258,nan,6.03871
70,1.41774,nan,6.02903
70,1.42581,nan,6.03065
71,1.41774,nan,6.03065
71,1.42742,nan,6.03387
72,1.42097,nan,6.03871
72,1.40323,nan,6.03226
73,1.41935,nan,6.03226
73,1.42419,nan,6.03710
74,1.41935,nan,6.03226
74,1.42581,nan,6.02903
75,1.42419,nan,6.04032
75,1.41935,nan,6.03548
76,1.42097,nan,6.03548
76,1.42258,nan,6.03548
77,1.40806,nan,6.03710
77,1.41774,nan,6.03065
78,1.41774,nan,6.03710
78,1.42903,nan,6.03387
79,1.42742,nan,6.03871
79,1.42097,nan,6.04032
80,1.42097,nan,6.03710
80,1.42581,nan,6.03387
81,1.41613,nan,6.03871
81,1.42097,nan,6.02903
82,1.41613,nan,6.03548
82,1.42097,nan,6.03710
83,1.42581,nan,6.03387
84,1.41774,nan,6.03226
84,1.41935,nan,6.04032
85,1.42097,nan,6.03226
85,1.42097,nan,6.02903
86,1.42742,nan,6.04032
86,1.41613,nan,6.04194
87,1.42581,nan,6.04194
87,1.42097,nan,6.03871
88,1.41452,nan,6.03226
88,1.42258,nan,6.03226
89,1.41774,nan,6.03871
89,1.41935,nan,6.03226
90,1.41935,nan,6.04032
90,1.41452,nan,6.03387
91,1.42258,nan,6.04032
91,1.42581,nan,6.03871
92,1.42097,nan,6.02742
92,1.42097,nan,6.03065
93,1.42581,nan,6.03065
93,1.41452,nan,6.04032
94,1.41774,25.000,6.03548
