timestamp,tds_v,tempC,ph_v
20,1.95161,16.000,6.03548
20,1.94516,16.000,6.04032
20,1.95645,16.000,6.04839
21,1.94839,16.000,6.04839
21,1.94516,16.000,6.03871
22,1.94516,16.000,6.03387
22,1.94032,16.000,6.04032
23,1.94194,16.000,6.03548
24,1.94839,16.000,6.03710
24,1.96290,16.000,6.04355
25,1.95161,16.000,6.03548
26,1.94355,16.000,6.04355
26,1.95645,16.000,6.04032
27,1.95000,16.000,6.03710
27,1.94194,16.000,6.04355
28,1.95323,16.000,6.03871
29,1.95161,16.000,6.03871
29,1.94032,16.000,6.03871
30,1.94516,16.000,6.04194
30,1.94355,16.000,6.03871
31,1.94677,16.000,6.04194
32,1.95161,16.000,6.04032
32,1.94516,16.000,6.03710
33,1.94516,16.000,6.03710
33,1.94032,16.000,6.04355
34,1.95161,16.000,6.03548
35,1.95000,16.000,6.04032
35,1.94355,16.000,6.03871
36,1.94677,16.000,6.04516
36,1.94355,16.000,6.04839
37,1.94677,16.000,6.04032
38,1.94516,16.000,6.03548
38,1.94516,16.000,6.04355
39,1.94516,16.000,6.03871
39,1.95323,16.000,6.03710
40,1.94839,16.000,6.04194
41,1.95000,16.000,6.04032
41,1.95000,16.000,6.03710
42,1.94194,16.000,6.03710
42,1.93548,16.000,6.04677
43,1.94516,16.000,6.03065
44,1.95000,16.000,6.04355
44,1.95968,16.000,6.03548
45,1.96129,16.000,6.03871
46,1.94194,16.000,6.05000
46,1.93710,16.000,6.03871
47,1.94677,16.000,6.03065
47,1.93871,16.000,6.03871
48,1.95000,16.000,6.04355
49,1.95323,16.000,6.03871
49,1.94516,16.000,6.03548
50,1.94194,16.000,6.04516
50,1.94839,16.000,6.03387
51,1.94677,16.000,6.04032
52,1.94839,16.000,6.03548
52,1.90161,16.000,6.04839
53,1.94677,16.000,6.03710
54,1.94355,16.000,6.04194
54,1.95000,16.000,6.03226
55,1.93871,16.000,6.04194
55,1.93226,16.000,6.04355
56,1.95000,16.000,6.04032
57,1.94839,16.000,6.04194
57,1.94516,16.000,6.04032
58,1.94677,16.000,6.05000
58,1.95806,16.000,6.04032
59,1.94839,16.000,6.03871
60,1.98065,16.000,6.04677
60,1.94194,16.000,6.04355
61,1.94677,16.000,6.04355
61,1.93548,16.000,6.03871
62,1.94516,16.000,6.04032
62,1.94516,16.000,6.04194
62,1.95161,16.000,6.03871
63,1.94516,16.000,6.03548
63,1.95000,16.000,6.03710
64,1.94032,16.000,6.03548
65,1.94839,16.000,6.04516
65,1.94194,16.000,6.04194
66,1.95645,16.000,6.04194
66,1.94032,16.000,6.03710
67,1.93065,16.000,6.03226
68,1.94194,16.000,6.03387
68,1.94839,16.000,6.02419
69,1.94516,16.000,6.03871
69,1.95161,16.000,6.04516
70,1.94677,16.000,6.03548
71,1.94516,16.000,6.04032
71,1.94839,16.000,6.03871
72,1.95484,16.000,6.04677
72,1.96129,16.000,6.03710
73,1.94677,16.000,6.03548
74,1.94839,16.000,6.03548
74,1.94516,16.000,6.03871
75,1.93710,16.000,6.04032
75,1.94839,16.000,6.03710
76,1.94355,16.000,6.04032
77,1.96452,16.000,6.03548
77,1.94355,16.000,6.03871
78,1.92419,16.000,6.03871
78,1.94355,16.000,6.04355
79,1.94677,16.000,6.03548
80,1.94677,16.000,6.04032
80,1.93548,16.000,6.04355
81,1.94355,16.000,6.03710
82,1.93548,16.000,6.03548
82,1.94839,16.000,6.03871
83,1.95000,16.000,6.04194
83,1.95161,16.000,6.03065
84,1.95161,16.000,6.03387
85,1.94516,16.000,6.03387
85,1.94355,16.000,6.03548
86,1.95161,16.000,6.03548
86,1.94839,16.000,6.03548
87,1.94355,16.000,6.03387
88,1.94677,16.000,6.03387
88,1.95323,16.000,6.03710
89,1.94677,16.000,6.04516
89,1.93710,16.000,6.03226
90,1.99677,16.000,6.03871
91,1.94355,16.000,6.04355
91,1.95161,16.000,6.03710
92,1.94516,16.000,6.04032
92,1.95000,16.000,6.03710
93,1.94677,16.000,6.03710
94,1.94677,16.000,6.03710
