timestamp,tds_v,tempC,ph_v
20,1.45645,16.000,6.03548
21,1.45161,16.000,6.03871
21,1.45806,16.000,6.03226
22,1.46452,16.000,6.03871
22,1.46129,16.000,6.03710
23,1.46129,16.000,6.04355
24,1.45806,16.000,6.03710
24,1.45161,16.000,6.03710
24,1.45484,16.000,6.03871
24,1.46129,16.000,6.04839
25,1.45323,16.000,6.03710
26,1.45806,16.000,6.03387
26,1.45806,16.000,6.03871
27,1.46452,16.000,6.04355
27,1.45645,16.000,6.03548
28,1.45645,16.000,6.03871
29,1.45968,16.000,6.03710
30,1.45968,16.000,6.03548
30,1.45323,16.000,6.03871
31,1.45645,16.000,6.04355
31,1.46613,16.000,6.03871
32,1.45484,16.000,6.04032
33,1.46452,16.000,6.04032
33,1.46129,16.000,6.04032
34,1.46129,16.000,6.03871
34,1.46129,16.000,6.03226
35,1.45968,16.000,6.04032
35,1.45806,16.000,6.04194
36,1.46290,16.000,6.03387
37,1.46774,16.000,6.03871
37,1.45645,16.000,6.03871
38,1.46613,16.000,6.04516
38,1.46290,16.000,6.04194
39,1.50323,16.000,6.03871
40,1.46290,16.000,6.03710
40,1.45645,16.000,6.03710
41,1.46129,16.000,6.04194
42,1.44194,16.000,6.04194
42,1.46129,16.000,6.03871
43,1.46613,16.000,6.04032
43,1.45806,16.000,6.03871
44,1.50806,16.000,6.03548
45,1.45484,16.000,6.04194
45,1.46613,16.000,6.03387
46,1.46290,16.000,6.03710
46,1.46452,16.000,6.03226
47,1.45323,16.000,6.04355
48,1.46129,16.000,6.03710
48,1.45323,16.000,6.02903
49,1.45645,16.000,6.03226
49,1.45968,16.000,6.03226
50,1.45323,16.000,6.02903
51,1.45968,16.000,6.04677
51,1.45806,16.000,6.03548
52,1.45806,16.000,6.04032
53,1.47742,16.000,6.03548
53,1.45806,16.000,6.03548
54,1.46290,16.000,6.04032
54,1.45323,16.000,6.03710
55,1.45484,16.000,6.04032
56,1.46613,16.000,6.03065
56,1.45645,16.000,6.03871
57,1.46452,16.000,6.03548
57,1.45968,16.000,6.03710
58,1.45806,16.000,6.04194
58,1.46129,16.000,6.03871
59,1.45968,16.000,6.04194
59,1.45806,16.000,6.03871
60,1.45806,16.000,6.03710
61,1.45645,16.000,6.03387
61,1.45806,16.000,6.03387
62,1.45806,16.000,6.02581
