timestamp,tds_v,tempC,ph_v
19,1.99032,16.000,6.04032
20,1.98387,16.000,6.03710
20,1.99355,16.000,6.03548
21,1.98871,16.000,6.03710
21,1.99516,16.000,6.04032
22,1.98710,16.000,6.04032
23,1.99516,16.000,6.03871
23,1.99355,16.000,6.04516
24,1.98871,16.000,6.03710
24,1.98548,16.000,6.04032
25,1.98710,16.000,6.04355
26,1.99194,16.000,6.03871
26,1.99194,16.000,6.04677
27,1.99032,16.000,6.04194
27,1.99355,16.000,6.04032
28,1.97581,16.000,6.04355
29,1.98548,16.000,6.04194
29,1.99194,16.000,6.03387
30,1.98871,16.000,6.04355
30,2.00000,16.000,6.04194
31,1.98710,16.000,6.03710
32,1.98710,16.000,6.04516
32,1.99194,16.000,6.03548
33,1.98710,16.000,6.03710
33,1.98871,16.000,6.04677
34,1.98871,16.000,6.04032
35,1.98871,16.000,6.03548
35,2.00484,16.000,6.03387
36,1.99355,16.000,6.04194
36,1.98710,16.000,6.04516
37,1.98710,16.000,6.03871
38,1.99839,16.000,6.03387
38,1.99194,16.000,6.03871
39,1.98871,16.000,6.03548
39,1.98226,16.000,6.04032
40,1.99032,16.000,6.03710
41,1.99032,16.000,6.03710
41,1.98871,16.000,6.03710
42,1.98871,16.000,6.03710
42,1.99516,16.000,6.04355
43,1.98387,16.000,6.03710
44,1.98548,16.000,6.03710
44,1.98710,16.000,6.03871
45,1.99194,16.000,6.03710
46,1.99032,16.000,6.04355
46,1.99032,16.000,6.04032
47,1.99677,16.000,6.04516
47,1.99032,16.000,6.03710
48,1.98387,16.000,6.03871
49,1.98387,16.000,6.04355
49,1.99032,16.000,6.03871
50,1.96452,16.000,6.03387
50,2.01290,16.000,6.03226
51,1.98710,16.000,6.03871
52,1.99516,16.000,6.04032
52,1.98871,16.000,6.04516
52,1.99194,16.000,6.03871
52,1.99839,16.000,6.03710
53,1.98871,16.000,6.04032
54,1.99516,16.000,6.03710
54,1.98548,16.000,6.04194
55,1.99355,16.000,6.03548
55,1.97742,16.000,6.03710
56,1.98871,16.000,6.03548
57,1.98871,16.000,6.04516
57,1.99194,16.000,6.04032
58,2.00000,16.000,6.03710
58,2.00161,16.000,6.03548
59,1.98710,16.000,6.04032
60,1.98548,16.000,6.04194
60,1.99355,16.000,6.03871
61,1.99032,16.000,6.04032
62,1.98710,16.000,6.04355
62,1.95968,16.000,6.03548
63,1.98548,16.000,6.04194
63,1.98387,16.000,6.03387
64,1.99516,16.000,6.03710
65,1.98710,16.000,6.03065
65,1.99516,16.000,6.03226
66,1.98871,16.000,6.04032
66,1.99516,16.000,6.04032
67,1.98387,16.000,6.04677
68,1.98871,16.000,6.04194
68,1.99677,16.000,6.03871
69,1.99355,16.000,6.04032
69,1.99194,16.000,6.04032
70,2.00161,16.000,6.03387
71,1.99355,16.000,6.04032
71,1.99355,16.000,6.03871
72,1.99839,16.000,6.03871
72,1.98710,16.000,6.04032
73,1.98548,16.000,6.03387
74,1.98871,16.000,6.03710
74,1.98871,16.000,6.04194
75,2.00161,16.000,6.04355
75,1.99677,16.000,6.04355
76,1.98387,16.000,6.03065
77,1.99032,16.000,6.04032
77,1.99032,16.000,6.03710
78,1.99032,16.000,6.04032
79,1.99839,16.000,6.04032
79,1.99677,16.000,6.03548
80,1.98871,16.000,6.03871
80,1.99516,16.000,6.03710
81,1.98548,16.000,6.03548
82,1.99032,16.000,6.04032
82,1.98387,16.000,6.04194
83,1.99032,16.000,6.03871
83,2.00645,16.000,6.04355
84,2.00161,16.000,6.04194
85,1.99032,16.000,6.04032
85,1.98871,16.000,6.04194
86,1.99032,16.000,6.04032
86,1.98871,16.000,6.04194
87,1.99194,16.000,6.04194
88,1.99032,16.000,6.03871
88,1.99677,16.000,6.03548
89,1.99032,16.000,6.04355
89,1.99355,16.000,6.03548
90,1.98710,16.000,6.03710
91,1.99032,16.000,6.04032
91,1.98871,16.000,6.03387
92,1.98710,16.000,6.04194
92,1.98548,16.000,6.03710
93,1.99032,16.000,6.03710
94,1.98710,16.000,6.04032
