timestamp,tds_v,tempC,ph_v
20,1.97419,16.000,6.03710
21,1.97419,16.000,6.03710
21,1.96290,16.000,6.03065
22,1.97097,16.000,6.04032
22,1.96613,16.000,6.04032
23,1.96290,16.000,6.03548
24,1.96613,16.000,6.02903
24,1.96935,16.000,6.03548
25,1.96935,16.000,6.03548
26,1.96613,16.000,6.04355
26,1.97097,16.000,6.04032
27,1.97258,16.000,6.04677
27,1.96290,16.000,6.03710
27,1.96452,16.000,6.03710
28,1.97097,16.000,6.04032
28,1.97258,16.000,6.04194
29,1.97258,16.000,6.04355
29,1.95968,16.000,6.04194
30,1.97097,16.000,6.03710
31,1.97581,16.000,6.03548
31,1.96774,16.000,6.03065
32,1.96935,16.000,6.04032
32,1.96935,16.000,6.05000
33,1.96935,16.000,6.03871
34,1.96290,16.000,6.03710
34,1.96935,16.000,6.03387
35,1.96452,16.000,6.04355
35,1.96613,16.000,6.03387
36,1.95968,16.000,6.03710
37,1.96935,16.000,6.04516
37,1.95645,16.000,6.02903
38,1.96613,16.000,6.03710
39,1.95968,16.000,6.03710
39,1.96129,16.000,6.04032
40,1.96613,16.000,6.04194
40,1.96452,16.000,6.03548
41,1.96290,16.000,6.03226
42,1.97097,16.000,6.03710
42,1.96774,16.000,6.03387
43,1.97097,16.000,6.03548
43,1.96613,16.000,6.03710
44,1.96290,16.000,6.04032
44,1.97419,16.000,6.03548
45,1.97258,16.000,6.03871
46,1.96774,16.000,6.03548
46,1.96613,16.000,6.04355
47,1.95484,16.000,6.03871
47,1.96452,16.000,6.04516
48,1.96452,16.000,6.03710
49,1.96935,16.000,6.03226
49,1.96935,16.000,6.04194
50,1.96613,16.000,6.03710
51,1.96452,16.000,6.04032
51,1.96452,16.000,6.03710
52,1.97742,16.000,6.03710
52,1.96290,16.000,6.03710
53,1.96290,16.000,6.02903
54,1.96452,16.000,6.04355
54,1.98387,16.000,6.03871
55,1.96290,16.000,6.04194
55,1.97097,16.000,6.03387
56,1.96774,16.000,6.04032
57,1.95645,16.000,6.04839
57,1.96129,16.000,6.04032
58,1.96935,16.000,6.04194
58,1.96774,16.000,6.04032
59,1.96774,16.000,6.03871
60,1.96774,16.000,6.04839
60,1.97097,16.000,6.04516
61,1.96774,16.000,6.04032
62,1.97097,16.000,6.04355
62,1.96452,16.000,6.03871
63,1.96290,16.000,6.04516
63,1.94839,16.000,6.03710
64,1.99194,16.000,6.04194
65,1.96935,16.000,6.03710
65,1.96613,16.000,6.04194
66,1.97097,16.000,6.03710
66,1.96774,16.000,6.03871
67,1.96129,16.000,6.03710
68,1.96613,16.000,6.04194
68,1.97258,16.000,6.04839
69,1.97903,16.000,6.04355
69,1.97258,16.000,6.04516
69,1.96774,16.000,6.05000
70,1.95968,16.000,6.03710
70,1.96613,16.000,6.03387
71,1.96613,16.000,6.04194
71,1.97097,16.000,6.04677
72,1.97258,16.000,6.03710
73,1.97419,16.000,6.03871
73,1.95806,16.000,6.04032
74,1.96613,16.000,6.04355
74,1.96935,16.000,6.03710
75,1.96290,16.000,6.03387
76,1.97258,16.000,6.04194
76,1.97903,16.000,6.04032
77,1.96129,16.000,6.04032
77,1.96774,16.000,6.04355
78,1.96613,16.000,6.03710
79,1.96129,16.000,6.03710
79,1.96613,16.000,6.03871
80,1.96290,16.000,6.04355
80,1.97258,16.000,6.03871
81,1.96774,16.000,6.03710
82,1.96290,16.000,6.03548
82,1.96129,16.000,6.04032
83,1.97097,16.000,6.04677
84,1.96452,16.000,6.03871
84,1.97419,16.000,6.03387
85,1.96452,16.000,6.03710
85,1.96290,16.000,6.03548
86,1.97581,16.000,6.04355
87,1.96290,16.000,6.03387
87,1.95645,16.000,6.03871
88,1.95806,16.000,6.02903
88,1.95484,16.000,6.03226
89,1.96613,16.000,6.03871
90,1.96774,16.000,6.03710
90,1.96613,16.000,6.03548
91,1.96452,16.000,6.03226
91,1.95806,16.000,6.03710
92,1.96452,16.000,6.03871
93,1.96290,16.000,6.04032
93,1.96129,16.000,6.03548
94,1.96935,16.000,6.03871
