timestamp,tds_v,tempC,ph_v
20,1.49032,16.000,6.03548
20,1.49032,16.000,6.03710
21,1.49032,16.000,6.03387
22,1.48548,16.000,6.03710
22,1.49516,16.000,6.04032
23,1.48387,16.000,6.03548
24,1.49355,16.000,6.03548
24,1.50323,16.000,6.03226
25,1.48710,16.000,6.03226
25,1.49032,16.000,6.03710
26,1.48871,16.000,6.03871
27,1.46613,16.000,6.03871
27,1.48710,16.000,6.03226
28,1.49516,16.000,6.03226
28,1.49677,16.000,6.04032
29,1.49194,16.000,6.03710
30,1.48548,16.000,6.03387
30,1.48387,16.000,6.03548
31,1.48871,16.000,6.03548
31,1.48548,16.000,6.02903
32,1.49032,16.000,6.03871
33,1.49194,16.000,6.03387
33,1.48871,16.000,6.03387
34,1.50323,16.000,6.03871
34,1.48710,16.000,6.03871
35,1.49355,16.000,6.03548
36,1.49355,16.000,6.03710
36,1.48871,16.000,6.03871
37,1.49032,16.000,6.03710
37,1.48871,16.000,6.03548
38,1.49194,16.000,6.03226
39,1.49032,16.000,6.03548
39,1.49194,16.000,6.03548
40,1.49516,16.000,6.03065
40,1.49355,16.000,6.03871
40,1.49677,16.000,6.04032
41,1.48871,16.000,6.04032
41,1.49355,16.000,6.03065
42,1.49032,16.000,6.03387
42,1.49032,16.000,6.04355
43,1.49194,16.000,6.03065
44,1.49355,16.000,6.03871
44,1.49355,16.000,6.03387
45,1.49355,16.000,6.04032
45,1.50000,16.000,6.04355
46,1.49194,16.000,6.04355
47,1.47903,16.000,6.03387
47,1.49355,16.000,6.03548
48,1.49355,16.000,6.03226
48,1.48387,16.000,6.04032
49,1.49839,16.000,6.03871
50,1.49194,16.000,6.03710
50,1.50000,16.000,6.04032
51,1.50000,16.000,6.04194
51,1.48387,16.000,6.03710
52,1.49677,16.000,6.03871
53,1.48710,16.000,6.03871
54,1.48387,16.000,6.03871
54,1.49194,16.000,6.02581
55,1.49032,16.000,6.04355
55,1.48387,16.000,6.03710
56,1.49677,16.000,6.03226
57,1.49677,16.000,6.03065
57,1.49032,16.000,6.03226
58,1.48548,16.000,6.04032
58,1.48387,16.000,6.03387
59,1.48226,16.000,6.03710
60,1.49194,16.000,6.03710
60,1.49032,16.000,6.03710
61,1.47419,16.000,6.04516
61,1.48226,16.000,6.03387
62,1.49355,16.000,6.03710
63,1.48871,16.000,6.03548
63,1.48226,16.000,6.03548
64,1.49194,16.000,6.03387
64,1.49194,16.000,6.03548
65,1.49032,16.000,6.03548
66,1.51774,16.000,6.03710
66,1.48548,16.000,6.03548
67,1.49355,16.000,6.03548
68,1.49194,16.000,6.03226
68,1.49355,16.000,6.03387
69,1.49516,16.000,6.04677
69,1.48710,16.000,6.04194
70,1.49677,16.000,6.04516
71,1.49032,16.000,6.03065
71,1.49032,16.000,6.03387
72,1.49032,16.000,6.03226
72,1.48710,16.000,6.03710
73,1.48871,16.000,6.03548
74,1.49355,16.000,6.03548
74,1.49032,16.000,6.03710
75,1.49516,16.000,6.03548
76,1.49839,16.000,6.03871
76,1.48871,16.000,6.03387
77,1.49516,16.000,6.03710
77,1.48548,16.000,6.03226
78,1.49032,16.000,6.03710
79,1.48548,16.000,6.03065
79,1.48710,16.000,6.03710
80,1.48710,16.000,6.03710
80,1.49032,16.000,6.04032
81,1.48226,16.000,6.04032
82,1.49032,16.000,6.03548
82,1.48710,16.000,6.04032
82,1.49516,16.000,6.04355
82,1.49194,16.000,6.04032
83,1.48065,16.000,6.04839
84,1.49032,16.000,6.02903
84,1.49355,16.000,6.03548
85,1.49194,16.000,6.03710
85,1.50000,16.000,6.04194
86,1.48710,16.000,6.04194
87,1.48548,16.000,6.04032
87,1.49032,16.000,6.03548
88,1.48871,16.000,6.03387
88,1.48871,16.000,6.04032
89,1.48710,16.000,6.04194
90,1.48871,16.000,6.03710
90,1.49355,16.000,6.03387
91,1.48871,16.000,6.03710
91,1.49032,16.000,6.03387
92,1.49677,16.000,6.04677
93,1.48710,16.000,6.03710
93,1.48226,16.000,6.03871
94,1.49516,16.000,6.03548
