timestamp,tds_v,tempC,ph_v
20,1.95000,16.000,6.03548
20,1.95323,16.000,6.03548
21,1.95968,16.000,6.03387
22,1.95968,16.000,6.03548
22,1.95323,16.000,6.04194
23,1.95161,16.000,6.03871
23,1.95484,16.000,6.03065
24,1.94839,16.000,6.03065
25,1.95645,16.000,6.03226
25,1.94677,16.000,6.03226
26,1.95806,16.000,6.03387
26,1.95484,16.000,6.03871
27,1.95645,16.000,6.03226
28,1.95323,16.000,6.03710
28,1.95968,16.000,6.03548
28,1.95806,16.000,6.04516
28,1.95806,16.000,6.03548
29,1.95161,16.000,6.03548
30,1.95968,16.000,6.04032
30,1.95968,16.000,6.04516
31,1.95645,16.000,6.03710
31,1.95000,16.000,6.03871
32,1.94839,16.000,6.03548
33,1.95484,16.000,6.03226
33,1.95484,16.000,6.03065
34,1.95484,16.000,6.03387
34,1.95645,16.000,6.02903
35,1.95323,16.000,6.04194
36,1.95968,16.000,6.03871
36,1.95968,16.000,6.04194
37,1.97419,16.000,6.03871
37,1.95806,16.000,6.03710
38,1.95806,16.000,6.02903
39,1.95161,16.000,6.03548
39,1.95000,16.000,6.04032
40,1.95806,16.000,6.03548
40,1.96129,16.000,6.03548
41,1.95806,16.000,6.04032
42,1.95323,16.000,6.04516
42,1.95000,16.000,6.04355
43,1.95968,16.000,6.03871
43,1.95484,16.000,6.03871
44,1.95323,16.000,6.04355
45,1.96290,16.000,6.04516
45,1.95806,16.000,6.04839
46,1.95484,16.000,6.04032
47,1.95968,16.000,6.03548
47,1.96129,16.000,6.04516
48,1.96129,16.000,6.04194
48,1.95161,16.000,6.04032
49,1.95484,16.000,6.03226
50,1.95806,16.000,6.03226
50,1.95645,16.000,6.04194
51,1.95000,16.000,6.03710
51,1.95484,16.000,6.03871
52,1.95645,16.000,6.03871
53,1.95806,16.000,6.04032
53,1.95645,16.000,6.03387
54,1.95000,16.000,6.03710
54,1.94032,16.000,6.03387
55,1.96129,16.000,6.03548
56,1.96129,16.000,6.03548
56,1.95968,16.000,6.03871
57,1.94677,16.000,6.03710
57,1.95484,16.000,6.03387
58,1.94677,16.000,6.03710
59,1.95000,16.000,6.03387
59,1.95323,16.000,6.03387
60,1.95645,16.000,6.03226
60,1.95161,16.000,6.03871
61,1.96452,16.000,6.03710
62,1.95323,16.000,6.03710
62,1.95484,16.000,6.03226
63,1.95484,16.000,6.03710
64,1.94355,16.000,6.03548
64,1.95000,16.000,6.03065
65,1.95484,16.000,6.03710
65,1.95323,16.000,6.03871
66,1.95323,16.000,6.03710
67,1.95645,16.000,6.03387
67,1.95645,16.000,6.03226
68,1.94839,16.000,6.03387
68,1.95645,16.000,6.03387
69,1.95161,16.000,6.04516
70,1.95806,16.000,6.04355
70,1.95323,16.000,6.03387
70,1.96129,16.000,6.03710
70,1.94839,16.000,6.03871
71,1.95806,16.000,6.03548
72,1.96452,16.000,6.04355
72,1.95161,16.000,6.03387
73,1.95000,16.000,6.03710
73,1.95161,16.000,6.04032
74,1.95806,16.000,6.03548
75,1.95645,16.000,6.03710
75,1.97419,16.000,6.03548
76,1.96129,16.000,6.03548
77,1.96613,16.000,6.03710
77,1.96290,16.000,6.04194
78,1.95645,16.000,6.03871
78,1.94839,16.000,6.03387
79,1.95806,16.000,6.03065
80,1.95000,16.000,6.03548
80,1.95645,16.000,6.03710
81,1.95968,16.000,6.03871
81,1.96613,16.000,6.04355
82,1.96129,16.000,6.03871
83,1.95968,16.000,6.03548
83,1.96129,16.000,6.03548
84,1.95806,16.000,6.03387
84,1.95323,16.000,6.03871
85,1.95161,16.000,6.03871
85,1.95806,16.000,6.03548
86,1.95484,16.000,6.03871
87,1.95806,16.000,6.03548
87,1.94677,16.000,6.04194
88,1.95161,16.000,6.03871
89,1.94839,16.000,6.04355
89,1.95806,16.000,6.03871
90,1.95806,16.000,6.03710
90,1.95323,16.000,6.03710
91,1.95645,16.000,6.04032
92,1.95323,16.000,6.04194
92,1.95484,16.000,6.03871
93,1.95645,16.000,6.03710
93,1.98871,16.000,6.03065
94,1.95161,16.000,6.04355
