timestamp,tds_v,tempC,ph_v
19,1.48226,16.000,6.03710
19,1.48710,16.000,6.04355
20,1.49032,16.000,6.04194
21,1.48226,16.000,6.03710
21,1.48871,16.000,6.03871
22,1.49355,16.000,6.04516
22,1.47903,16.000,6.03871
23,1.48710,16.000,6.04355
24,1.48387,16.000,6.04194
24,1.49032,16.000,6.04355
25,1.48871,16.000,6.04194
25,1.48226,16.000,6.03548
26,1.48387,16.000,6.04355
27,1.49355,16.000,6.04194
27,1.48548,16.000,6.04194
28,1.48710,16.000,6.03871
29,1.48871,16.000,6.04032
29,1.47903,16.000,6.04032
30,1.48871,16.000,6.04355
30,1.48548,16.000,6.04194
31,1.48548,16.000,6.04194
32,1.48548,16.000,6.04194
32,1.48065,16.000,6.04194
33,1.49032,16.000,6.04677
33,1.48226,16.000,6.04516
34,1.49032,16.000,6.04677
35,1.48710,16.000,6.04677
35,1.48871,16.000,6.03871
36,1.47903,16.000,6.04194
37,1.47903,16.000,6.04032
37,1.48387,16.000,6.03226
38,1.48387,16.000,6.03548
38,1.48548,16.000,6.04516
39,1.49194,16.000,6.04194
40,1.48710,16.000,6.04516
40,1.49516,16.000,6.03871
41,1.48548,16.000,6.04194
42,1.48710,16.000,6.03871
42,1.48548,16.000,6.03710
43,1.49194,16.000,6.04032
43,1.48871,16.000,6.04194
44,1.49194,16.000,6.04516
45,1.49194,16.000,6.03710
45,1.49194,16.000,6.04355
46,1.47903,16.000,6.05000
46,1.48871,16.000,6.04032
47,1.49032,16.000,6.04194
48,1.49032,16.000,6.04194
48,1.48387,16.000,6.04194
49,1.48226,16.000,6.04355
49,1.49194,16.000,6.03710
50,1.48710,16.000,6.03548
51,1.49839,16.000,6.04032
51,1.49194,16.000,6.04032
52,1.48226,16.000,6.04839
52,1.48548,16.000,6.03871
53,1.48548,16.000,6.03871
54,1.48548,16.000,6.04839
54,1.48871,16.000,6.04355
55,1.48548,16.000,6.03871
56,1.48548,16.000,6.04194
56,1.49032,16.000,6.04194
57,1.48387,16.000,6.04355
57,1.48871,16.000,6.03710
58,1.47258,16.000,6.03548
59,1.45806,16.000,6.04194
59,1.49355,16.000,6.04194
60,1.48710,16.000,6.04677
60,1.48871,16.000,6.04355
61,1.48387,16.000,6.03710
61,1.48710,16.000,6.03387
61,1.48065,16.000,6.03710
62,1.49677,16.000,6.04194
62,1.48871,16.000,6.03548
63,1.48871,16.000,6.04194
64,1.49032,16.000,6.03710
64,1.48226,16.000,6.04355
65,1.49194,16.000,6.03710
65,1.49194,16.000,6.02903
66,1.48065,16.000,6.04194
67,1.48387,16.000,6.04032
67,1.48710,16.000,6.04194
68,1.49032,16.000,6.04032
68,1.49032,16.000,6.04194
69,1.48226,16.000,6.03548
70,1.49032,16.000,6.03548
70,1.48710,16.000,6.03710
71,1.48387,16.000,6.04516
71,1.48548,16.000,6.03871
72,1.48871,16.000,6.04032
73,1.48871,16.000,6.04032
73,1.48710,16.000,6.04194
74,1.48710,16.000,6.03548
74,1.48710,16.000,6.04032
75,1.48387,16.000,6.04355
76,1.48548,16.000,6.04194
76,1.49032,16.000,6.03871
77,1.48387,16.000,6.04677
77,1.48710,16.000,6.04032
78,1.48548,16.000,6.04032
79,1.48548,16.000,6.03548
79,1.48710,16.000,6.03871
80,1.48710,16.000,6.05000
81,1.48548,16.000,6.04032
81,1.48710,16.000,6.03710
82,1.49032,16.000,6.04677
82,1.49032,16.000,6.04194
83,1.47419,16.000,6.04194
84,1.48387,16.000,6.04355
84,1.49032,16.000,6.03710
85,1.49032,16.000,6.04032
85,1.49677,16.000,6.03387
86,1.48548,16.000,6.03548
87,1.48226,16.000,6.03710
87,1.48710,16.000,6.04032
88,1.48548,16.000,6.04032
88,1.48871,16.000,6.04677
89,1.49194,16.000,6.04677
90,1.47903,16.000,6.04194
90,1.44194,16.000,6.04516
91,1.49355,16.000,6.03548
91,1.48871,16.000,6.03871
92,1.49839,16.000,6.04194
93,1.48710,16.000,6.04032
93,1.44194,16.000,6.03710
94,1.48226,16.000,6.03387
