timestamp,tds_v,tempC,ph_v
20,2.00323,16.000,6.03710
20,1.98387,16.000,6.04032
21,1.98548,16.000,6.03548
22,1.98871,16.000,6.04032
22,1.99516,16.000,6.04355
23,1.99194,16.000,6.03548
23,1.98710,16.000,6.03548
24,1.98871,16.000,6.03387
25,1.99032,16.000,6.03548
25,1.99839,16.000,6.04839
26,1.98871,16.000,6.03226
26,1.99032,16.000,6.03387
27,1.98710,16.000,6.03871
28,1.99516,16.000,6.03548
28,1.98387,16.000,6.04032
29,1.99032,16.000,6.03387
29,1.98548,16.000,6.02903
29,1.99194,16.000,6.04516
30,1.98871,16.000,6.03710
30,1.99516,16.000,6.04194
31,1.98387,16.000,6.03710
31,1.99355,16.000,6.03548
32,1.99032,16.000,6.03710
33,1.99839,16.000,6.04032
33,1.98710,16.000,6.03871
34,1.99032,16.000,6.03871
35,1.98548,16.000,6.02903
35,1.99516,16.000,6.04194
36,1.99194,16.000,6.03710
36,1.98710,16.000,6.04194
37,1.98065,16.000,6.04194
38,1.97742,16.000,6.04194
38,1.98871,16.000,6.04194
39,1.98548,16.000,6.04194
39,1.98548,16.000,6.04355
40,1.98871,16.000,6.03871
41,1.99677,16.000,6.04677
41,1.99355,16.000,6.03710
42,1.98710,16.000,6.04032
42,1.98871,16.000,6.04194
43,1.99194,16.000,6.03548
44,1.99194,16.000,6.03387
44,1.99032,16.000,6.03710
45,1.98710,16.000,6.04032
45,1.99194,16.000,6.05000
46,1.98871,16.000,6.02903
47,1.99032,16.000,6.03387
47,2.00000,16.000,6.04355
48,1.98871,16.000,6.03387
48,1.98710,16.000,6.04032
49,1.98871,16.000,6.03548
50,1.98871,16.000,6.03548
50,1.99677,16.000,6.03226
51,1.96613,16.000,6.03548
51,1.99032,16.000,6.04194
52,1.98548,16.000,6.02742
53,1.99194,16.000,6.03871
53,1.99194,16.000,6.03710
54,1.99032,16.000,6.04194
54,1.99032,16.000,6.03226
55,1.98226,16.000,6.03226
56,1.98871,16.000,6.04355
56,1.98710,16.000,6.03871
57,1.99032,16.000,6.04032
57,1.98710,16.000,6.05484
58,1.97419,16.000,6.04516
59,1.98548,16.000,6.03226
59,2.00323,16.000,6.04355
60,1.98871,16.000,6.03871
61,1.97903,16.000,6.04032
61,1.96774,16.000,6.03871
62,1.98871,16.000,6.04355
62,1.97742,16.000,6.04194
63,1.98710,16.000,6.03387
64,1.98871,16.000,6.05000
64,1.99516,16.000,6.04355
65,1.99032,16.000,6.04516
65,1.96613,16.000,6.04677
66,1.98871,16.000,6.04677
67,1.99194,16.000,6.04355
67,1.99194,16.000,6.04355
68,1.98548,16.000,6.04839
69,1.99516,16.000,6.04194
69,1.99194,16.000,6.04355
70,1.95161,16.000,6.04032
70,1.98387,16.000,6.03871
71,1.99032,16.000,6.04194
71,1.99032,16.000,6.03710
71,1.99032,16.000,6.03387
72,1.98871,16.000,6.04032
72,2.01129,16.000,6.04032
73,1.98871,16.000,6.02903
74,1.99194,16.000,6.04355
74,1.98710,16.000,6.03710
75,1.98387,16.000,6.04516
75,1.98710,16.000,6.04194
76,1.98710,16.000,6.04194
77,1.98871,16.000,6.03548
77,1.99516,16.000,6.03226
78,1.99032,16.000,6.03871
78,1.98548,16.000,6.04194
79,1.99032,16.000,6.04194
80,1.98710,16.000,6.03548
80,1.98871,16.000,6.03710
81,1.98871,16.000,6.03710
81,1.99355,16.000,6.03548
82,1.99032,16.000,6.03871
83,1.98065,16.000,6.04032
83,1.94839,16.000,6.03710
84,1.98548,16.000,6.03548
84,1.99194,16.000,6.03548
85,1.98710,16.000,6.04194
86,1.99677,16.000,6.04355
86,1.99032,16.000,6.03226
87,2.00323,16.000,6.04194
87,1.98871,16.000,6.04194
88,1.98871,16.000,6.04355
89,1.98710,16.000,6.03871
89,1.99032,16.000,6.03387
90,1.99194,16.000,6.04516
90,1.98548,16.000,6.03710
91,1.97903,16.000,6.03387
92,1.98710,16.000,6.03226
92,1.98226,16.000,6.03387
93,1.98871,16.000,6.04677
93,1.98387,16.000,6.04032
94,1.98226,16.000,6.03871
