timestamp,tds_v,tempC,ph_v
20,1.41290,16.000,6.03871
21,1.42097,16.000,6.04355
21,1.41129,16.000,6.04355
22,1.41613,16.000,6.02903
22,1.40645,16.000,6.04677
23,1.41452,16.000,6.04355
24,1.41290,16.000,6.03387
24,1.41613,16.000,6.03710
25,1.41290,16.000,6.04032
25,1.42258,16.000,6.05161
26,1.41452,16.000,6.03710
27,1.40968,16.000,6.04194
27,1.40645,16.000,6.04032
28,1.41290,16.000,6.03710
28,1.42419,16.000,6.03871
29,1.41613,16.000,6.03387
30,1.41452,16.000,6.04194
30,1.41452,16.000,6.04516
30,1.41452,16.000,6.03548
30,1.41129,16.000,6.05161
31,1.41935,16.000,6.03387
32,1.41452,16.000,6.04194
32,1.41935,16.000,6.03871
33,1.41129,16.000,6.03871
34,1.41290,16.000,6.04355
34,1.41452,16.000,6.04032
35,1.42581,16.000,6.04194
35,1.41290,16.000,6.04194
36,1.41452,16.000,6.04355
37,1.40806,16.000,6.04032
37,1.42419,16.000,6.03871
38,1.41129,16.000,6.04516
38,1.39032,16.000,6.04032
39,1.40323,16.000,6.03387
40,1.40806,16.000,6.04032
40,1.40968,16.000,6.03871
41,1.41129,16.000,6.04194
42,1.41290,16.000,6.04355
42,1.42258,16.000,6.03387
43,1.41290,16.000,6.03871
43,1.41774,16.000,6.03065
44,1.40000,16.000,6.04032
45,1.41290,16.000,6.03710
45,1.41452,16.000,6.03387
46,1.40968,16.000,6.05000
46,1.42581,16.000,6.03710
47,1.41129,16.000,6.03710
48,1.41290,16.000,6.03871
48,1.41613,16.000,6.03065
49,1.41613,16.000,6.04194
49,1.41935,16.000,6.04032
50,1.41129,16.000,6.04032
51,1.41935,16.000,6.03871
51,1.41290,16.000,6.03065
52,1.41290,16.000,6.03871
52,1.40645,16.000,6.04194
53,1.42097,16.000,6.03871
54,1.41935,16.000,6.03387
54,1.41613,16.000,6.03871
55,1.40806,16.000,6.04032
55,1.41774,16.000,6.03548
56,1.41935,16.000,6.03548
57,1.41774,16.000,6.04032
57,1.41452,16.000,6.04032
58,1.42097,16.000,6.03065
58,1.41613,16.000,6.04032
59,1.41129,16.000,6.04677
60,1.41774,16.000,6.04032
60,1.41452,16.000,6.04032
61,1.42097,16.000,6.04355
61,1.41774,16.000,6.03710
62,1.41935,16.000,6.04032
63,1.41613,16.000,6.03548
63,1.42097,16.000,6.03871
64,1.41452,16.000,6.03548
64,1.41129,16.000,6.04355
65,1.41129,16.000,6.03871
66,1.41290,16.000,6.04194
66,1.41290,16.000,6.03710
67,1.41613,16.000,6.03387
68,1.41613,16.000,6.03871
68,1.40806,16.000,6.04194
69,1.41613,16.000,6.04032
69,1.41613,16.000,6.03871
70,1.42903,16.000,6.04194
71,1.41774,16.000,6.03387
71,1.41935,16.000,6.03548
72,1.41935,16.000,6.04032
72,1.42097,16.000,6.04032
72,1.41452,16.000,6.04194
73,1.41452,16.000,6.03226
73,1.41613,16.000,6.03548
74,1.42097,16.000,6.03871
74,1.41613,16.000,6.03226
75,1.40968,16.000,6.04194
76,1.41452,16.000,6.03871
76,1.41290,16.000,6.03871
77,1.40806,16.000,6.04032
77,1.43548,16.000,6.04032
78,1.42258,16.000,6.04839
79,1.41935,16.000,6.04355
79,1.41613,16.000,6.04032
80,1.41774,16.000,6.03387
80,1.40645,16.000,6.03226
81,1.41774,16.000,6.04194
82,1.42419,16.000,6.04194
82,1.41290,16.000,6.04194
83,1.41129,16.000,6.03871
83,1.41290,16.000,6.04194
84,1.41452,16.000,6.03387
85,1.40484,16.000,6.03710
85,1.41129,16.000,6.03871
86,1.42097,16.000,6.03387
86,1.43710,16.000,6.03548
87,1.39677,16.000,6.03710
88,1.42097,16.000,6.03548
88,1.41774,16.000,6.03871
89,1.40484,16.000,6.03548
89,1.40806,16.000,6.04032
90,1.41613,16.000,6.04516
91,1.41774,16.000,6.03710
91,1.41452,16.000,6.04032
92,1.42097,16.000,6.04194
93,1.41452,16.000,6.03710
93,1.41613,16.000,6.03871
94,1.42258,16.000,6.03387
