timestamp,tds_v,tempC,ph_v
20,1.89839,16.500,6.03548
21,1.89355,16.500,6.03710
22,1.89839,16.500,6.03710
22,1.89355,16.500,6.03226
23,1.88065,16.500,6.04032
23,1.90000,16.500,6.04032
23,1.89516,16.500,6.03387
24,1.89839,16.500,6.03548
24,1.89355,16.500,6.04032
25,1.89355,16.500,6.03065
25,1.89677,16.500,6.03871
26,1.89839,16.500,6.03548
27,1.89355,16.500,6.03387
27,1.89839,16.500,6.04032
28,1.89677,16.500,6.04032
29,1.88871,16.500,6.04032
29,1.89839,16.500,6.03387
30,1.89516,16.500,6.03871
30,1.90806,16.500,6.03548
31,1.89194,16.500,6.03710
32,1.90323,16.500,6.03226
32,1.89677,16.500,6.03226
33,1.89839,16.500,6.03065
33,1.89355,16.500,6.04194
34,1.90323,16.500,6.04516
35,1.89516,16.500,6.03548
35,1.88871,16.500,6.03065
36,1.89355,16.500,6.04194
36,1.87258,16.500,6.03710
37,1.89677,16.500,6.04194
38,1.90161,16.500,6.04032
38,1.89677,16.500,6.03065
39,1.90000,16.500,6.03710
39,1.90645,16.500,6.03548
40,1.89677,16.500,6.03548
41,1.90645,16.500,6.04032
41,1.90161,16.500,6.03387
42,1.89032,16.500,6.03871
42,1.89839,16.500,6.03871
43,1.88871,16.500,6.03548
44,1.89032,16.500,6.03226
44,1.90000,16.500,6.03871
45,1.90000,16.500,6.03710
46,1.89194,16.500,6.03548
46,1.89839,16.500,6.04194
47,1.89355,16.500,6.03226
47,1.89355,16.500,6.02742
48,1.91290,16.500,6.03387
49,1.90323,16.500,6.03387
49,1.90000,16.500,6.03710
50,1.89839,16.500,6.03710
50,1.88871,16.500,6.03387
51,1.90000,16.500,6.03871
52,1.90323,16.500,6.03710
52,1.90161,16.500,6.03710
53,1.89516,16.500,6.03871
53,1.89677,16.500,6.03387
54,1.88871,16.500,6.03387
55,1.90323,16.500,6.03387
55,1.89677,16.500,6.04194
56,1.89355,16.500,6.03871
56,1.88548,16.500,6.03871
57,1.90645,16.500,6.04032
58,1.89355,16.500,6.03226
58,1.89839,16.500,6.04355
59,1.89355,16.500,6.03710
59,1.89516,16.500,6.03226
60,1.88065,16.500,6.03548
61,1.89677,16.500,6.03710
61,1.89355,16.500,6.04355
62,1.89194,16.500,6.02742
62,1.91452,16.500,6.03710
63,1.89516,16.500,6.02903
64,1.90000,16.500,6.03871
64,1.88548,16.500,6.04032
64,1.89839,16.500,6.03226
65,1.89355,16.500,6.04355
65,1.89516,16.500,6.03548
66,1.89032,16.500,6.03387
66,1.90161,16.500,6.04032
67,1.88548,16.500,6.04032
68,1.89516,16.500,6.03387
68,1.89355,16.500,6.03710
69,1.90161,16.500,6.03226
69,1.89677,16.500,6.03548
70,1.90323,16.500,6.03548
71,1.89677,16.500,6.03871
71,1.90000,16.500,6.03548
72,1.89677,16.500,6.03548
72,1.89194,16.500,6.03548
73,1.89677,16.500,6.03387
74,1.90000,16.500,6.03548
74,1.89516,16.500,6.02903
75,1.89677,16.500,6.03871
75,1.89516,16.500,6.03387
76,1.89516,16.500,6.03548
77,1.90161,16.500,6.03226
77,1.89839,16.500,6.04032
78,1.89677,16.500,6.03710
79,1.89677,16.500,6.03387
79,1.89355,16.500,6.03226
80,1.90000,16.500,6.03710
80,1.89194,16.500,6.03065
81,1.89516,16.500,6.03548
82,1.89677,16.500,6.03548
82,1.89032,16.500,6.03710
83,1.89516,16.500,6.03387
83,1.89677,16.500,6.03548
84,1.89355,16.500,6.03226
85,1.89516,16.500,6.03226
85,1.90000,16.500,6.02742
86,1.90000,16.500,6.03226
86,1.89677,16.500,6.03871
87,1.90161,16.500,6.03548
88,1.89355,16.500,6.03226
88,1.89516,16.500,6.03387
89,1.89516,16.500,6.03226
89,1.88710,16.500,6.04032
90,1.88387,16.500,6.03548
91,1.89355,16.500,6.03065
91,1.90000,16.500,6.03226
92,1.89194,16.500,6.03871
93,1.89194,16.500,6.04516
93,1.90161,16.500,6.03548
94,1.90484,16.500,6.03387
