timestamp,tds_v,tempC,ph_v
20,1.92258,16.500,6.04516
20,1.92419,16.500,6.04194
21,1.92097,16.500,6.03871
22,1.92903,16.500,6.03710
22,1.91935,16.500,6.04194
23,1.91452,16.500,6.03710
23,1.92097,16.500,6.03871
24,1.92097,16.500,6.03710
25,1.92419,16.500,6.03871
25,1.92419,16.500,6.04032
26,1.92258,16.500,6.04032
26,1.92903,16.500,6.03871
26,1.92419,16.500,6.04032
27,1.92419,16.500,6.03387
27,1.92097,16.500,6.04355
28,1.91935,16.500,6.03226
28,1.92258,16.500,6.03387
29,1.91774,16.500,6.04355
30,1.92258,16.500,6.03871
30,1.91452,16.500,6.03871
31,1.90484,16.500,6.03226
31,1.92419,16.500,6.03710
32,1.92742,16.500,6.03871
33,1.91935,16.500,6.03065
33,1.92258,16.500,6.04194
34,1.90968,16.500,6.03710
35,1.92903,16.500,6.03871
35,1.92419,16.500,6.04032
36,1.92581,16.500,6.03871
36,1.91935,16.500,6.04839
37,1.92419,16.500,6.04516
38,1.92581,16.500,6.04194
38,1.92258,16.500,6.04032
39,1.91935,16.500,6.03871
39,1.92419,16.500,6.03710
40,1.92581,16.500,6.04032
41,1.92258,16.500,6.03871
41,1.92097,16.500,6.04032
42,1.91935,16.500,6.04032
42,1.92258,16.500,6.03871
43,1.92581,16.500,6.03065
44,1.91613,16.500,6.03871
44,1.90806,16.500,6.04194
45,1.92419,16.500,6.03548
46,1.92419,16.500,6.04516
46,1.92258,16.500,6.04355
47,1.92258,16.500,6.03710
47,1.92581,16.500,6.04194
48,1.92097,16.500,6.04194
49,1.92258,16.500,6.03871
49,1.92742,16.500,6.04032
50,1.91452,16.500,6.03710
51,1.92419,16.500,6.03548
51,1.92581,16.500,6.04032
52,1.91935,16.500,6.04516
52,1.92742,16.500,6.04194
53,1.92097,16.500,6.03871
54,1.92419,16.500,6.03871
54,1.92581,16.500,6.03871
55,1.91613,16.500,6.04355
55,1.91774,16.500,6.04194
56,1.92742,16.500,6.04516
57,1.92581,16.500,6.03387
57,1.92742,16.500,6.04355
58,1.92581,16.500,6.04194
59,1.92258,16.500,6.03871
59,1.91452,16.500,6.04032
60,1.89677,16.500,6.04677
61,1.92742,16.500,6.03871
61,1.92258,16.500,6.03871
62,1.91935,16.500,6.04032
62,1.91935,16.500,6.03548
63,1.92581,16.500,6.04677
64,1.93387,16.500,6.03871
64,1.92419,16.500,6.04032
65,1.92742,16.500,6.04677
65,1.92097,16.500,6.04355
66,1.92419,16.500,6.05323
67,1.93710,16.500,6.03387
67,1.93065,16.500,6.04032
67,1.92742,16.500,6.03710
67,1.92581,16.500,6.04355
68,1.91129,16.500,6.04839
69,1.92419,16.500,6.04677
69,1.92419,16.500,6.04032
70,1.92903,16.500,6.04516
71,1.92419,16.500,6.04355
71,1.92581,16.500,6.04839
72,1.91935,16.500,6.05161
72,1.92419,16.500,6.03387
73,1.92419,16.500,6.04677
74,1.92581,16.500,6.04677
74,1.92097,16.500,6.04194
75,1.92258,16.500,6.04194
75,1.92742,16.500,6.03387
76,1.92581,16.500,6.04194
77,1.93387,16.500,6.04194
77,1.91935,16.500,6.03710
78,1.92419,16.500,6.03548
78,1.92258,16.500,6.03548
79,1.93065,16.500,6.03710
80,1.92419,16.500,6.03710
80,1.91935,16.500,6.04032
81,1.92258,16.500,6.03387
82,1.92581,16.500,6.03710
82,1.92097,16.500,6.04194
83,1.91774,16.500,6.02742
83,1.91774,16.500,6.04355
84,1.92581,16.500,6.04355
85,1.93710,16.500,6.03548
85,1.92258,16.500,6.04839
86,1.92258,16.500,6.03871
86,1.92097,16.500,6.03871
87,1.92097,16.500,6.03387
88,1.92581,16.500,6.03871
88,1.91613,16.500,6.03548
89,1.91613,16.500,6.04194
90,1.92097,16.500,6.04839
90,1.92903,16.500,6.03548
91,1.92742,16.500,6.04194
92,1.91935,16.500,6.04194
92,1.92258,16.500,6.04194
93,1.92097,16.500,6.03548
93,1.91774,16.500,6.04677
94,1.92581,16.500,6.03710
